time,balance
100,100
1767921060000,99.99478368
1768201620000,99.38735793
1768205460000,99.3832822
1768342260000,99.36184162
1768402620000,99.30168138
1768948440000,98.72298194
1769531220000,98.49895103
1769703240000,98.14035344
1769718960000,97.97110228
1769781900000,97.29438935
1769787180000,97.30372561
1769794020000,97.47127331
1769794860000,96.8775629
1769796480000,96.98089707
1769878020000,98.40619331
1769987160000,98.1669644
1770092880000,98.44895219
1770129660000,98.42594092
1770142380000,98.36354786
1770144420000,98.14107892
1770144540000,98.06389149
1770147840000,97.83648997
1770170220000,97.65531231
1770190020000,97.73905823
1770217080000,97.81775901
1770228360000,97.59493947
1770228540000,97.55513181
1770234600000,97.85609039
1770254880000,103.17235672
1770260880000,103.49228782
1770261060000,103.86844371
1770264540000,103.90807703
1770297960000,104.00436845
1770302040000,104.14534065
1770311940000,104.21701671
1770316440000,104.20445469
1770402060000,104.24503534
1770452400000,103.72269028
1770469320000,103.35035573
1770482460000,102.91741874
1770511800000,102.29147496
1771348560000,102.33910786
1772470200000,101.66904809
1772806140000,102.06777497
1774607940000,101.96188179
