time,balance
100,100
1765205160000,100.07781371
1765288920000,99.86765031
1765296240000,100.32814163
1765296540000,100.01328273
1765652400000,100.22248921
1765653000000,99.65666075
1765659360000,99.44738177
1765660860000,98.8338221
1765664160000,98.25451463
1765664340000,98.16834891
1765664820000,98.47726174
1765670700000,98.85495333
1765670760000,98.26838878
1765671840000,98.61854687
1765899180000,104.95691317
1765975440000,105.17232318
1765975920000,104.57348201
1765980180000,104.55360997
1765980600000,103.89684365
1765981560000,103.89788244
1765981800000,103.82846149
1765982100000,104.14541381
1766276100000,103.53427108
1766387580000,114.96373761
1767072900000,114.26618077
1767080340000,113.4886594
1767107880000,113.31434928
1767116100000,112.67743063
1767283380000,112.83255532
1767345600000,113.51881788
1767364980000,113.98512895
1767472140000,113.58423856
1767485460000,114.03540459
1767538380000,113.40364654
1767565320000,112.70778601
1767586320000,112.71771167
1767600180000,112.45406604
1767603900000,112.4776027
1767635760000,111.89910283
1767638760000,111.89657881
1767683220000,112.07714467
1767686700000,112.03353277
1767699780000,112.01878154
1767708960000,115.37691073
1767747120000,115.28690793
1767761640000,115.10434371
1767777900000,115.4900986
1767803760000,114.73942218
1767812940000,114.72902227
1767819420000,114.37000023
1767841980000,114.45109212
1767888900000,118.55124595
1767889680000,118.45884261
1767900840000,118.71838808
1767912000000,120.32623514
1767934020000,120.4271401
1767940380000,119.59792192
1767954360000,118.91909036
1767964380000,118.45107133
1767965580000,117.69064176
1768091160000,117.34044672
1768105080000,117.82967698
1768106940000,117.18158696
1768146900000,116.95452699
1768150200000,117.53780189
1768174080000,117.2350934
1768177140000,116.52506171
1768180020000,115.74199
1768184640000,115.4702027
1768198260000,115.34520342
1768201620000,114.63369001
1768301520000,115.06836309
1768309500000,114.39517527
