time,balance
1000,1000
1778167080000,990.68197703
1778167800000,977.57425933
1778169420000,965.31337947
1778171760000,955.94527044
1778174700000,944.20953499
1778174880000,932.02512604
1778179320000,927.60760737
1778180220000,926.81370204
1778182620000,916.14777077
1778183220000,909.56251001
1778184360000,899.9044488
1778188740000,907.94554209
1778192280000,898.05833875
1778193240000,891.95098371
1778201100000,890.63285594
1778207520000,898.60420844
1778207760000,887.88345266
1778209980000,879.04838326
1778215260000,870.2531904
1778215440000,868.27664852
1778219220000,860.83254569
1778221020000,852.84717106
1778222280000,845.26269334
1778224620000,839.80325825
1778225400000,831.65687521
1778245560000,841.27179863
1778245800000,836.79168947
1778246100000,830.64449259
1778248080000,819.88665642
1778250600000,828.6852413
1778254740000,828.02570163
1778261400000,895.28466323
1778262180000,904.29564831
1778266860000,905.06599766
1778269140000,897.43382201
1778276220000,902.69563862
1778281260000,901.96173473
1778286000000,905.31707698
1778291400000,944.64216704
1778300460000,948.75773395
1778301060000,938.34862861
1778301900000,930.58143442
1778302740000,925.60294746
1778303760000,915.68519996
1778307480000,924.46624282
1778311260000,921.08439915
1778317980000,908.95063692
1778322000000,908.57588687
1778322180000,902.38261707
1778323500000,895.31240203
1778328960000,889.00378744
1778329140000,881.19772062
1778330760000,874.61723947
1778332080000,870.20524129
1778333160000,864.25668776
1778335500000,857.86846112
1778336100000,854.98766436
1778340540000,861.66926681
1778340780000,854.81396268
1778342460000,850.03469852
1778344140000,843.23581897
1778346300000,832.45381583
1778354820000,840.53963355
1778354880000,838.16397119
1778355660000,831.70697879
1778356980000,824.58105593
1778361060000,819.46411411
1778361660000,816.21440642
1778362080000,811.42175413
1778363280000,805.9784608
1778364060000,801.50724494
1778366280000,795.3800413
1778366880000,790.6297188
1778379420000,800.58048037
1778380800000,791.64378215
1778407440000,837.40939333
1778414160000,859.76813008
1778414580000,852.88850324
1778416020000,848.21661801
1778417940000,843.25455405
1778429880000,878.7509971
1778430540000,872.65839471
1778434200000,921.10715952
1778439600000,934.80685211
1778440260000,922.37612258
1778442660000,922.15050772
1778443020000,912.77396724
1778443860000,903.33270952
1778446140000,981.29849587
1778446200000,969.48375118
1778447580000,957.81893219
1778449140000,945.68807372
1778452140000,933.12627019
1778452680000,921.57779401
1778456460000,909.33228279
1778457840000,902.98926739
1778459100000,901.06484773
1778459640000,895.37282195
1778461860000,884.05546209
1778463000000,880.40212546
1778471160000,920.64353377
1778471280000,919.89301433
1778472960000,910.70861041
1778481360000,951.96974598
1778489340000,981.60877543
1778496420000,980.64798062
1778496660000,972.3297813
1778498340000,961.75871174
1778499840000,955.66785665
1778500440000,947.44212171
1778502180000,942.20398079
1778503800000,930.70315407
1778504040000,922.55441803
1778505540000,911.95381634
1778506920000,909.8112745
1778509320000,898.35880891
1778510280000,895.11344324
1778514600000,911.77260621
1778516280000,957.64963515
1778517900000,945.38232403
1778519040000,936.06571066
1778520540000,932.84919895
1778520960000,921.53512931
1778521200000,916.25693001
1778523120000,909.55241466
1778525220000,898.54327014
1778526360000,896.96179551
1778530260000,907.47066693
1778530560000,897.11863829
1778531640000,895.74455123
1778532180000,891.80795511
1778533440000,885.20943908
1778534040000,876.8709911
1778536500000,872.79003073
1778536920000,868.27934312
1778537220000,864.38297337
1778538420000,860.51578749
1778540460000,855.32129302
1778545920000,851.52508508
1778545980000,848.74902587
1778551980000,901.0903356
1778554560000,896.71473928
1778561280000,889.1615665
1778561580000,883.29198363
1778562900000,879.78773821
1778567460000,877.73125927
1778578380000,908.72323361
1778579640000,900.31428733
1778580120000,892.1855442
1778580840000,885.00996723
1778587140000,914.38742212
1778587200000,909.82979679
1778588760000,903.86687735
1778588880000,895.73408144
1778589240000,890.35605401
1778591640000,884.80986306
1778593200000,878.51440762
1778593620000,868.88855159
1778594280000,859.6273676
1778595420000,848.15899538
1778596680000,837.74266384
1778598900000,829.60716159
1778599860000,829.59811743
1778604180000,826.57847327
1778605020000,819.50591494
1778622540000,837.12465428
1778623020000,829.90038914
1778625360000,825.45307597
1778626260000,819.39289704
1778627820000,813.40428901
1778631840000,812.01691352
1778642100000,834.87499752
1778647560000,841.8757617
1778648160000,833.19207731
1778649240000,828.00563529
1778649600000,822.0767096
1778653260000,814.76557199
1778661540000,811.07864519
1778667000000,811.9331881
1778674740000,844.55623214
1778675820000,911.05552712
1778676060000,899.74315589
1778679060000,887.86858124
1778679120000,880.60950679
1778680800000,918.42773407
1778681400000,907.80446785
1778683020000,899.36690013
1778688060000,952.53107251
1778688360000,940.06783445
1778692140000,935.89689987
1778692320000,932.19738341
1778697840000,926.18362327
1778701080000,928.44703621
1778701800000,921.6132105
1778706420000,911.89778977
1778711280000,900.6188574
1778721360000,893.73931964
1778721420000,892.85294831
1778723880000,887.44081325
1778725200000,881.87555908
1778729280000,905.48455482
1778731680000,895.7234995
1778742180000,935.94714609
1778744340000,926.18673666
1778745480000,914.54504128
1778746200000,906.40329465
1778750220000,897.12901484
1778750520000,893.51662105
1778753460000,887.43347135
1778753580000,876.63982783
1778755500000,869.02908242
1778760600000,859.79921367
1778765700000,864.09380742
1778765880000,852.90122971
1778767260000,841.45734566
1778767740000,831.34824904
1778773080000,864.35898091
1778773380000,854.68674978
1778775540000,869.9232642
1778777820000,878.60073155
1778778720000,867.36127343
1778780100000,867.19996039
1778781600000,868.23108227
1778782020000,857.78977841
1778783640000,857.81524791
1778783940000,849.18169042
1778784780000,845.62046287
1778786040000,838.03781938
1778791980000,852.68884235
1778792160000,846.70954511
1778793540000,841.65828237
1778795340000,836.18538813
1778796360000,830.66655596
1778799060000,826.60922336
1778804640000,831.82794607
1778805060000,826.84285664
1778805540000,820.27654545
1778805900000,813.00748242
1778807220000,806.64617695
1778809020000,810.93444247
1778810520000,802.19090072
1778812680000,794.66650029
1778815920000,796.21866623
1778817300000,789.44358784
1778817660000,784.76537741
1778817900000,779.92079592
1778823060000,804.24674157
