time,balance
1000,1000
1778167080000,990.68197703
1778174880000,977.89787148
1778180220000,977.06092455
1778188740000,972.49485402
1778200680000,963.22527665
1778204040000,955.31176037
1778205780000,949.27971447
1778207280000,950.50506682
1778214480000,946.572051
1778215440000,944.42217171
1778221020000,935.66139136
1778224620000,929.61808355
1778230860000,919.25138079
1778238600000,912.87070523
1778244840000,905.00956571
1778245800000,900.19002742
1778250600000,909.85038509
1778254440000,897.82071905
1778261400000,963.29760049
1778262180000,972.99313161
1778266860000,965.37332019
1778269140000,957.23258928
1778274300000,948.08292699
1778275020000,936.10295399
1778281260000,935.3418895
1778281980000,927.96019994
1778282400000,920.72121508
1778284920000,911.14730983
1778284980000,909.30346753
1778291400000,948.8017181
1778300460000,952.93540713
1778301900000,945.04747067
1778302740000,939.99159234
1778307480000,945.44084577
1778309340000,932.86042989
1778317260000,925.04666223
1778322000000,927.63064313
1778328900000,921.62535731
1778329200000,913.10377088
1778330760000,906.28502634
1778333160000,900.08983842
1778336100000,897.0672586
1778340540000,904.07770688
1778340780000,896.88500792
1778344140000,889.71140295
1778354820000,898.35337694
1778361060000,892.77864061
1778361660000,889.23819319
1778364060000,884.30508875
1778366280000,877.54492857
1778366880000,872.30388505
1778370900000,866.97513725
1778371740000,860.87584682
1778373240000,854.53424033
1778375400000,849.37201528
1778376720000,844.49251792
1778378520000,837.81487953
1778383320000,832.3454814
1778384640000,825.75026269
1778389380000,821.51247283
1778391600000,816.51169896
1778396700000,816.32161637
1778400780000,807.96568302
1778405820000,801.84026335
1778414160000,823.24930832
1778414580000,816.661895
1778416020000,812.18844902
1778417940000,807.4371497
1778429880000,834.89301018
1778431260000,825.17030436
1778431740000,815.89729643
1778432760000,807.5751001
1778434200000,821.10634624
1778436000000,810.52049208
1778437020000,800.87905539
1778440260000,790.22925015
1778442660000,780.49476408
1778443020000,772.55859673
1778446140000,849.80141324
1778446200000,839.56988148
1778449140000,828.93665732
1778452140000,817.92569111
1778456460000,807.05746242
1778458920000,799.35252327
1778459640000,794.30301413
1778461860000,784.26315941
1778462820000,778.89298805
1778471160000,796.69014826
1778481360000,826.00981576
1778481900000,819.04374811
1778489340000,827.44697708
1778494380000,820.32909144
1778499300000,811.51295203
1778499840000,806.37360914
1778502180000,797.63582278
1778505000000,793.619826
1778506920000,783.04809701
1778509320000,773.19129303
1778510280000,763.07190626
1778514600000,777.2736137
1778516280000,790.09638825
1778522940000,787.2276802
1778523600000,785.19947566
1778526360000,783.81749096
1778530260000,793.00075525
1778530560000,783.95454933
1778532180000,780.50924516
1778534040000,773.1570464
1778538420000,769.69799861
1778540460000,765.05172477
1778542380000,758.99539883
1778551980000,805.80171263
1778556240000,799.86808055
1778567460000,807.97065718
1778578380000,836.4994416
1778579640000,828.75882421
1778587140000,851.96257952
1778587200000,847.71610134
1778588760000,842.16026788
1778589240000,832.16297235
1778590800000,820.95029647
1778593200000,815.10920426
1778593560000,805.61593394
1778599860000,805.60715133
1778604180000,802.67483161
1778605020000,795.80680304
1778622540000,802.74094648
1778623320000,797.55342827
1778623620000,796.24004659
1778626260000,790.39433919
1778627820000,784.61766977
1778631840000,779.15705601
1778632140000,773.19710219
1778633100000,768.56613497
1778642100000,782.03417187
1778647560000,788.59184438
1778648160000,780.45776687
1778649060000,774.77559287
1778649600000,768.74452785
1778653260000,761.90769989
1778656740000,757.54326998
1778657100000,751.87255107
1778667000000,752.66471514
1778667600000,748.59234179
1778674740000,768.52840695
1778675280000,759.35046296
1778675820000,787.98646606
1778676060000,778.20221563
1778679060000,767.93170649
1778680800000,800.91092779
1778684460000,795.66813714
1778688060000,826.79527448
1778691120000,818.3678701
1778697840000,813.08844306
1778698560000,805.27213141
1778700660000,798.0916079
1778706420000,802.98887051
1778711280000,793.05699298
1778721360000,786.9990857
1778721420000,786.21857464
1778729280000,799.94225852
1778742180000,825.1575933
1778744340000,816.55253905
1778748720000,808.38742455
1778750520000,805.13235904
1778753460000,799.65093816
1778753580000,789.92497283
1778755500000,783.0670619
1778760600000,774.75018695
1778765700000,778.61997103
1778765880000,768.53453301
1778768760000,759.07700803
1778773080000,776.68002943
1778775540000,790.52591679
1778777820000,780.50729841
1778781600000,781.4353406
1778791980000,795.0968089
1778792160000,789.52136342
1778793540000,784.81127142
1778794500000,780.22542487
1778801340000,774.33800889
1778803980000,769.89058311
1778805540000,763.77655417
1778805900000,757.00817839
1778809020000,755.29333178
1778810040000,752.71862352
1778810520000,744.23057355
1778812500000,737.8256929
1778815920000,739.26683571
1778817300000,732.97636431
1778819040000,732.0348746
1778823060000,737.35748463
1778823780000,744.08466194
1778825040000,736.83064693
1778830620000,752.22460137
1778834220000,748.45892953
1778835000000,738.94524652
1778852820000,800.15562303
1778853180000,790.64451978
1778856960000,781.13352285
1778860080000,775.0369274
1778863560000,766.53178514
1778865180000,759.7109035
1778868360000,754.77739659
1778873400000,748.4164583
1778875560000,742.39035094
1778877060000,737.19304154
1778882400000,731.27856594
1778890800000,725.58799779
1778893200000,721.24410706
1778895960000,715.59964481
1778897040000,710.56862487
1778898360000,707.12960596
1778900160000,702.41913745
1778901900000,697.57642771
1778902680000,693.40198794
1778903520000,689.36356581
1778905380000,685.85139764
1778906520000,691.85942433
1778910120000,687.28902198
1778915700000,732.06752275
1778917740000,722.44422461
1778923080000,715.59001509
1778926500000,708.2051733
1778927340000,700.6058185
1778932800000,694.62952603
1778932980000,689.18648627
1778934300000,684.26620719
1778936040000,679.97815109
1778941620000,676.65489822
1778943180000,671.24951041
1778947500000,666.58799894
1778954220000,661.02763642
1778956020000,656.66735389
1778963280000,653.2717041
1778966400000,650.63440861
1778967420000,647.13997847
1778972760000,645.05678837
1778980080000,646.03372733
1778981580000,640.11570304
1778984160000,634.11919936
1778986260000,627.75959447
1778988000000,625.19285403
1778999220000,626.30038988
1778999400000,622.45710532
1779001020000,618.33624816
1779005040000,614.57033733
