time,balance
1000,1000
1778165880000,999.42056593
1778167080000,990.10794214
1778167800000,977.00781951
1778170440000,967.05605467
1778171760000,954.54874185
1778172060000,949.76338611
1778174700000,938.10354303
1778174880000,925.99792792
1778179320000,921.60897636
1778180220000,920.82020503
1778182620000,910.22324796
1778183220000,903.6805726
1778188740000,911.75540744
1778192280000,901.82671602
1778193240000,895.69373367
1778201100000,900.4725558
1778207520000,908.5319757
1778207760000,897.69277715
1778209980000,885.57979167
1778215260000,875.4075774
1778215440000,873.41932874
1778219220000,865.93113553
1778221020000,857.89846465
1778225940000,850.91236313
1778245560000,858.23643476
1778245800000,853.66598212
1778248080000,842.60999022
1778250600000,851.65242975
1778253060000,844.81213703
1778254740000,833.88508654
1778261400000,875.88703158
1778262180000,884.7027807
1778266860000,885.4564393
1778269140000,877.98962574
1778274300000,869.59740355
1778275020000,858.60917338
1778281260000,859.30885014
1778281980000,852.527211
1778282400000,845.87667623
1778284920000,837.0810245
1778284980000,835.38706637
1778291400000,871.67454227
1778300460000,875.4722077
1778301060000,866.80008048
1778301900000,859.62513041
1778302740000,855.02625025
1778303760000,845.86472534
1778307480000,853.97621868
1778311260000,850.85223866
1778317260000,843.72538292
1778322000000,846.08220487
1778324880000,838.56733417
1778328900000,833.1386255
1778329200000,825.43521028
1778340540000,849.08997203
1778340780000,842.33474678
1778341920000,835.68404824
1778342820000,829.40024193
1778344140000,822.7664041
1778346300000,812.24613236
1778354820000,820.13566814
1778357640000,815.30133749
1778361060000,810.24198102
1778361660000,807.02884507
1778362080000,802.29012862
1778363280000,796.90809335
1778364060000,792.48719592
1778366280000,786.42894697
1778366880000,781.73208393
1778370900000,776.95662299
1778371740000,771.49062531
1778373240000,765.80747137
1778373720000,761.76944709
1778375400000,757.16761239
1778377800000,750.61517043
1778378520000,744.67984647
1778380260000,738.67557086
1778381520000,734.25332936
1778383320000,729.45999865
1778383980000,729.19787424
1778389320000,720.12795354
1778389380000,716.43222243
1778390460000,713.03412815
1778391600000,708.69369202
1778392680000,704.80664874
1778394720000,700.28385851
1778396700000,695.15479595
1778407440000,717.66992362
1778414160000,736.83162997
1778414580000,730.93570702
1778416020000,726.93184518
1778417940000,722.67929666
1778429880000,753.10017535
1778431260000,744.32998399
1778431740000,735.9654345
1778432760000,728.45854746
1778434200000,740.66416391
1778439600000,746.65637825
1778440260000,736.72760691
1778442660000,736.54740201
1778443020000,729.05809688
1778446140000,791.9824073
1778446200000,782.44701111
1778447580000,773.03261634
1778449140000,763.24209232
1778452140000,753.10376292
1778455440000,747.25653967
1778456460000,737.32733088
1778459100000,728.08632513
1778460120000,718.71221886
1778461920000,720.2541479
1778463000000,718.17368989
1778463240000,718.03043635
1778471160000,750.85016172
1778471280000,750.23805983
1778473500000,743.84580107
1778481360000,777.54694554
1778489340000,805.38869118
1778496420000,804.6003799
1778500260000,800.36809334
1778500440000,793.4790725
1778500980000,787.44634109
1778502180000,783.09277182
1778503800000,773.53410463
1778504520000,764.80504876
1778506260000,759.25638933
1778506920000,757.47259441
1778507700000,748.17267043
1778508000000,741.49563428
1778509320000,732.1618818
1778510280000,741.50491111
1778514600000,755.30523022
1778516280000,793.3093989
1778519040000,785.49144338
1778520420000,774.92061585
1778523120000,773.6247397
1778525220000,764.26085212
1778526360000,762.91572029
1778530260000,771.85409787
1778530560000,763.04912378
1778532180000,759.69569425
1778533440000,754.07468113
1778534040000,746.97148925
1778535480000,740.41718935
1778536500000,736.97128541
1778536920000,733.162526
1778537340000,726.26396572
1778538060000,723.37350492
1778538420000,720.13718503
1778540460000,715.79008452
1778545920000,712.61316372
1778547540000,708.43400194
1778551980000,752.12225651
1778561280000,745.78700952
1778561580000,740.86387875
1778567460000,739.1321304
1778578380000,765.23028261
1778579640000,758.14916033
1778580120000,751.30399541
1778587140000,776.2431487
1778587200000,772.37408253
1778587740000,772.07180466
1778588760000,767.01173518
1778588880000,760.11033184
1778589240000,755.54659545
1778591640000,750.84015732
1778593200000,745.49790137
1778593560000,736.81536772
1778594280000,728.96190635
1778596680000,720.00944704
1778598900000,711.80925899
1778599860000,711.80149902
1778604180000,709.21062136
1778605020000,703.14231248
1778622540000,718.25932494
1778625360000,712.30173337
1778626260000,707.07227081
1778627820000,701.90456836
1778628720000,700.06909624
1778631840000,700.35695808
1778632140000,694.99976457
1778633100000,690.8371505
1778642100000,705.87575394
1778647560000,711.79480735
1778648160000,704.45286719
1778652780000,698.55586015
