time,balance
1778205780000,1000
1778205780000,993.68578286
1778207280000,994.9684556
1778215440000,992.70865713
1778230200000,983.79031934
1778253840000,971.84994733
1778852280000,959.36683998
1778852400000,947.00762675
1778853180000,935.75095735
1778860080000,928.44760284
1778863560000,918.25895417
1778865180000,910.08794839
1778868360000,904.17790397
1778873400000,896.55788265
1778875560000,889.33896863
1778893200000,884.01474702
1778897040000,877.7996855
1778898360000,873.55129961
1778901900000,867.52874817
1778907660000,860.37646822
1778910120000,854.69284738
1779014580000,923.30555013
