time,balance
1000,1000
1778167080000,990.68197703
1778174700000,978.51979374
1778174880000,965.89263324
1778180220000,965.06596115
1778188740000,973.68930493
1778192280000,963.08617544
1778193240000,956.53659068
1778200680000,947.41912348
1778207520000,956.97047615
1778209980000,947.44794192
1778214480000,943.52757592
1778215440000,941.38461132
1778221020000,932.65200841
1778224620000,926.6281378
1778245560000,937.34103977
1778245800000,932.34932343
1778250600000,942.35479745
1778254440000,929.8953715
1778261400000,997.71141507
1778262180000,1007.7533191
1778266860000,999.86128986
1778269140000,991.42973127
1778274300000,981.95319721
1778275020000,969.54523958
1778281260000,968.75698605
1778281980000,961.11158557
1778282400000,953.61398792
1778284920000,943.69805483
1778284980000,941.78834124
1778291400000,982.69766712
1778300460000,986.97903222
1778301900000,978.80929916
1778302740000,973.57279953
1778307480000,982.90896057
1778309340000,969.8299789
1778317260000,961.70654919
1778322000000,964.39293406
1778328900000,958.14965691
1778329200000,949.29035736
1778330760000,942.20138384
1778332080000,937.44845811
1778333160000,931.04024304
1778335500000,924.15838009
1778336100000,921.05497602
1778340540000,928.25288477
1778340780000,920.86785192
1778344140000,913.50242363
1778346300000,901.8219592
1778354820000,910.58156585
1778361060000,904.93094744
1778361660000,901.34230822
1778363280000,895.29579721
1778364060000,890.32908784
1778366280000,883.5228766
1778366880000,878.24613042
1778370900000,872.88108251
1778371740000,866.74024294
1778373240000,860.35543661
1778375400000,855.15804583
1778376720000,850.24530872
1778378520000,843.5221814
1778383320000,838.01552503
1778384640000,831.37537885
1778388300000,825.00114388
1778389380000,820.76719854
1778391600000,815.77096137
1778392680000,811.29662067
1778396700000,811.10775213
1778400780000,802.80518831
1778405820000,796.71889183
1778414160000,817.99119675
1778414580000,811.4458574
1778416020000,807.00098342
1778417940000,802.28003075
1778429880000,836.05166861
1778431260000,826.31546969
1778431740000,817.02959274
1778432760000,808.69584692
1778434200000,822.24587164
1778436000000,811.64532651
1778437020000,801.9905095
1778440260000,791.32592453
1778442660000,791.13236478
1778443020000,783.088033
1778446140000,850.67561578
1778446200000,840.43355869
1778447580000,830.32147034
1778449140000,819.80537811
1778452140000,808.9157049
1778456460000,798.16719685
1778458920000,790.54713266
1778459640000,785.55324717
1778461860000,775.62398802
1778462820000,770.31297261
1778471160000,805.52242742
1778471280000,804.86575606
1778472960000,796.82980831
1778481360000,832.93147945
1778481900000,825.90703867
1778489340000,834.38068366
1778496420000,833.56399512
1778499840000,828.28500213
1778500440000,821.15569164
1778502180000,812.25772808
1778502600000,806.12053284
1778504040000,799.0625752
1778505540000,789.88095521
1778506920000,779.35903134
1778509320000,769.54866434
1778510280000,766.7686317
1778514600000,781.03913975
1778516280000,820.33814367
1778522940000,817.35963287
1778523600000,815.2537967
1778526360000,813.81891511
1778530260000,823.35367834
1778530560000,813.96121954
1778532180000,810.3840428
1778534040000,802.75043104
1778537220000,799.14811974
1778538420000,795.5727898
1778540460000,790.77032305
1778545920000,787.26061435
1778551980000,835.81000927
1778561280000,828.76984685
1778561580000,823.29892516
1778563740000,818.1801442
1778564640000,813.98126593
1778567280000,808.18228531
1778578380000,836.71854214
1778579640000,828.97589728
1778580120000,821.49125306
1778587140000,844.49152946
1778587200000,840.28228959
1778588760000,834.77517647
1778588880000,827.26405254
1778589240000,822.29712221
1778591640000,817.17488282
1778593200000,811.36065282
1778593560000,801.91104048
1778594280000,793.36374673
1778596680000,783.62036151
1778599860000,783.61181868
1778604180000,780.75955949
1778605020000,774.07904736
1778622540000,790.7211444
1778625360000,784.16251933
1778626260000,778.40548079
1778627820000,772.71643303
1778631840000,767.33864694
1778632140000,761.4690949
1778633100000,756.9083711
1778642100000,770.17212214
1778647560000,776.63032657
1778648160000,768.61962837
1778649060000,763.02364271
1778649600000,757.08405809
1778653260000,750.35093249
1778653560000,748.17317481
1778656740000,743.88742026
1778657100000,738.31892453
1778667000000,739.09680866
1778667600000,735.09784591
1778674740000,754.67453369
1778675820000,814.09665686
1778676060000,803.98820207
1778679060000,793.37737623
1778680800000,827.44937489
1778684460000,822.03286264
1778688060000,854.19140792
1778688360000,843.01487924
1778689500000,840.49107843
1778691120000,831.9240747
1778697840000,826.55719433
1778701080000,828.57713962
1778701800000,822.47840535
1778706420000,813.80803945
1778711280000,803.74234356
1778721360000,797.60281433
1778721420000,796.81178695
1778729280000,810.72037858
1778742180000,836.27545526
1778744340000,827.55445976
1778746200000,820.18714767
1778748720000,811.98568891
1778750520000,808.71613457
1778753460000,803.21031499
1778753580000,793.4410578
1778755500000,786.55262118
1778760600000,778.19872645
1778765700000,782.08573557
1778765880000,771.95540563
1778767260000,761.59761993
1778773080000,800.65998266
1778773380000,791.70054731
1778775540000,805.81420568
1778777820000,795.60183333
1778780100000,795.4538662
1778781600000,796.39968022
1778783640000,796.42332693
1778783940000,788.40765387
1778791980000,802.19101588
1778792160000,796.56582379
1778793540000,791.81370626
1778794500000,787.1164726
1778804640000,792.0858614
1778805540000,785.7955703
1778805900000,778.8320681
1778809020000,777.06778395
1778810520000,768.68939446
1778812500000,762.07402012
1778815920000,763.56252547
1778817300000,757.0653204
1778817660000,752.57898226
1778819040000,751.61231348
1778823060000,757.07727065
1778823780000,763.98435866
1778825040000,756.53634328
1778826060000,753.27517867
1778830620000,769.01269424
1778834280000,762.04042336
1778835000000,752.35410559
1778840160000,748.49109752
1778852820000,810.49220261
1778853180000,800.85823293
1778855460000,794.66528124
1778856960000,785.10591688
1778859000000,780.1638152
1778860080000,774.07478812
1778869080000,796.54411398
1778869320000,789.82691019
1778873400000,783.17058972
1778875560000,776.86464868
1778877060000,771.4259924
1778882400000,765.23686695
1778890800000,759.28204652
1778893200000,754.73643902
1778895960000,748.8298655
1778896020000,743.88561338
1778897040000,738.65572908
1778898360000,735.08077384
1778900160000,730.18411161
1778901900000,725.14998095
1778902680000,720.81053541
1778903520000,716.61248396
1778905380000,712.96148804
1778906520000,719.20699789
