time,balance
1000,1000
1778167080000,990.68197703
1778174700000,978.51979374
1778174880000,965.89263324
1778180220000,965.06596115
1778188320000,952.8838395
1778192280000,942.50727411
1778193240000,936.09763867
1778200680000,927.17499044
1778207520000,936.52225303
1778209980000,927.20319311
1778215440000,925.09730489
1778221020000,916.51578856
1778245560000,927.11177997
1778245800000,922.17453855
1778250600000,932.07082224
1778261400000,1000.04551857
1778262180000,1010.11091522
1778265900000,1000.38543533
1778269140000,991.94945676
1778274300000,982.46795493
1778275020000,970.05349282
1778281260000,969.26482608
1778281980000,961.61541774
1778282400000,954.11388972
1778283180000,949.65578444
1778283660000,941.83497275
1778284980000,939.9290294
1778291400000,980.75759065
1778300460000,985.03050332
1778301900000,976.87689924
1778302740000,971.65073771
1778307480000,980.96846697
1778308980000,972.4325533
1778317260000,964.28732406
1778322000000,963.88975932
1778329200000,954.9773853
1778330760000,947.84594302
1778332080000,943.06454336
1778333160000,936.61793783
1778336100000,933.47269349
1778340540000,940.76764486
1778348220000,934.30238541
1778352360000,927.18354255
1778361060000,921.42990049
1778361660000,917.7758322
1778366880000,912.29451389
1778370900000,906.72147052
1778376720000,901.51251033
1778384640000,894.36923592
1778389380000,889.77929022
1778392680000,884.89902862
1778396700000,884.69302557
1778400780000,875.63723701
1778405820000,868.99877988
1778414160000,892.2009497
1778414580000,885.06180441
1778417940000,879.88419624
1778419860000,871.68904946
1778421360000,865.47357287
1778426160000,858.17369431
1778431260000,848.17987442
1778431740000,838.64829207
1778432760000,830.09403435
1778434200000,830.92169189
1778436000000,820.20929649
1778437020000,810.45260794
1778440260000,799.67549699
1778442660000,799.47989492
1778443020000,791.35068441
1778446140000,870.4723924
1778446200000,859.99198393
1778447580000,849.64456881
1778449140000,838.88374788
1778452140000,827.74065206
1778458920000,819.8382515
1778459640000,814.65933404
1778462820000,809.08102761
1778471160000,846.06249214
1778481360000,884.39473014
1778481900000,876.93627939
1778489340000,885.93347443
1778496420000,885.06632623
1778499840000,879.46116699
1778500440000,871.8913671
1778502180000,862.44363667
1778502600000,855.92725056
1778504040000,848.4332121
1778505000000,844.1614568
1778506920000,832.91646788
1778509320000,822.43193393
1778510280000,819.46085785
1778514600000,834.71203309
1778516280000,876.7116587
1778523600000,874.45290865
1778526360000,872.91383407
1778530260000,883.14095778
1778530560000,873.06647183
1778534040000,864.84240752
1778538420000,860.97316617
1778540040000,863.38721955
1778542380000,856.55244716
1778551980000,871.66020489
1778556240000,865.24161471
1778567460000,874.00641814
1778578380000,904.86687137
1778579640000,896.49361025
1778580120000,888.39936319
1778587140000,913.27294624
1778588760000,907.28746078
1778588880000,899.12388722
1778589240000,893.72550724
1778589780000,883.32835154
1778593200000,877.0434371
1778593560000,866.82884209
1778596680000,856.18322416
1778599860000,856.17389028
1778605020000,848.84810092
1778622540000,867.09767442
1778625360000,859.90554533
1778626260000,853.59242879
1778627820000,847.35387033
1778631480000,843.11955975
1778632140000,836.67034185
1778633100000,831.6592096
1778642100000,846.2328636
1778647560000,853.32886808
1778653260000,845.73978945
1778653560000,843.28518289
1778656740000,838.45459896
1778657100000,832.17820455
1778667000000,825.11808358
1778674740000,847.09213669
1778675280000,836.97596646
1778675820000,868.539319
1778676060000,857.75486195
1778680800000,894.59158477
1778688060000,929.58868197
1778691120000,920.11351928
1778697840000,914.17771416
1778701080000,916.41178699
1778701800000,909.66654661
1778705400000,905.77543405
1778711280000,894.57222688
1778721360000,887.73887738
1778721420000,886.85845701
1778729280000,902.3388406
1778742180000,930.78186346
1778744340000,921.07531954
1778746200000,912.87543703
1778748720000,903.74714201
1778750520000,900.10809957
1778755500000,892.2936091
1778760600000,882.81665019
1778765700000,887.22621327
1778765880000,875.73400229
1778773080000,920.65042317
1778775540000,937.06287305
1778777820000,925.18713928
1778780100000,925.01507169
1778781120000,913.8825325
1778783940000,904.68468087
1778791980000,920.50085972
1778794500000,915.04022221
1778804640000,920.81724606
1778805540000,913.50464423
1778805900000,905.40941967
1778808900000,897.94231518
1778810520000,888.26064957
1778812500000,880.6162398
1778815920000,882.3362853
1778817300000,874.82842628
1778819040000,873.70473116
1778823060000,880.05741972
1778823780000,888.08649982
1778826060000,884.25826832
1778830620000,902.73229834
1778834220000,898.21317787
1778835000000,886.79596429
1778840160000,882.24265629
1778852820000,955.32304407
1778853180000,943.96753292
1778856960000,932.6121487
1778859000000,926.7415216
1778860080000,919.50848399
1778869080000,946.19936201
1778869320000,938.22012543
1778873400000,930.31321095
1778875560000,922.82250543
1778877060000,916.36203074
1778890800000,909.23120422
1778893200000,903.7878934
1778895960000,896.714842
1778897040000,890.41049253
1778898360000,886.1010727
1778901900000,879.99199896
1778903520000,874.86686344
1778906520000,882.53065693
1778910120000,876.70068621
1778915700000,933.81980364
1778917740000,921.5443972
1778923080000,912.80121928
1778926500000,903.38117087
1778940480000,903.61344884
1778941620000,899.19722458
1778943180000,892.01408038
1778947800000,883.69629634
1778954220000,876.32491886
1778956020000,870.54448846
1778961840000,864.1398066
1778963280000,859.67130952
1778967420000,855.05418309
1778972760000,852.30170222
1778973900000,846.25006461
1778976180000,840.76544875
1778980080000,841.06496325
1778981580000,833.23600478
1778986260000,824.87945009
1778988000000,821.50673948
1778999220000,822.96204748
1778999400000,817.91195111
1779005040000,812.9305458
1779006780000,808.63859886
1779009840000,801.57122631
1779012300000,796.02783383
