time,balance
1000,1000
1778167080000,990.68197703
1778171760000,977.86910095
1778174700000,965.8642159
1778174880000,953.4003674
1778180220000,952.58438699
1778188740000,961.0962017
1778192280000,950.63020662
1778193240000,944.16533019
1778200680000,935.16578275
1778207520000,944.59360405
1778207760000,933.32417391
1778209980000,924.03693715
1778215260000,913.42298479
1778215440000,911.34839455
1778221020000,902.89441776
1778225940000,895.54190191
1778245560000,905.89541074
1778245800000,901.07115497
1778248080000,889.40120958
1778250600000,898.94578744
1778261400000,944.22477391
1778262180000,953.7283382
1778266860000,954.54079815
1778269140000,946.49141494
1778274300000,937.44442165
1778275020000,925.59887676
1778281260000,926.35314313
1778281980000,919.04239248
1778282400000,911.87297513
1778283180000,907.61224088
1778283660000,900.13767532
1778284980000,898.31611266
1778291400000,937.33709539
1778300460000,941.42083596
1778301900000,933.62821152
1778302740000,928.63342471
1778307480000,937.53863569
1778308980000,929.38062745
1778317260000,921.59600708
1778322000000,921.2160435
1778329200000,912.69824169
1778330760000,905.8825255
1778332080000,901.31280989
1778333160000,895.15161108
1778336040000,888.86858025
1778336100000,885.8836824
1778340540000,892.80673267
1778346300000,881.39089291
1778348220000,875.3336897
1778349660000,869.2041571
1778349780000,866.38627546
1778352360000,859.784914
1778361060000,854.44951447
1778361660000,851.06106693
1778362080000,846.06380182
1778366880000,841.01077597
1778370900000,835.87319215
1778373720000,831.46571848
1778376720000,826.68908975
1778378520000,820.15222804
1778384640000,813.65362447
1778388660000,808.11627857
1778389380000,803.96898716
1778392680000,799.55937792
1778396700000,799.37324181
1778407440000,825.2638646
1778414160000,847.2983171
1778414580000,840.51847026
1778416020000,835.91434462
1778417940000,831.02424891
1778419860000,823.28417842
1778421360000,817.41384709
1778424420000,811.09985375
1778426160000,804.25859295
1778431260000,794.89263874
1778431740000,785.95988182
1778432760000,777.94304873
1778434200000,778.71870834
1778436000000,768.67932341
1778437020000,759.53560266
1778440260000,749.43556796
1778442660000,749.25225468
1778443020000,741.63376503
1778446140000,805.64346939
1778446200000,795.94359525
1778447580000,786.36680972
1778449140000,776.407407
1778452140000,766.09419953
1778455440000,760.14611638
1778458920000,752.88903763
1778460120000,743.1955966
1778463000000,741.04887209
1778471160000,774.9207238
1778471280000,774.2889993
1778473500000,767.69181914
1778481360000,802.47334626
1778481900000,795.70577096
1778486220000,786.21510207
1778489340000,794.28151553
1778496420000,793.50407591
1778499840000,788.47878393
1778500860000,778.15920854
1778500980000,772.24295233
1778502180000,767.97343831
1778503800000,758.59932228
1778504520000,750.03880009
1778505540000,741.42048728
1778506920000,731.54410036
1778507700000,722.56251532
1778508000000,716.11403595
1778509320000,707.09978036
1778510280000,716.12299523
1778514600000,729.45092564
1778516280000,766.15420122
1778523120000,764.87298487
1778525220000,755.61502779
1778526360000,754.28511298
1778530260000,763.12237373
1778530560000,754.41700732
1778534040000,747.31059082
1778537220000,743.95706364
1778538420000,740.62865443
1778540040000,742.70527792
1778545920000,739.40889831
1778551980000,785.00733669
1778556240000,779.22682687
1778567460000,787.12030985
1778578380000,814.91288552
1778579640000,807.37202112
1778580120000,800.08243362
1778587140000,826.64076231
1778588760000,821.22305419
1778588880000,813.83386929
1778589240000,808.94757438
1778591640000,803.90849176
1778593200000,798.18865262
1778593560000,788.89244961
1778596680000,779.20397687
1778599860000,779.19548219
1778605020000,772.52835297
1778622540000,789.13711128
1778625360000,782.59162496
1778626260000,776.84611935
1778627820000,771.16846833
1778628720000,769.15187193
1778631840000,769.46813996
1778632140000,763.58229892
1778633100000,759.00891835
1778642100000,775.53153025
1778647560000,782.03467549
1778651400000,775.01219478
1778651580000,770.2875824
1778653260000,763.43703129
1778661540000,759.98237323
1778667000000,753.53475486
1778674740000,773.60244342
1778675280000,764.36390411
1778675820000,793.18897
1778676060000,783.34012125
1778680800000,831.12807092
1778681400000,821.5145821
1778688060000,853.65285185
1778688360000,842.4833698
1778691120000,833.89605892
1778697840000,828.51645697
1778701080000,830.54119031
1778701800000,824.42799966
1778705400000,820.90149628
1778711280000,810.748064
1778721360000,804.55502033
1778721420000,803.75709805
1778722740000,798.92919365
1778729280000,812.87474525
1778731680000,802.1320418
1778742180000,827.41640171
1778744340000,818.78779176
1778746200000,811.49852502
1778748720000,803.3839481
1778750520000,800.14902967
1778753340000,792.52328133
1778755500000,785.6428126
1778760600000,777.29858086
1778765700000,781.18109385
1778765880000,771.0624817
1778767260000,760.7166769
1778773080000,799.73385604
1778773380000,790.7847841
1778775540000,804.88211715
1778777820000,794.68155749
1778778840000,784.01357415
1778780100000,795.63816138
1778781600000,802.16939472
1778782020000,792.52254543
1778783640000,792.54607702
1778783940000,784.56942688
1778791980000,798.28568696
1778795340000,793.0948236
1778796420000,787.98483711
1778799060000,781.57167298
1778804640000,786.50605519
1778805540000,780.26007571
1778805900000,773.34562752
1778808900000,766.96768128
1778810520000,758.69819169
1778812500000,752.16880207
1778815920000,753.63796026
1778817300000,747.22520399
1778819040000,746.26541199
1778823060000,757.3897031
1778823780000,764.29964154
1778826060000,761.00501206
1778830620000,776.90402025
1778832180000,771.3795092
1778834280000,764.38577953
1778835000000,754.66964987
1778840160000,750.79475249
1778852820000,812.98668037
1778853180000,803.32305991
1778856960000,793.65954747
1778857320000,783.2551102
1778859000000,778.32465901
1778860080000,772.2499862
1778869080000,794.66634292
1778869320000,787.96497426
1778870160000,780.03295073
1778884260000,791.83861192
1778890800000,785.67678549
1778893200000,780.97316014
1778895960000,774.86125783
1778896020000,769.74512986
1778897040000,764.33344035
1778898360000,760.63420981
1778901900000,755.3901461
1778903520000,750.99070056
1778905380000,747.16455456
1778906520000,753.7096817
1778910120000,748.73069842
1778915700000,797.51226933
1778917740000,787.02867581
1778923080000,779.56171952
1778926500000,771.51669397
1778927340000,763.23797856
1778940480000,763.43422281
1778941620000,759.7030956
1778943180000,753.63428584
1778943900000,747.91073661
1778947800000,740.93667631
1778954220000,734.75613221
