time,balance
1000,1000
1778165880000,999.42056593
1778167080000,990.10794214
1778171760000,977.30249028
1778174700000,965.30456128
1778174880000,952.84793475
1778180220000,952.03242715
1778188740000,960.53930982
1778192280000,950.07937909
1778193240000,943.61824863
1778200680000,934.62391583
1778207520000,944.04627434
1778207760000,932.78337409
1778209980000,920.19689489
1778215260000,909.62705119
1778215440000,907.56108236
1778221020000,899.14223798
1778225940000,891.82027715
1778245560000,899.49645612
1778245800000,894.70627734
1778248080000,883.11876471
1778250600000,892.59592273
1778254440000,880.79438806
1778261400000,925.15910698
1778262180000,934.4707765
1778266860000,935.26683136
1778269140000,927.37998029
1778274300000,918.51566273
1778275020000,906.90930159
1778281260000,907.64833791
1778281980000,900.48520501
1778282400000,893.46055162
1778284920000,884.17011003
1778284980000,882.38086011
1778291400000,920.70964864
1778300460000,924.72094762
1778301900000,917.06655675
1778302740000,912.1603726
1778307480000,920.90761383
1778309340000,908.653647
1778310720000,901.93704583
1778317260000,894.38229669
1778322000000,896.88062123
1778324880000,888.91456088
1778328900000,883.15991485
1778329200000,874.99398986
1778340540000,900.06897345
1778340780000,892.90816734
1778341920000,885.8581637
1778342460000,880.36498756
1778344140000,873.32351558
1778346300000,862.15679724
1778354820000,870.53112692
1778357640000,865.39973773
1778361060000,860.02949539
1778361660000,856.6189196
1778362080000,851.58901986
1778363280000,845.87627085
1778364060000,841.1837194
1778366280000,834.75320492
1778366880000,829.7677304
1778370900000,824.69882833
1778371740000,818.8969576
1778373240000,812.86458686
1778373720000,808.57843522
1778375400000,803.69382832
1778376720000,799.07674436
1778378520000,792.75822119
1778381520000,788.01220217
1778383320000,782.8679244
1778384640000,776.66474879
1778388300000,770.70998548
1778388660000,766.22171853
1778389380000,762.28943201
1778390460000,758.67383338
1778391600000,754.05557572
1778392680000,749.91973157
1778396700000,749.74515148
1778407440000,774.02838725
1778414160000,794.69485826
1778414580000,788.33592975
1778416020000,784.01764551
1778417940000,779.43114528
1778429880000,812.24096899
1778431260000,802.78205641
1778431740000,793.76064066
1778432760000,785.6642394
1778434200000,798.82836026
1778436000000,788.529718
1778437020000,779.14986957
1778440260000,768.78901132
1778442660000,768.60096413
1778443020000,760.78573442
1778446140000,826.44842703
1778446200000,816.49806309
1778447580000,806.6739664
1778449140000,796.45737182
1778452140000,785.87783582
1778455440000,779.77614921
1778456460000,769.41483447
1778458920000,762.0692677
1778460120000,752.25763128
1778461860000,742.74922304
1778463000000,740.60378789
1778463240000,740.45606024
1778471160000,774.30081572
1778471280000,773.66959658
1778473500000,767.07769392
1778481360000,801.8313971
1778489340000,830.5426999
1778496420000,829.72976798
1778500260000,825.36529808
1778500440000,818.2611184
1778500980000,812.03997191
1778502180000,807.55043137
1778503800000,797.6932266
1778504520000,788.69154367
1778506260000,782.96958777
1778506920000,772.53972951
1778507700000,763.05481769
1778508000000,756.24496644
1778509320000,746.72555324
1778510280000,756.2544278
1778514600000,770.32925356
1778516280000,809.08937558
1778523120000,807.73636005
1778525220000,797.95958834
1778526360000,796.5551453
1778530260000,805.88764491
1778530560000,796.69443098
1778532180000,793.19313789
1778534040000,785.7214601
1778537220000,782.19556562
1778538060000,779.08250242
1778538420000,775.59694458
1778540460000,770.91506181
1778545920000,767.49347755
1778551980000,814.82385743
1778561280000,807.96046474
1778561580000,802.62691111
1778563740000,797.63665639
1778564640000,793.54320673
1778565720000,788.12251988
1778567280000,782.50776263
1778578380000,814.96174596
1778579640000,807.42042943
1778580120000,800.13040487
1778587140000,826.69032594
1778587200000,822.56981347
1778588760000,817.17878589
1778588880000,809.82599042
1778589240000,804.96375899
1778591640000,799.94949229
1778593200000,794.25782159
1778593560000,785.00739949
1778594280000,776.64027583
1778596680000,767.10227336
1778598900000,758.36574508
1778599860000,758.35747758
1778604180000,755.59714136
1778605020000,749.1319296
1778622540000,765.23768303
1778625360000,758.89043016
1778626260000,753.31893018
1778627820000,747.81322977
1778628720000,745.85770705
1778631840000,746.16439674
1778632140000,740.45681147
1778633100000,736.02193812
1778642100000,752.04415412
1778647560000,758.35034821
1778648160000,750.52820225
1778652780000,744.24549649
1778661540000,740.87768278
1778667000000,741.65826279
1778667600000,737.64544103
1778674740000,757.28997486
1778675820000,816.91803456
1778676060000,806.77454737
1778679060000,796.12694809
1778680800000,830.31702852
1778681400000,820.71292086
1778684460000,815.34050568
1778688060000,847.23724092
1778688360000,836.15170288
1778689500000,833.64844891
1778691120000,825.1511911
