time,balance
1000,1000
1778205780000,993.68578286
1778207280000,994.9684556
1778215440000,992.70865713
1778230200000,984.58003464
1778250480000,993.56195203
1778262120000,1000.09823935
1778281980000,992.20549466
1778291400000,1032.5016579
1778300160000,1024.18829481
1778318580000,1017.61016939
1778351460000,1009.14222148
1778384640000,1001.14612633
1778396700000,1000.91306115
1778400780000,993.31083531
1778405820000,985.78026086
1778413440000,1016.98181374
1778417940000,1011.03247403
1778434200000,1003.885889
1778440260000,997.21122999
1778444460000,990.11496738
1778446200000,984.15452029
1778470920000,1011.51881787
1778477760000,1003.07082644
1778488860000,994.90265278
1778509320000,988.01469517
1778513220000,998.6483367
1778515800000,1007.18432993
1778530260000,1002.69446173
1778540040000,1004.92359931
1778542380000,996.96839227
1778556240000,989.62707797
1778573160000,982.1817031
1778581800000,974.70624362
1778589240000,967.79262383
1778593260000,960.29160527
1778602740000,953.26969993
1778612280000,945.74114661
1778637300000,955.09252841
1778639160000,950.20696259
1778645100000,947.32896114
1778657100000,940.23756918
1778667000000,932.26068282
1778671320000,961.21294117
1778675820000,986.78531294
1778680800000,996.20748642
1778687820000,1028.26351036
1778701800000,1020.69498642
1778728380000,1035.67302008
1778740500000,1047.23556204
1778762580000,1039.98245643
1778765880000,1032.85476116
1778771220000,1044.61864838
1778777820000,1037.40021241
1778801340000,1029.57220989
1778803980000,1023.6588414
1778808900000,1015.21650873
1778817300000,1006.59058255
1778819040000,1005.29764226
1778823540000,1015.75125111
1778846940000,1009.66864085
1778851500000,1003.02877618
1778852280000,1009.85889072
1778865180000,1001.53882886
1778875560000,993.47462818
1778906400000,1007.11460326
1778912700000,999.43207854
1778923080000,991.51106439
1778980080000,983.87649478
1778992140000,977.76053064
1778995080000,969.94367771
1779003540000,962.54019215
1779012300000,955.88359334
