time,balance
1000,1000
1778167080000,990.68197703
1778167800000,977.57425933
1778174700000,965.57299394
1778174880000,953.11290347
1778179320000,948.59543508
1778180220000,947.78356704
1778182620000,936.87631097
1778183220000,930.14205367
1778188740000,938.45333499
1778192280000,928.23391265
1778193240000,921.92134494
1778196540000,914.32926397
1778201100000,905.4121316
1778207520000,913.51576175
1778209980000,904.42563272
1778214480000,900.68328515
1778215440000,898.63762963
1778219220000,890.93322928
1778221020000,882.66863049
1778224620000,876.96759561
1778245560000,887.10636379
1778245800000,882.38216722
1778248080000,874.03710695
1778250600000,883.41680548
1778253060000,876.32138799
1778254740000,864.98678751
1778261400000,935.24802821
1778262180000,944.6612421
1778266860000,937.26330653
1778269140000,929.35961971
1778274300000,920.47637988
1778275020000,908.84524312
1778281260000,909.58585702
1778281980000,902.40743328
1778282400000,895.36778466
1778284920000,886.05751115
1778284980000,884.2644418
1778291400000,922.6750492
1778300460000,926.69491095
1778301060000,917.51538921
1778301900000,909.92064245
1778302740000,905.05268799
1778303760000,895.35513457
1778307480000,903.9412205
1778309340000,891.91301532
1778310540000,885.90759847
1778310720000,879.35913191
1778317260000,871.9934985
1778322000000,874.42928325
1778328900000,868.76841186
1778329200000,860.73555442
1778330760000,854.30787767
1778332080000,849.99832987
1778333160000,844.18790685
1778335500000,837.94802031
1778336100000,835.13411811
1778340540000,841.66056802
1778340780000,834.96444993
1778344140000,828.28610757
1778346300000,817.69525836
1778354820000,825.63772277
1778361060000,820.51422381
1778361660000,817.26035175
1778362080000,812.46155787
1778363280000,807.01128917
1778364060000,802.53434363
1778366280000,796.39928823
1778366880000,791.6428784
1778370900000,786.8068742
1778371740000,781.27157864
1778373240000,775.51637371
1778375400000,770.83149409
1778377800000,764.16080647
1778378520000,758.11837338
1778380260000,752.00574434
1778383320000,747.09652286
1778383980000,746.82806093
1778389320000,737.53885216
1778389380000,733.75376748
1778391600000,729.28720516
1778392680000,725.28721058
1778394720000,720.63299525
1778396700000,715.35489027
1778400780000,708.0324604
1778405820000,702.66466316
1778406480000,696.70557356
1778414160000,715.30753412
1778414580000,709.58384104
1778416020000,705.69693876
1778417940000,701.56861437
1778429880000,731.10084784
1778431260000,722.58684859
1778431740000,714.4666417
1778432760000,707.17904351
1778434200000,719.02811328
1778439600000,724.84528493
1778440260000,715.20654976
1778442660000,715.03160895
1778443020000,707.76107906
1778446140000,768.84726415
1778446200000,759.59041298
1778447580000,750.45102858
1778449140000,740.94650229
1778452140000,731.1043306
1778456460000,721.3897451
1778459100000,712.3484869
1778459640000,707.84858218
1778461860000,698.90149675
1778462820000,694.11583169
1778471160000,725.84246863
1778471280000,725.2507533
1778472960000,718.00969836
1778481360000,750.54029615
1778489340000,773.90793575
1778496420000,773.1504377
1778499840000,768.2540461
1778500440000,761.641441
1778502180000,753.38836809
1778503800000,744.19228183
1778504040000,737.67653464
1778505540000,729.2002703
1778506920000,727.48708915
1778509320000,718.32967256
1778510280000,715.73467106
1778514600000,729.05537427
1778516280000,765.73874716
1778521200000,761.35288971
1778522940000,758.58854451
1778523600000,756.63412552
1778526360000,755.30241706
1778530260000,764.15159661
1778530560000,755.43448927
1778532180000,752.11452436
1778533440000,746.54960455
1778534040000,739.51729698
1778536500000,736.07558113
1778536920000,732.27145082
1778537220000,728.98541119
1778538420000,725.72398405
1778540460000,721.34315888
1778545920000,718.14159164
1778551980000,762.42850135
1778561280000,756.0064432
1778561580000,751.01585134
1778567460000,749.26037304
1778578380000,775.71614525
1778579640000,768.53799116
1778580120000,761.59902773
1778587140000,786.87991937
1778587200000,782.95783584
1778588760000,777.82642057
1778588880000,770.82770906
1778589240000,766.19962506
1778591640000,761.42682726
1778593200000,756.00924675
1778593560000,747.20429143
1778594280000,739.24009808
1778596680000,730.1614112
1778599860000,730.15345116
1778604180000,727.49577444
1778605020000,721.27100998
1778622540000,736.77777532
1778625360000,730.66658274
1778626260000,725.30229207
1778627820000,720.00135383
1778631840000,714.99044285
1778632140000,709.52131442
1778633100000,705.27172535
1778642100000,717.63061704
1778647560000,723.64823973
1778648160000,716.18403513
1778649240000,711.72594308
1778649600000,706.62963692
1778653260000,700.34522762
1778661540000,697.17606869
1778667000000,697.91060519
1778674740000,725.95228245
1778675820000,783.1128517
1778676060000,773.38911584
1778679060000,763.18212874
1778679120000,756.9424712
1778680800000,789.44975415
1778681400000,780.31834992
1778684460000,775.210359
1778688060000,805.53717263
1778688360000,794.99725237
1778689500000,792.61720576
1778691120000,784.53817347
1778697840000,779.47698743
1778701080000,781.38187784
1778701800000,775.63052384
1778706420000,767.45401683
1778711280000,757.96165699
1778721360000,752.1718317
1778721420000,751.42586076
1778723880000,746.87100292
1778725200000,742.1872799
1778729280000,755.14238417
1778742180000,789.05305015
1778744340000,780.82450768
1778746200000,773.87320946
1778748720000,766.13486678
1778750520000,763.04993607
1778753460000,757.8550165
1778753580000,748.63740509
1778755500000,742.13794144
1778760600000,734.25577047
1778765700000,737.9232898
1778765880000,728.36499451
1778767260000,718.59208735
1778773080000,747.12555783
1778773380000,738.76517604
1778775540000,751.9351547
1778777820000,742.40561087
1778780100000,742.26753724
1778781600000,743.15011142
1778782020000,734.2130251
1778783640000,734.23482537
1778783940000,726.84505398
1778791980000,739.55214587
1778792160000,734.36619539
1778793540000,729.98514569
1778794500000,725.65469426
1778796000000,722.5741067
1778799060000,719.04474409
1778804640000,723.58436818
1778805540000,717.83807662
1778805900000,711.47679486
1778807220000,705.90990732
1778809020000,704.31081335
1778810520000,696.7168937
1778812500000,690.72091784
1778815920000,692.07005421
1778817300000,686.18118341
1778817660000,682.11490177
1778823060000,703.39025449
1778823780000,709.80753655
1778825040000,702.88768618
1778826420000,695.28705959
1778830620000,709.81308041
1778834280000,703.37754416
1778835000000,696.8693301
1778838540000,692.2143967
1778840160000,688.66017964
1778843340000,680.64418283
1778852820000,734.45360498
1778853180000,725.72347316
