time,balance
1000,1000
1778167080000,990.68197703
1778167800000,977.57425933
1778169420000,965.31337947
1778171760000,955.94527044
1778174700000,944.20953499
1778174880000,932.02512604
1778179320000,927.60760737
1778180220000,926.81370204
1778182620000,916.14777077
1778183220000,909.56251001
1778184360000,899.9044488
1778188740000,907.94554209
1778191740000,905.3741277
1778201100000,904.03616317
1778207520000,912.12747811
1778207760000,901.24538358
1778215260000,892.22810181
1778215440000,890.20164993
1778221020000,881.94383753
1778222280000,874.10059947
1778224620000,868.45490432
1778225400000,860.03059037
1778228700000,851.28363062
1778230860000,844.5648824
1778232600000,838.81038009
1778234340000,830.79356539
1778238600000,825.02689014
1778244840000,817.92221314
1778245260000,813.97755198
1778245800000,809.6427956
1778246100000,803.69503856
1778248080000,793.28622994
1778250600000,801.79935328
1778254740000,801.16121173
1778261400000,859.58884274
1778262180000,868.24055159
1778266860000,868.98018638
1778269140000,861.65231257
1778276220000,866.70433574
1778281260000,865.99969327
1778286000000,869.22125495
1778291400000,906.97841761
1778300460000,910.9298931
1778301060000,900.93580833
1778301900000,893.47829929
1778302740000,888.69830917
1778303760000,879.17599137
1778307480000,884.27268887
1778311260000,878.20107522
1778317980000,866.63222979
1778322000000,866.27492715
1778322180000,860.37000008
1778323500000,853.62895609
1778328900000,848.10274165
1778329200000,840.26096434
1778330760000,833.98618479
1778333160000,828.28521767
1778335500000,822.33048151
1778336100000,819.56902438
1778340540000,825.97383539
1778340780000,819.40251845
1778342460000,814.82123963
1778344140000,808.30400983
1778346240000,801.43380142
1778354820000,809.21831452
1778354880000,806.9311773
1778355660000,800.71479404
1778356980000,793.8544069
1778361060000,788.92813946
1778361660000,785.79952676
1778364060000,781.4402548
1778366280000,775.46645531
1778366880000,770.83506458
1778370900000,766.12617158
1778371740000,760.73636762
1778373240000,755.13243448
1778375400000,750.57069384
1778377800000,744.07534088
1778378520000,738.19172917
1778380800000,729.95146242
1778383860000,723.97070201
1778389320000,714.96579801
1778389380000,711.29655933
1778391600000,706.96670025
1778394060000,703.71450671
1778394720000,699.19872482
1778407440000,729.38685547
1778414160000,748.86140259
1778414580000,742.86922073
1778416020000,738.79999043
1778417940000,734.47801332
1778429880000,765.39555399
1778430540000,760.08887348
1778434200000,799.84912543
1778439600000,806.32016541
1778440260000,795.59800621
1778442660000,785.7973848
1778443020000,777.80729975
1778446140000,844.93910748
1778446200000,834.76611744
1778447460000,824.3481926
1778449140000,813.90775244
1778452140000,803.09641881
1778452680000,793.15720676
1778456460000,782.61809054
1778459100000,780.9502018
1778459640000,776.01694011
1778461860000,766.20821825
1778463000000,756.9293162
1778465820000,749.72933308
1778471160000,766.86012417
1778481360000,795.08199174
1778489340000,819.83641136
1778496420000,816.87911044
1778496660000,809.95005599
1778498340000,801.14436213
1778499840000,796.07068393
1778502180000,791.66943309
1778505000000,787.68347633
1778506920000,777.19082485
1778509320000,767.40775068
1778509800000,758.04159407
1778510280000,748.12048382
1778514600000,762.04392688
1778516280000,800.38716187
1778517900000,790.13435336
1778519040000,782.34768748
1778521200000,777.8667004
1778523120000,772.17482616
1778525220000,762.8284882
1778526360000,761.48587739
1778530260000,770.40750283
1778530560000,761.61903085
1778531640000,760.45248407
1778532180000,757.11046619
1778533440000,751.50858125
1778534040000,744.42956138
1778536920000,740.58225667
1778538420000,737.26894609
1778540460000,732.81842988
1778540700000,727.8856591
1778541180000,721.81269355
1778542380000,716.09865775
1778545980000,713.7641026
1778551980000,757.78105794
1778554560000,754.10135583
1778561280000,747.74943857
1778561580000,742.8133533
1778562900000,739.86642256
1778567460000,738.13700573
1778578380000,764.20002091
1778579640000,757.12843223
1778580840000,751.03907854
1778587140000,775.96943804
1778587200000,772.10173614
1778588760000,767.0414705
1778589240000,762.43611924
1778590800000,752.16295238
1778593200000,746.81128469
1778593620000,738.62849583
1778594280000,730.75570894
1778595420000,721.00662603
1778596680000,712.15186636
1778599860000,712.14410266
1778604180000,709.55197796
1778605020000,703.48074829
1778622540000,717.47820039
1778623020000,711.2864669
1778625360000,705.38671161
1778626260000,700.20801664
1778627820000,695.09048221
1778631840000,693.90490759
1778642100000,713.43816657
1778647560000,719.42063386
1778648160000,712.00003569
1778649240000,707.56798815
1778649600000,702.50145497
1778653260000,696.25375965
1778656740000,692.26541468
1778657940000,689.19462596
1778661300000,689.01746939
1778667000000,689.74341009
1778674740000,717.45693378
1778675280000,708.88889714
1778675820000,735.62193497
1778676060000,726.48788312
1778679060000,716.89988621
1778680800000,747.6875198
1778681400000,739.03917082
1778682900000,731.50272038
1778688060000,774.74395677
1778690340000,764.46491576
1778691120000,756.67283568
1778692320000,753.68177586
1778697840000,748.81964955
1778698560000,741.62116112
1778700660000,735.00820635
1778706420000,739.51837557
1778711280000,730.37154154
1778721360000,724.79246826
1778721420000,724.07365097
1778729280000,743.45807723
1778742180000,776.84404396
1778744340000,768.74282161
1778745480000,759.08011603
1778750220000,751.31324071
1778750520000,748.28799101
1778753460000,743.19357223
1778753580000,734.1542845
1778755500000,727.78055931
1778760600000,720.05087663
1778765700000,723.64744423
1778765880000,714.27406349
1778767740000,705.69292084
1778773080000,741.88793001
1778775540000,755.11357805
1778777820000,762.64582105
1778778720000,752.88971062
1778780580000,743.00758145
1778781600000,743.89103555
1778782560000,737.49638949
1778783640000,728.95206429
1778786040000,722.41558148
1778791980000,735.04523496
1778792160000,729.89088824
1778793540000,725.53653713
1778794500000,721.23247594
1778796000000,718.17066182
1778799060000,714.66280752
1778804640000,719.17476665
1778805060000,714.86480022
1778805540000,709.18775446
1778805900000,702.90312946
1778809020000,706.63987964
1778810040000,704.23102541
1778810520000,696.28974703
1778812680000,689.75867959
1778815920000,691.1059365
1778817300000,685.22526944
1778823060000,706.5976354
1778823780000,713.04417955
1778825040000,706.09277544
1778826060000,703.04905547
1778830620000,717.73724083
1778834280000,711.22985999
1778835000000,702.18939675
1778836200000,695.54711817
