time,balance
1000,1000
1778205780000,993.68578286
1778207280000,994.9684556
1778215440000,992.70865713
1778230200000,983.79031934
1778250600000,989.39679573
1778261220000,1032.99463975
1778261940000,1067.7564256
1778274300000,1057.55032645
1778275020000,1039.78346485
1778280000000,1030.93121928
1778281980000,1022.79514165
1778283180000,1018.01612265
1778284980000,1015.95601539
1778290860000,1065.25587863
1778300820000,1064.93889036
1778301900000,1056.12384346
1778302740000,1050.4737213
1778308980000,1041.33300651
1778317260000,1032.61065757
1778318580000,1016.2753647
1778340600000,1019.16595623
1778348220000,1012.16191824
1778352000000,1000.46300771
1778361060000,994.25462957
1778370900000,988.18090657
1778376720000,982.50397581
1778384640000,974.71895294
1778389380000,969.71664863
1778396700000,969.49090018
1778400780000,959.56711378
1778405820000,952.29236016
1778412120000,996.07387987
1778417940000,990.24685149
1778431260000,978.7149801
1778432760000,968.73203462
1778434200000,957.15596282
1778437020000,945.77024377
1778440260000,932.407805
1778442660000,915.1789234
1778445180000,949.17957981
1778446140000,1008.41752617
1778462820000,1001.51247797
1778470560000,1040.57033523
1778477580000,1082.39285156
1778481900000,1073.26460431
1778488860000,1063.52721424
1778494380000,1054.37851314
1778499840000,1047.70109327
1778501940000,1038.83140513
1778505000000,1033.6010187
1778509320000,1020.59032029
1778513220000,1066.21704149
1778516040000,1105.29466471
1778523600000,1102.44699597
1778530260000,1097.53246191
1778538420000,1092.62218235
1778540040000,1095.68574854
1778542380000,1087.0120474
1778550120000,1127.75428371
1778556240000,1119.44990946
1778567580000,1125.15673444
1778570040000,1116.08832197
1778572140000,1107.29639458
1778573160000,1098.96574466
1778579640000,1088.79637343
1778581800000,1077.68078551
1778589240000,1064.88762284
1778593260000,1054.37886557
1778599920000,1049.11830661
1778605020000,1040.14160245
1778627640000,1046.71527546
1778630880000,1038.43264782
1778633100000,1032.21308551
1778645040000,1074.31047161
1778657100000,1066.26853796
1778667000000,1057.22241682
1778670360000,1101.87239726
1778675280000,1088.71358222
1778675820000,1147.82958813
1778680920000,1193.50841173
1778687400000,1238.96376909
1778687940000,1228.95720904
1778691120000,1216.43062633
1778698560000,1204.73694041
1778701800000,1195.86948543
1778705400000,1190.75413542
1778711280000,1168.95919202
1778712540000,1166.15419539
1778721420000,1164.99765497
1778728920000,1208.45102733
1778737860000,1256.95336247
1778740860000,1245.77400192
1778742180000,1236.95464881
1778748720000,1224.58572474
1778750520000,1219.65478861
1778755440000,1212.85486948
1778758500000,1207.65488686
1778762580000,1192.4686525
1778765880000,1177.02264659
1778772000000,1228.07072583
1778775060000,1274.72017117
1778777820000,1258.56518539
1778791020000,1305.54267526
1778801340000,1295.69132645
1778803980000,1288.24949752
1778805540000,1278.01895973
1778805900000,1266.6935105
1778808900000,1256.2468191
1778817300000,1245.55733013
1778819040000,1243.95744305
1778824260000,1249.12497875
1778830020000,1300.41826454
1778850060000,1350.81921045
1778853060000,1423.57885891
1778860080000,1412.46810236
1778863560000,1396.9678833
1778865180000,1384.53714947
1778868360000,1375.54606673
1778873400000,1363.95355787
1778875560000,1352.97126252
1778893200000,1344.8714051
1778897040000,1335.41629302
1778898360000,1328.95312855
1778901900000,1319.79088636
1778906640000,1324.79334573
1778910120000,1316.04180111
1778915280000,1364.32818057
1778916360000,1374.85109417
1778923080000,1361.80715646
1778932800000,1350.19069875
1778941620000,1343.59192036
1778942820000,1331.31958422
1778947500000,1322.0741972
1778967420000,1314.9735953
1778972760000,1310.74060079
1778984880000,1325.30126082
1779000240000,1320.99124163
1779003540000,1310.90824424
1779009840000,1299.45111499
1779012300000,1290.46455547
