time,balance
1000,1000
1778167080000,990.68197703
1778174880000,977.89787148
1778180160000,965.19341409
1778188320000,953.00968359
1778200680000,943.92583398
1778204040000,936.17087505
1778205780000,930.25968886
1778207280000,931.46048973
1778215440000,929.34493222
1778221020000,920.72401345
1778230860000,910.45649355
1778245800000,905.60794819
1778250600000,915.3264481
1778261400000,982.0799993
1778262180000,991.9645741
1778265900000,982.41380956
1778269140000,974.12938083
1778274300000,964.81821135
1778275020000,952.62677134
1778281260000,951.85227275
1778281980000,944.34028375
1778282400000,936.97351844
1778283180000,932.59550169
1778283660000,924.91518854
1778284980000,923.04348489
1778291400000,963.13857322
1778300460000,967.3347243
1778301900000,959.32759728
1778302740000,954.19532216
1778307480000,955.6412576
1778308980000,947.32572908
1778317260000,939.39079806
1778322000000,939.00349788
1778329200000,930.32122867
1778330760000,923.37391007
1778333160000,917.06190588
1778336100000,913.98233239
1778340540000,921.12496946
1778348220000,914.79470083
1778352000000,904.2211936
1778361060000,898.61004452
1778361660000,895.04647179
1778366880000,889.70090215
1778370900000,884.2658791
1778376720000,879.18592245
1778384640000,872.21955623
1778389380000,867.74328373
1778396700000,867.54127451
1778400780000,858.66105264
1778405820000,852.15129683
1778414160000,874.90364074
1778414580000,867.90290374
1778417940000,862.82567507
1778419860000,854.78940952
1778421360000,848.69443383
1778426160000,841.53607973
1778431260000,831.73601237
1778431740000,822.38922105
1778432760000,814.00080673
1778434200000,814.81241827
1778436000000,804.30770659
1778437020000,794.74017325
1778440260000,784.17200067
1778442660000,774.51213119
1778443020000,766.63679599
1778446140000,843.28753239
1778446200000,833.13442715
1778452140000,822.06770095
1778458920000,814.21945978
1778462820000,808.64416534
1778471160000,827.12111915
1778481360000,857.56070253
1778481900000,850.32855376
1778489340000,859.05275873
1778494380000,851.66299303
1778499840000,846.26937839
1778502180000,837.09928535
1778505000000,832.88459496
1778509320000,822.40046222
1778514600000,837.70634711
1778516280000,851.52608758
1778523600000,849.33222535
1778526360000,847.83736427
1778530260000,849.50864686
1778530560000,839.81782362
1778534040000,831.90695312
1778538420000,828.18506257
1778540040000,830.50718251
1778542380000,823.93269607
1778551980000,838.46511098
1778556240000,832.29095747
1778567460000,840.72197432
1778567760000,836.01698323
1778578380000,853.02706984
1778579640000,845.13351266
1778587140000,868.79572978
1778588760000,863.10174286
1778589240000,852.85585081
1778589780000,842.93415226
1778593200000,836.93664407
1778593560000,827.18915778
1778599860000,827.18013997
1778605020000,820.10243353
1778622540000,827.24827332
1778623320000,821.90238246
1778623620000,820.54890381
1778626260000,814.52472955
1778627820000,808.57170096
1778631480000,804.53118868
1778632140000,798.37714222
1778633100000,793.5953623
1778642100000,807.50200109
1778647560000,814.27323164
1778653260000,807.03149424
1778657100000,800.99032282
1778667000000,794.1947969
1778674740000,815.34531947
1778675280000,805.60827708
1778675820000,835.98871701
1778676060000,825.60843344
1778680800000,861.06461139
1778688060000,894.7501081
1778691120000,885.63004995
1778697840000,879.91670342
1778698560000,871.4579641
1778699880000,866.43033285
1778701800000,860.0529805
1778705400000,856.37409072
1778711280000,845.7819108
1778721360000,839.32125484
1778721420000,838.48885294
1778729280000,853.12493041
1778742180000,880.01665978
1778744340000,870.83951453
1778748720000,862.13155758
1778750520000,858.6600851
1778755500000,851.20543486
1778760600000,842.16486924
1778765700000,846.37138156
1778765880000,835.40836182
1778768760000,825.12789281
1778773080000,844.26263645
1778775540000,859.31332003
1778777820000,848.42293422
1778781120000,838.21217999
1778791980000,852.86625121
1778801340000,846.43070292
1778803980000,841.56921133
1778805540000,834.88595189
1778805900000,827.48742435
1778808900000,820.66295917
1778812500000,813.60029807
1778817300000,806.67731822
1778819040000,805.64116148
1778823060000,811.49896127
1778823780000,818.90255792
1778830620000,836.01116859
1778834220000,831.82605724
1778835000000,821.25269226
1778852820000,889.28098899
1778853180000,878.71049113
1778856960000,868.14011143
1778860080000,861.36444645
1778863560000,851.91195857
1778865180000,844.33133275
1778868360000,838.84830698
1778873400000,831.77885531
1778875560000,825.08152973
1778877060000,819.30531782
1778890800000,812.92975456
1778893200000,808.06297336
1778895960000,801.73906596
1778897040000,796.10244323
1778898360000,792.24945667
1778901900000,786.78742702
1778903520000,782.20512149
1778906520000,789.05720238
1778910120000,783.84471445
1778915700000,834.91404633
1778917740000,823.93879262
1778923080000,816.12165057
1778926500000,807.69932893
1778932800000,800.80950973
1778932980000,794.53445542
1778936040000,789.55538692
1778941620000,785.69659791
1778943180000,779.42014174
1778947500000,774.00743622
1778954220000,767.55103146
1778956020000,762.48809736
1778963280000,758.54524482
1778967420000,754.47124669
1778972760000,752.04254953
1778980080000,752.31045736
1778981580000,745.41887976
1778986260000,737.94304626
1778988000000,734.92579528
1778999220000,736.2277242
1778999400000,731.70987192
1779005040000,727.25347114
1779006780000,723.41386478
1779009840000,717.09134283
1779012300000,712.13218434
