time,balance
1000,1000
1778165880000,999.42056593
1778167080000,990.10794214
1778167860000,978.86700923
1778170020000,966.74852069
1778170440000,956.90125668
1778171760000,944.52527982
1778172060000,939.79017382
1778174700000,928.25276766
1778174880000,916.2742704
1778179320000,911.93140604
1778180220000,911.1509174
1778182620000,900.66523615
1778183220000,894.19126368
1778184360000,884.69641988
1778188740000,892.60162189
1778188920000,885.48110504
1778192280000,875.83853141
1778193240000,869.88228487
1778201100000,874.52339439
1778207520000,882.35056381
1778207760000,871.82372138
1778209980000,860.05979908
1778215260000,850.18072027
1778215440000,848.24976751
1778219220000,840.9773636
1778221020000,833.17617236
1778222280000,825.76663133
1778222820000,819.47892958
1778225940000,812.80568883
1778245560000,819.80176428
1778245800000,815.43599164
1778246100000,809.44567691
1778248080000,798.96239067
1778250600000,807.53642752
1778254740000,806.89371991
1778261400000,847.53613722
1778262180000,856.06653632
1778266860000,856.79580034
1778269140000,849.57067416
1778269620000,839.02989146
1778276220000,843.94927528
1778281260000,843.26313299
1778286000000,846.40011354
1778291400000,883.1659733
1778300460000,887.01370399
1778301060000,877.2820109
1778301900000,870.0202965
1778302740000,865.36580358
1778303760000,856.09349134
1778307480000,864.30307432
1778311260000,861.60309492
1778317980000,850.2529004
1778322000000,849.90235076
1778322180000,844.10902668
1778323500000,837.49538826
1778324880000,830.05678534
1778329140000,825.43413769
1778340540000,849.08886869
1778340780000,842.33365221
1778341920000,835.68296233
1778342820000,829.39916419
1778344140000,822.76533497
1778346300000,812.24507691
1778354820000,820.13460245
1778354880000,817.81661194
1778357640000,812.99595108
1778361060000,807.9509007
1778361660000,804.74685038
1778362080000,800.02153335
1778363280000,794.65471658
1778364060000,790.2463199
1778366280000,784.20520154
1778366880000,779.52161959
1778379420000,789.3325761
1778380800000,780.52143568
1778381520000,775.84867483
1778407440000,820.70115721
1778414160000,842.61378593
1778414580000,835.8714234
1778416020000,831.29275299
1778417940000,826.42969356
1778429880000,861.21790124
1778430540000,855.24686022
1778434200000,902.72896117
1778439600000,919.93154943
1778440260000,907.6986264
1778442660000,912.66501262
1778443020000,903.38492183
1778443860000,894.0407795
1778446140000,971.20458822
1778446200000,959.51137326
1778447580000,947.96654182
1778449140000,935.96046472
1778452140000,923.52787538
1778452680000,912.09819001
1778455440000,905.01650753
1778456460000,892.99105523
1778459100000,892.09309097
1778460120000,880.60739875
1778461920000,882.49665857
1778463000000,879.94756218
1778463240000,879.77203974
1778471160000,919.9846481
1778471280000,919.23466579
1778473500000,911.40250402
1778481360000,952.69507758
1778489340000,986.80837989
1778489940000,990.42212921
1778496420000,989.45270792
1778496660000,981.05982384
1778498340000,970.39384215
1778500260000,965.28946374
1778500440000,956.9809126
1778500980000,949.70509525
1778502180000,944.45444297
1778503800000,932.92614643
1778504520000,922.39840834
1778506260000,915.70640935
1778506920000,913.55505118
1778507700000,902.33881367
1778508000000,894.28592813
1778509320000,889.27532662
1778510280000,900.62326163
1778514600000,917.3849691
1778516280000,963.54439141
1778517900000,951.20156959
1778519040000,941.82760834
1778520420000,929.15287166
1778520540000,925.96011385
1778520960000,914.72959854
1778523120000,926.00407973
1778525220000,914.79580568
1778526360000,913.18572588
1778530260000,923.88467808
1778530560000,913.34540558
1778531640000,904.15881196
1778532180000,900.18523705
1778533440000,893.52473724
1778534040000,885.10796127
1778534280000,877.65977288
1778535480000,869.9587489
1778536920000,863.69810234
1778537340000,855.57129115
1778538060000,852.16619962
1778538420000,848.35367068
1778540460000,843.23259271
1778545920000,839.49003855
1778545980000,836.75321482
1778547540000,831.84602641
1778551980000,883.14494892
1778555100000,877.93547752
1778563080000,873.30814624
1778567460000,871.26681315
1778578380000,902.03053317
1778579640000,893.68351835
1778580120000,885.61464299
1778580840000,878.49191378
1778587140000,907.65300521
1778587200000,903.12894656
1778587740000,902.77549619
1778588760000,896.85880981
1778589000000,886.30308981
1778589240000,880.98168645
1778591640000,875.49389016
1778593200000,869.26471822
1778593620000,859.74021076
1778594280000,850.57653579
1778595420000,839.22891159
1778596680000,828.92225136
1778597220000,819.07081272
1778598900000,809.74241472
1778599860000,809.7335871
1778601060000,799.80553568
1778604180000,796.89433318
1778605020000,790.07576503
1778622540000,807.06177905
1778623020000,800.09695218
1778625360000,795.80935122
1778626260000,789.96680584
1778627820000,784.19326109
1778628720000,782.142605
1778631840000,782.4642147
1778642100000,804.49039722
1778647560000,814.62414969
1778648160000,806.22155712
1778652780000,799.47263976
