time,balance
500,500
1762139700000,498.14342552
1762143300000,496.3350346
1762183800000,494.61743672
1762234200000,497.57130812
1762268400000,495.81736351
1762276500000,494.1337834
1762306200000,495.67254322
1762407900000,498.92628964
1762435800000,497.07259204
1762443900000,495.31104067
1762514100000,493.51304083
1762536600000,491.8220309
1762609500000,496.46725355
1762698600000,494.56605816
1762770600000,492.68410126
1762786800000,490.86022508
1762964100000,489.13064711
1763055900000,491.59273648
1763095500000,489.87219666
1763124300000,488.1861296
1763132400000,486.5512632
1763244000000,484.66035325
1763292600000,483.95151157
1763308800000,486.82684237
1763387100000,490.19177707
1763396100000,488.53430391
1763561700000,487.14526078
1763604900000,485.42188195
1763648100000,483.64866268
1763655300000,485.29054999
1763951400000,483.55994397
1763958600000,481.83860634
1764007200000,485.33160132
1764159300000,483.38747219
1764180900000,487.95309644
1764181800000,486.20944299
1764320400000,490.48153478
1764321300000,488.54164862
1764348300000,487.70519051
1764370800000,485.92691357
1764546300000,497.69482454
1764547200000,508.29729296
1764548100000,511.36506268
1764603900000,509.48263102
1764673200000,507.45085923
1764684900000,512.42072091
1764689400000,522.19670451
1764690300000,520.38494377
1764771300000,518.38186282
1764799200000,516.46827134
1764810900000,514.60348199
1764876600000,512.71673598
1764919800000,510.64905096
1764953100000,508.82224187
1765119600000,507.50445914
1765130400000,511.35776355
1765143900000,510.83216003
1765145700000,508.99362556
1765195200000,508.46116521
1765295100000,516.094358
1765296000000,525.91143712
1765296900000,524.02319395
1765317600000,522.14820128
1765397700000,520.34240806
1765416600000,522.72939258
1765478700000,520.81468811
1765519200000,525.94237552
1765520100000,523.9191498
1765553400000,527.29264326
1765810800000,530.64702386
1765812600000,528.79265109
1765890900000,533.01027757
1765983600000,535.5458334
1766066400000,533.44388234
1766078100000,537.43848905
1766087100000,537.07544285
1766106900000,536.09541874
1766114100000,541.99084023
1766115000000,540.05054384
1766128500000,538.09664308
1766362500000,535.92361427
1766392200000,533.76994775
1766708100000,539.55395998
1766715300000,546.48426223
1766717100000,544.39567071
1766761200000,552.4339087
1766762100000,550.29789414
1766970000000,547.98743195
1767006000000,552.33436942
1767010500000,550.19250375
1767112200000,548.03371954
1767574800000,552.56087088
1767708900000,562.41394658
1767709800000,560.25154051
1767717000000,563.0048535
1767722400000,560.98644048
1767735900000,558.91062404
1767778200000,565.3550348
