time,balance
100,100
1762059600000,99.5314715
1762139700000,99.1209727
1762183800000,98.73394367
1762234200000,99.25192984
1762276500000,98.87026841
1762407900000,99.43482898
1762437600000,99.02492505
1762444800000,98.6311845
1762514100000,98.23183722
1762698600000,97.81676247
1762965000000,97.42956208
1763095500000,97.04608764
1763244000000,96.63169746
1763308800000,97.1340558
1763387100000,97.71753413
1763561700000,97.47277886
1763604900000,97.08599773
1763648100000,96.69038881
1763655300000,96.97654598
1763951400000,96.58887534
1763958600000,96.20347988
1764007200000,96.81085514
1764180900000,97.61094154
1764181800000,97.22035896
1764320400000,97.9678095
1764348300000,97.8210406
1764508500000,99.79881936
1764512100000,99.33310036
1764546300000,101.41916599
1764547200000,103.32323398
1764548100000,103.86888002
1764603900000,103.4438003
1764673200000,102.99317396
1764684900000,103.88284119
1764689400000,105.61698718
1764691200000,105.20379477
1764771300000,104.7573749
1764799200000,104.32701223
1764876600000,103.90100199
1764919800000,103.4434848
1764953100000,103.02913636
1765119600000,102.79565843
1765130400000,103.47858858
1765143900000,103.38617167
1765146600000,102.97038462
1765195200000,102.87687368
1765295100000,104.2282436
1765296000000,105.96303255
1765296900000,105.53772384
1765397700000,105.12604367
1765416600000,105.54801092
1765478700000,105.11740359
1765519200000,106.02297144
1765520100000,105.5727892
1765553400000,106.16759563
1765707300000,105.65740261
1765890900000,106.38862961
1765983600000,106.83146351
1766066400000,106.37113097
1766078100000,107.06502192
1766087100000,107.00173867
1766114100000,108.03134607
1766115000000,107.5981351
1766362500000,107.12285588
1766677500000,106.61793779
1766704500000,106.12123816
1766708100000,107.11655971
1766715300000,108.33097019
1766718900000,107.87394029
1766757600000,107.37241311
1766761200000,108.75963829
1766762100000,108.29648109
1766970000000,107.80390112
1767006000000,108.54498274
1767013200000,108.08095797
1767112200000,107.61535369
1767345300000,107.10951135
1767426300000,106.62284789
1767708900000,108.27169876
1767709800000,107.81274031
1767735900000,107.36897173
1767778200000,108.44118716
1767780000000,107.96672286
1768188600000,107.51934533
1768207500000,107.05996733
1768343400000,106.62219781
1768488300000,106.14320453
1768579200000,105.67632563
1768778100000,107.16949142
1768779900000,109.88001318
1768780800000,114.48364969
1768781700000,114.0291426
1768896900000,113.53935459
1769004900000,113.05177702
1769013900000,113.66312557
1769026500000,113.21196527
1769151600000,112.69752371
1769179500000,112.17893649
1769357700000,111.69169101
1769391000000,112.1248535
1769530500000,111.63528772
1769697900000,112.79148039
1769699700000,112.32073066
1769737500000,111.86886745
1769848200000,112.70009416
1769869800000,113.82032328
1769879700000,113.39219532
1770003900000,112.96397843
1770129900000,114.11752858
1770203700000,113.658528
1770290100000,114.51923968
1770304500000,115.56200315
1770305400000,115.1303354
1770323400000,114.70427448
1770336900000,115.07955335
1770447600000,116.30372988
1770448500000,115.8459022
1770790500000,115.37248455
1770819300000,114.90135846
1770912900000,115.47280089
1770996600000,115.01424265
1771160400000,114.54206289
1771329600000,114.04518174
1771413300000,113.5522265
1771547400000,113.06848775
1771595100000,112.59921479
1771672500000,112.05667969
1771706700000,111.54404362
1771809300000,112.4966824
1771982100000,113.17388806
1772031600000,112.70636521
1772063100000,112.26345538
1772187300000,111.79515693
1772192700000,111.33313383
1772260200000,112.36173722
1772287200000,111.9081902
1772330400000,113.02659388
1772356500000,112.56465873
1772388000000,112.11583285
1772462700000,113.0233894
1772463600000,115.13845931
1772465400000,115.90131876
1772554500000,116.35251461
1772614800000,115.88845721
1772966700000,115.35975041
1772972100000,114.86218695
1773026100000,114.40461137
1773084600000,113.94053654
1773113400000,113.46687818
1773154800000,113.00813447
1773364500000,113.58360423
1773585900000,113.0396258
1773612900000,114.0155148
1773614700000,114.68337115
1773638100000,115.44732369
1773837000000,117.68473343
1773842400000,118.53594922
1773891000000,118.01403743
1773925200000,117.80081398
1773994500000,117.29324026
1774137600000,118.58884966
1774216800000,118.06078132
1774251000000,117.55610176
1774264500000,117.09413984
1774338300000,118.05522622
1774360800000,118.89600645
1774503900000,120.32292892
1774525500000,121.24670455
1774584900000,120.69725314
1774601100000,120.17086297
1774608300000,119.97930864
1774824300000,119.45481187
1774926900000,118.93537189
1774952100000,118.4454829
1775063700000,118.35712918
1775141100000,117.87497494
1775315700000,117.3242225
1775403000000,116.79591459
1775526300000,118.148713
1775752200000,117.87542305
1775958300000,118.6596483
1776005100000,118.09128497
1776026700000,117.53633815
1776088800000,117.01549639
1776120300000,117.70076851
1776174300000,117.17043051
1776346200000,116.61477368
1776367800000,117.39526415
1776431700000,116.89456777
1776501000000,116.54055525
1776501900000,115.99535312
1776537900000,115.43190368
1776583800000,114.89393189
1776636900000,115.85172281
1776637800000,115.36022588
1776670200000,114.84647703
1776775500000,114.31198415
1776965400000,115.32213688
1777032900000,114.76948365
1777266900000,115.95082746
1777273200000,116.78255317
1777464900000,116.22113125
1777488300000,115.73232051
