time,balance
1000,1000
1778167140000,1007.11639641
1778167860000,1029.38537183
1778171760000,1039.14226474
1778174760000,1031.39349632
1778175420000,1055.3200027
1778176740000,1046.07222792
1778179680000,1035.07294886
1778179740000,1031.4162164
1778179860000,1027.5996903
1778179920000,1020.18912847
1778183520000,1032.75176228
1778185260000,1045.61743495
1778188080000,1038.79436114
1778188680000,1055.89165413
1778191500000,1049.20492124
1778192280000,1055.79520955
1778198400000,1048.96606303
1778198760000,1042.36345284
1778200680000,1056.37257995
1778201820000,1049.5261569
1778205720000,1044.95496313
1778206620000,1034.66557945
1778207520000,1038.85303308
1778214240000,1032.03618099
1778214480000,1031.34769899
1778217540000,1037.10526634
1778221020000,1048.22699551
1778225040000,1038.85413762
1778226960000,1030.19748787
1778229900000,1024.12577065
1778230020000,1020.52191996
1778230740000,1030.20526957
1778233680000,1026.86033144
1778234400000,1030.23825325
1778238060000,1021.69978088
1778239200000,1029.67225075
1778244600000,1034.19992877
1778244960000,1039.93728714
1778245560000,1028.84817139
1778246040000,1016.40944432
1778246700000,1023.78969982
1778248080000,1032.98915997
1778249700000,1024.32734873
1778250240000,1011.98893967
1778253180000,1006.44974188
1778253840000,1002.51315326
1778254740000,1029.03296447
1778256000000,1020.31808178
1778257860000,1029.84715234
1778260740000,1017.03594137
1778260860000,1015.33802089
1778261220000,1006.06982097
1778261400000,992.59259601
1778261460000,981.08103434
1778261580000,969.15515089
1778261760000,957.25781495
1778264340000,949.04552319
1778264760000,940.1740052
1778267220000,953.72832512
1778268120000,942.91215158
1778270880000,935.74257978
1778271360000,941.59447082
1778272320000,944.42093839
1778274540000,936.54128459
1778275320000,943.96355521
1778276340000,937.17783208
1778277660000,926.61634426
1778278560000,923.7724663
1778279340000,927.34445248
1778282100000,921.74920531
1778283420000,913.14474283
1778284200000,914.92488725
1778285580000,904.73534644
1778286000000,903.51371817
1778286240000,900.36050782
1778286780000,902.48771973
1778288040000,896.30078893
1778288940000,890.00244927
1778289420000,893.13424626
1778290620000,886.71000779
1778290800000,879.8017763
1778290860000,872.73199165
1778291400000,867.27055562
1778297400000,864.69875453
1778298060000,857.64198352
1778298360000,866.11306883
1778299560000,859.09495937
1778300160000,865.69389053
1778302560000,859.35758523
1778302680000,851.69666767
1778302860000,840.87956844
1778303280000,833.89968807
1778304780000,829.41512265
1778307180000,821.99536023
1778307360000,832.67009088
1778311440000,831.21122054
1778311920000,824.25881787
1778312460000,819.36656631
1778315460000,814.46845441
1778315700000,815.0915028
1778317980000,809.96657332
1778318100000,805.11427843
1778318160000,800.70102657
1778318220000,801.62303508
1778318760000,813.45296032
1778320980000,808.53147939
1778321880000,803.50331409
1778322240000,807.57350601
1778325600000,802.49103585
1778325900000,798.22767875
1778328720000,798.84521182
1778328960000,796.22741718
1778329260000,802.81977078
1778330160000,799.77562382
1778330400000,794.4395981
1778334000000,788.77307821
1778336580000,780.77360567
1778336760000,776.51977991
1778338020000,777.56123317
1778339100000,768.32487567
1778339460000,762.9431879
1778340000000,771.82983685
1778341380000,776.61002136
1778343300000,769.93631451
1778343600000,762.97955986
1778344500000,758.17019192
1778345040000,751.4416901
1778346300000,746.83854447
