time,balance
1778166720000,1000
1778167140000,1006.10336496
1778167860000,1028.34994062
1778171760000,1038.09701933
1778174760000,1028.88802327
1778175420000,1052.75640711
1778176740000,1041.55195244
1778179680000,1029.21390962
1778179800000,1024.26067778
1778179920000,1019.0393254
1778183520000,1031.03097001
1778185260000,1041.87387414
1778188140000,1033.6938219
1778188680000,1051.2990525
1778191500000,1043.44791563
1778192280000,1049.38352315
1778198400000,1041.52019866
1778198880000,1033.94256566
1778203020000,1026.17795139
1778205720000,1020.75942146
1778206620000,1009.66949492
1778207520000,1013.45597023
1778214480000,1011.63187005
1778217540000,1017.20753581
1778221020000,1028.11588532
1778225580000,1031.54567241
1778227080000,1021.85008284
1778229900000,1014.92660587
1778230020000,1010.48952018
1778230740000,1020.07767612
1778234400000,1026.90328762
1778238480000,1025.62878899
1778239200000,1033.63191748
1778244600000,1038.17700696
1778244960000,1043.93642869
1778245560000,1031.82045607
1778246700000,1035.21628093
1778248080000,1044.51841683
1778249760000,1034.18986275
1778250240000,1020.40940116
1778253180000,1013.31620923
1778253840000,1007.96234396
1778254740000,1034.62630441
1778256000000,1024.28958672
1778257860000,1033.8557484
1778260740000,1019.9151061
1778260860000,1016.83696491
1778261220000,1006.12434406
1778261400000,993.1066624
1778261460000,979.95501562
1778261580000,968.38121606
1778261760000,956.88208937
1778264340000,947.1979689
1778265180000,936.83046889
1778267220000,950.33658565
1778268120000,938.20970377
1778270880000,929.85941906
1778271360000,935.67451833
1778272320000,938.48321544
1778274540000,929.51674678
1778275320000,936.88334658
1778276340000,929.15746865
1778277660000,917.63777192
1778279340000,926.32183598
1778282220000,920.02026101
1778283480000,910.71569046
1778285580000,899.94972975
1778286000000,897.99637006
1778286780000,894.01243203
1778288040000,886.89171151
1778289120000,879.8774646
1778290800000,872.73625292
1778290860000,864.73363649
1778291400000,858.14620392
1778297400000,855.60146014
1778298060000,847.85069027
1778298360000,856.2250652
1778299560000,848.41583566
1778300160000,854.74982392
1778302560000,847.67747753
1778302680000,839.20023799
1778302920000,827.99560181
1778303280000,821.01262276
1778304780000,815.55299476
1778307180000,807.47279345
1778307360000,817.95892877
1778311440000,815.68305206
1778311920000,807.97744097
1778312460000,802.36704465
1778315700000,803.83544303
1778317980000,798.32846163
1778318100000,793.04878145
1778318160000,788.20271835
1778318220000,788.43954919
1778318760000,800.07491958
1778321460000,798.99169234
1778321880000,793.37273586
1778322240000,797.39161076
1778325600000,791.9229924
1778326740000,790.84435909
1778328720000,791.45618021
1778329140000,788.37724214
