time,balance
100,100
1776445680000,102.08259644
1776445860000,100.83129285
1776445920000,99.50887628
1776446460000,98.99439834
1776447000000,101.14326075
1776448860000,101.80228408
1776449220000,101.55472042
1776449340000,100.48608625
1776449400000,99.64952445
1776450240000,100.53139028
1776451920000,101.64190793
1776453180000,102.02789661
1776453720000,101.41371412
1776455100000,102.02246558
1776457800000,100.74278164
1776457860000,99.96054578
1776458940000,101.24529647
1776460680000,101.34511162
1776461880000,100.59685846
1776461940000,99.8353595
1776462120000,100.83367939
1776464040000,101.55407606
1776464520000,102.51054052
1776465660000,101.6741233
1776466800000,101.57598119
1776467160000,100.93889159
1776467280000,100.3686684
1776467820000,99.6777925
1776467940000,98.95721118
1776468660000,100.67686643
