time,balance
1778166720000,1000
1778167080000,990.68197703
1778167800000,977.57425933
1778169420000,965.31337947
1778171760000,952.82860535
1778174700000,941.13113187
1778174880000,928.98644771
1778179320000,926.19612331
1778180220000,914.10948317
1778182620000,903.58975423
1778183220000,897.09476036
1778184360000,887.5690862
1778189220000,892.51318703
1778190960000,883.30430385
1778192040000,875.17397289
1778201100000,879.06450726
1778207580000,872.17871568
1778207760000,861.77322801
1778215260000,853.15087924
1778215440000,851.21318058
1778219220000,843.91537007
1778221020000,836.08692489
1778222280000,828.65149816
1778225940000,821.90356268
1778233560000,832.09063963
1778233740000,828.32071585
1778238600000,822.57120506
1778244840000,815.48767507
1778245260000,811.55475515
1778245800000,807.23290115
1778246100000,801.30284754
1778248080000,790.92502065
1778252580000,797.0675032
1778253060000,790.66562509
1778254740000,783.60709783
1778266860000,866.91537175
1778267220000,856.6781953
1778269140000,849.45406084
1778269620000,838.91472498
1778276100000,844.1588279
1778280660000,845.32335778
1778284920000,854.74098305
1778294760000,907.87721843
1778295180000,899.87428999
1778296020000,895.96299795
1778297520000,886.9389862
1778298360000,880.79914749
1778300700000,872.31796451
1778301060000,862.74750278
1778301900000,855.60609798
1778302740000,851.02871911
1778303940000,841.03743242
1778307840000,840.7919499
1778311260000,832.82178169
1778313960000,826.54846844
1778314560000,820.64094631
1778315520000,815.22862326
1778316600000,811.71943085
1778321760000,821.01468855
1778322180000,814.4624612
1778323500000,806.73801246
1778324520000,801.25853568
1778327400000,800.16800284
1778328720000,795.11695654
1778329200000,787.76509951
1778330760000,781.88234101
1778332080000,777.93814313
1778333160000,772.6203095
1778334240000,768.97300453
1778335500000,763.72300123
1778336100000,761.1583531
1778340600000,762.17900842
1778342460000,757.91766621
1778344140000,749.8234914
1778346240000,743.45034022
1778349420000,747.64817374
1778352360000,741.95152783
1778353500000,737.6244508
1778354100000,733.28667909
1778354880000,731.21415152
1778357580000,726.06486087
1778359380000,724.69147443
1778360880000,721.00504648
1778361660000,718.14579297
1778364060000,714.16183432
1778366280000,708.70235156
1778366880000,704.46970232
1778372340000,703.89398612
1778373240000,698.70878004
1778377800000,698.89660034
1778378520000,693.14750056
1778379480000,688.94456466
1778380800000,681.25403283
1778386260000,683.99171222
1778388300000,678.74748198
1778389380000,675.26411743
1778391600000,671.15359779
1778392680000,667.47245443
1778393220000,666.71793006
1778394060000,663.65088922
1778394720000,659.39219818
1778399880000,657.79051941
1778405820000,680.09228322
1778410380000,681.91920438
1778411340000,676.8119245
1778414160000,680.58952607
1778414580000,675.94642702
1778416020000,672.2437811
1778417940000,668.31115756
1778428800000,702.10949466
1778429400000,695.34925932
1778430660000,687.23454113
1778439480000,752.75133068
1778440260000,742.74151082
1778442660000,733.59200529
1778443020000,726.132751
1778447220000,752.74444788
1778447460000,743.35716801
1778449140000,733.94248608
1778452140000,724.19335044
1778452680000,715.23065168
1778455440000,709.6774816
1778455860000,704.01859182
1778457300000,694.95431051
1778459520000,688.26980275
1778459640000,683.92200307
1778462160000,680.45893973
1778463000000,672.21847494
1778471160000,700.05837114
1778472960000,693.0688422
1778481660000,720.61026762
1778481900000,714.53307606
1778483520000,705.85551834
1778486220000,701.09233572
1778490480000,702.32278297
1778495820000,701.70969941
1778499240000,697.22021285
1778500200000,688.58777288
1778502240000,681.99995356
1778504040000,676.02872892
1778505540000,668.26082804
1778506920000,659.3589935
1778509320000,651.12115851
1778511420000,644.19660385
1778517720000,711.40838736
1778519040000,704.3975551
1778523120000,700.68898752
1778523600000,698.8837403
1778526360000,697.65367498
1778530260000,703.43268376
1778531640000,696.54422849
1778532180000,693.48307304
1778533440000,688.35196925
1778534040000,681.86786861
1778535480000,675.03427511
1778536500000,671.89266346
1778536920000,668.42023847
1778538420000,665.42977546
1778540460000,661.41291564
1778540700000,656.96079195
1778541180000,651.61911867
1778542380000,646.46075141
1778544540000,644.64365782
1778545980000,642.54205331
1778546520000,637.47155855
1778547540000,633.73306913
1778554320000,655.62718513
1778554560000,652.44353107
1778559360000,651.1769184
1778559840000,648.48696343
1778561580000,643.82468827
1778562900000,641.27047092
1778567460000,639.35824133
1778570640000,645.0763123
1778572260000,638.78304383
1778573160000,633.97721412
1778574120000,629.00664356
1778575740000,625.08315836
1778576520000,620.28346232
1778578200000,614.05562311
1778580840000,609.9821629
1778586120000,630.83732856
1778586300000,626.37588429
1778587560000,621.29219235
1778588820000,615.32677508
1778589300000,609.01533323
1778590800000,605.92412922
1778593200000,600.93131631
1778593320000,597.35169117
1778593560000,590.39456072
1778594280000,584.10174832
1778596080000,577.32399266
1778596680000,570.23381482
1778598240000,565.97397453
1778598720000,560.24950799
1778602380000,556.50073937
1778604000000,551.44965997
1778604180000,549.44244503
1778605020000,544.74118088
1778608920000,553.25882304
1778611740000,549.35089004
1778612280000,545.01233037
1778613600000,541.66764635
1778614380000,538.34615686
1778617920000,535.61034008
1778619840000,531.90128915
1778620440000,528.13835927
1778621700000,524.49619845
1778623020000,519.96987184
1778625360000,515.65698927
1778626260000,511.87122153
1778627820000,508.13016382
1778631540000,508.77376039
1778637720000,522.61562928
1778637960000,518.87111472
1778638560000,516.99486616
1778640840000,512.38833058
1778643180000,509.50988784
1778647500000,514.41004275
1778648160000,509.10406453
1778649720000,505.18594925
1778653320000,501.81524496
1778653860000,497.80843758
1778656740000,494.95684539
1778657940000,492.7612888
1778659740000,488.41583955
1778661300000,488.29029291
1778665980000,494.51859388
1778666640000,492.21085238
1778672400000,515.23616682
1778672940000,511.94415339
1778673720000,508.50559703
1778675280000,502.43290558
1778677260000,510.27272308
1778679000000,503.40683669
1778682360000,524.67049505
1778682900000,519.32009775
1778688240000,541.55873046
1778690340000,534.37351223
1778691120000,528.92672047
1778692920000,524.58805889
1778694000000,519.66674742
1778695440000,515.4513988
1778697840000,512.12613622
1778698560000,507.20300944
1778700660000,502.68033569
1778705400000,509.22864322
1778709060000,504.61036315
1778710080000,501.25048297
1778721360000,500.0470409
1778723880000,497.01594589
1778725200000,495.35839385
1778729580000,503.71082907
1778731560000,497.28909831
1778740440000,518.68046325
1778740860000,517.55229043
1778742180000,513.45031547
1778744280000,515.31840036
1778745480000,508.84111064
1778750220000,504.1429328
1778750520000,502.11294294
1778753460000,498.97350747
1778754840000,493.60400634
1778755500000,489.31867238
1778756760000,485.9341308
1778757480000,481.91248362
1778760240000,479.16288363
1778765700000,476.95869217
1778765820000,475.0721395
1778767260000,468.69781351
1778767740000,462.52364642
1778777160000,505.26518018
1778777940000,500.04717907
1778778840000,493.33443367
1778780520000,487.75152929
1778781660000,483.94906719
1778784060000,479.91914867
1778786040000,475.61573365
1778786280000,472.48226491
1778791560000,483.51914818
1778793240000,480.26191668
1778793660000,476.93700698
1778794500000,474.10769935
1778796360000,470.97858366
1778799060000,468.67812176
1778804580000,472.09974531
1778805060000,469.27048301
1778805540000,465.54380628
1778805900000,461.41828631
1778812980000,469.55078361
1778815920000,465.35745126
1778817300000,462.55011465
1778822100000,469.75099115
1778824920000,479.7027133
1778825040000,475.02613433
1778826060000,472.97846215
1778833020000,482.52466593
1778834220000,480.10912469
1778835000000,474.00644377
1778836200000,469.52263518
1778845140000,466.59409702
1778845560000,465.46316373
1778854680000,504.99238141
1778856960000,498.91761473
1778857920000,493.61225417
1778858580000,491.50095693
1778859000000,488.40704608
1778860080000,484.59512393
1778867220000,496.49122718
1778869080000,492.98060995
1778869260000,489.04466487
1778870160000,484.12171283
1778871540000,480.28614183
1778873400000,479.9453943
1778873520000,477.42755567
1778874540000,473.99340184
1778875560000,470.17689688
1778877360000,466.39595292
1778877960000,462.28517133
1778880540000,459.10998868
1778882880000,458.01803888
1778884140000,455.56932401
1778884440000,450.65700557
1778888340000,449.19563061
1778890020000,446.67775578
1778890800000,443.20185709
1778892720000,440.73586262
1778893200000,438.0973013
1778895960000,434.66874825
1778898300000,431.44112675
1778900160000,428.56712766
1778901900000,425.61244421
1778902440000,423.26407388
1778902680000,420.73117524
1778907240000,428.24164262
1778907660000,424.53083723
1778907780000,420.48133512
1778910120000,417.70364818
1778911080000,413.61229659
1778917080000,433.93887642
1778917740000,428.23458951
1778922240000,425.74260215
1778927520000,459.36551812
1778927820000,453.40514313
1778932260000,454.45521868
1778932980000,450.89415809
1778934300000,447.67510906
1778936520000,443.81931633
1778937000000,439.47453823
1778944860000,440.99855711
1778947500000,437.93602999
1778949660000,434.30429766
1778950020000,430.83544448
1778954220000,429.07911538
1778955360000,425.8909054
1778956020000,423.08163606
1778957040000,420.73863332
1778957820000,417.45233668
1778959740000,415.60814124
1778961840000,413.78015011
1778963280000,411.64047853
1778965440000,410.134608
1778966100000,408.0295614
1778966400000,406.38232257
1778967420000,404.19972262
1778969880000,400.4161783
1778971140000,397.24530282
1778972460000,395.11079839
1778972760000,393.83890834
1778973900000,391.04251553
1778976000000,388.77412713
1778976180000,386.25445023
1778977440000,383.84515823
1778978160000,381.20225511
1778983800000,387.15893789
1778985180000,384.21438589
1778985540000,381.27042076
1778986260000,377.51405572
1778997480000,390.42284422
1778999880000,386.55394411
1779002640000,383.55939109
1779005040000,381.22336362
1779005340000,378.26010611
1779008340000,375.40883587
1779009840000,372.12782245
1779011460000,369.74773099
1779014400000,370.58275172
