time,balance
1000,1000
1778167080000,992.63751802
1778167800000,981.43579858
1778169420000,970.67967836
1778171760000,957.59330069
1778174700000,947.19245914
1778174880000,934.50926949
1778179320000,929.34799313
1778180220000,928.55259826
1778182620000,919.03794827
1778183220000,913.73222995
1778184360000,905.84563659
1778188740000,913.93981735
1778190960000,904.8773863
1778191920000,897.58085265
1778194800000,893.29557596
1778195880000,885.35030337
1778196480000,878.99805634
1778200680000,871.32586638
1778207520000,879.12441724
1778207700000,870.21790779
1778212800000,862.64328261
1778214480000,855.69532688
1778215440000,854.51372702
1778219220000,848.05468143
1778220120000,841.16756888
1778222280000,834.59426395
1778225580000,828.57298473
1778228700000,822.61208146
1778233560000,821.59571904
1778233740000,818.41484766
1778238600000,813.48209689
1778244840000,807.21638627
1778245200000,804.08492556
1778245800000,800.73392539
1778246100000,795.92139512
1778248080000,786.75612418
1778249220000,778.38896291
1778249460000,775.00319404
1778250600000,776.32776056
1778254740000,775.62770949
1778261400000,820.43476765
1778262180000,830.33972119
1778266860000,831.04706912
1778267220000,821.0238102
1778267880000,815.26511494
1778269380000,806.33749384
1778276100000,811.37795468
1778276400000,807.51741608
1778277360000,801.84974882
1778277720000,795.82718546
1778279280000,785.65235823
1778284920000,796.95219692
1778291400000,837.24550111
1778291460000,826.86835917
1778292060000,816.24485303
1778295180000,808.47845205
1778295960000,805.70596228
1778297220000,798.39204774
1778298360000,793.58255096
1778300460000,788.00800099
1778301060000,780.11865602
1778301900000,774.40661829
1778302740000,771.21504372
1778303940000,763.18313737
1778307480000,767.60740922
1778311260000,762.33684541
1778313960000,756.0103401
1778314560000,751.15843626
1778315520000,746.66936992
1778316600000,743.97393138
1778321760000,752.49341378
1778322180000,747.08184905
1778323500000,740.57114166
1778324520000,736.0286921
1778327400000,735.0269387
1778328720000,730.80054425
1778329200000,724.49184751
1778330760000,719.6564987
1778332080000,716.55733997
1778333160000,712.21411299
1778334120000,709.40839774
1778335500000,705.03714119
1778336100000,703.17910367
1778340540000,708.67434462
1778340720000,703.82033853
1778342400000,700.4067719
1778344140000,693.70680826
1778346240000,688.57905225
1778349420000,692.46705938
1778352360000,687.68720463
1778353500000,684.07113467
1778354100000,680.44728397
1778354880000,678.87044459
1778357280000,674.498001
1778359380000,673.22215575
1778360880000,670.15555329
1778361120000,667.84766658
1778361420000,664.31481463
1778364060000,661.11474326
1778366040000,656.46684561
1778366880000,653.01129808
1778372340000,652.47763542
1778373240000,648.17574135
1778375040000,645.56280086
1778375400000,642.13018946
1778377800000,637.0273019
1778378520000,632.48306885
1778379480000,629.10835751
1778380800000,622.57670256
1778383860000,617.81842231
1778386260000,610.58665415
1778388240000,606.3487448
1778389380000,603.63009701
1778391600000,600.33258408
1778392680000,597.34257542
1778393220000,596.96040648
1778394060000,594.47370001
1778394720000,591.00574722
1778397300000,588.35875659
1778400180000,585.06847294
1778405820000,604.90466471
1778410380000,606.62115951
1778411280000,602.69110377
1778414160000,606.30226781
1778414580000,601.99668575
1778416020000,599.13086799
1778417940000,595.97186649
1778418900000,594.05078303
1778428800000,621.20303579
1778429400000,615.917332
1778430600000,609.53981207
1778434200000,641.42484202
1778434380000,632.93697413
1778439480000,640.26342533
1778440260000,632.17818308
1778442660000,624.25702577
1778442900000,618.8068948
1778446140000,679.09292985
1778446200000,670.5437061
1778447460000,661.71939264
1778449140000,652.98200483
1778452140000,645.65398071
1778452680000,637.32877241
1778455140000,633.52156111
1778455740000,629.56262407
1778457300000,621.18155794
1778459100000,619.85771717
1778459640000,616.9973379
1778461920000,622.51040584
1778463000000,619.82989606
1778471160000,648.16107247
1778471280000,648.37878582
1778472900000,642.74608133
1778481360000,671.86673847
1778485920000,674.43748281
1778489340000,681.35707973
1778495820000,682.55414845
1778496660000,678.86976405
1778498340000,672.80652658
1778500200000,664.36599501
1778502180000,660.69290235
1778504040000,655.81198783
1778505540000,649.0491287
1778506920000,641.26664862
1778509320000,637.12370029
1778510280000,634.42815477
1778514600000,665.76433359
1778516280000,699.26313515
1778517900000,692.25566703
1778519040000,687.17047213
1778523120000,685.87419336
1778525220000,678.82304212
1778526360000,678.92808023
1778527320000,674.33556119
1778530260000,675.6648318
1778530560000,669.02571521
1778531640000,663.24771426
1778532180000,661.0626452
1778533440000,656.82244711
1778534040000,651.27816951
1778535480000,645.33410212
1778536500000,642.81088493
1778536920000,640.03335036
1778538420000,637.75484295
1778540460000,634.2939286
1778540700000,630.56456336
1778541180000,626.02152933
1778542380000,621.61872958
1778544540000,620.42513765
1778545980000,619.00968037
1778546520000,614.73201765
1778547480000,611.60664293
1778551980000,649.32367322
1778555100000,642.20905018
1778559360000,640.96230608
1778559540000,638.79497062
1778561580000,634.60745512
1778562840000,632.47878854
1778567460000,631.00038727
1778570640000,636.97002176
1778572260000,631.28710418
1778573160000,627.37552806
1778574060000,623.13263962
1778575620000,619.9122181
1778576520000,615.80010235
1778578200000,610.22922908
1778580840000,606.18115202
1778586120000,626.90636189
1778586300000,622.98667011
1778587560000,618.37441181
1778588820000,612.93137862
1778589240000,609.25131124
1778590800000,606.15890947
1778593200000,601.84606605
1778593620000,596.08596294
1778594280000,590.77498248
1778595420000,584.87728796
1778596680000,578.65971907
1778598180000,575.10296536
1778598720000,569.98624524
1778599860000,569.9800314
1778601660000,565.39833967
1778602500000,561.9273054
1778604000000,557.57309222
1778604180000,556.15268496
1778604960000,552.13440842
1778605800000,548.15637454
1778608920000,555.26572907
1778611740000,551.73935607
1778612100000,547.80897726
1778613600000,544.8516256
1778614320000,541.97030157
1778617920000,539.21606728
1778619660000,535.85139984
1778619960000,532.44360395
1778621700000,529.07709754
1778623020000,524.83002992
1778625060000,520.81399543
1778625660000,517.44559634
1778627820000,514.00318767
1778631540000,514.654223
1778637720000,528.65607772
1778637900000,525.36712989
1778638500000,523.97639215
1778640060000,519.81962906
1778641140000,517.28350417
1778641740000,516.04382136
1778647500000,521.00681566
1778648040000,516.1790146
1778649720000,512.25262594
1778650200000,508.83646885
1778653260000,505.81760311
1778653800000,502.232519
1778656620000,499.57940855
1778657940000,497.61452146
1778659740000,493.54660644
1778661300000,493.77439503
1778665980000,500.07264751
1778666580000,498.11735899
1778672400000,521.41897608
1778672940000,518.55415324
1778673720000,515.62483887
1778675280000,510.22798679
1778675820000,532.42976495
1778676060000,525.43524504
1778679000000,518.83317713
1778680800000,541.11473423
1778681220000,534.72744342
1778683020000,527.69192124
1778688060000,558.88531324
1778688300000,554.05818524
1778690340000,547.07401062
1778691120000,542.29002713
1778692920000,538.59051698
1778693760000,534.29015712
1778695380000,530.62513466
1778697840000,527.80653055
1778698440000,523.37797463
1778700660000,519.22033039
1778700900000,516.01972368
1778705400000,519.03935627
1778709060000,513.99965053
1778710080000,511.12886848
1778721360000,510.31181789
1778721420000,510.33413746
1778723880000,507.67004875
1778725200000,506.35069333
1778729280000,519.90638295
1778729820000,514.79406835
1778731560000,508.051652
1778740440000,529.90597845
1778740860000,529.19440475
1778742180000,525.41067985
1778744280000,527.3222801
1778744820000,521.36117134
1778750220000,517.03067751
1778750400000,515.34449262
1778753460000,512.12232755
1778754840000,507.18632764
1778755500000,503.25276932
1778756580000,500.17102612
1778757480000,496.45441326
1778760240000,493.62184284
1778765700000,496.08742463
1778765880000,490.32624909
1778767200000,484.37112175
1778767740000,478.71372559
1778773080000,503.26696565
1778775540000,512.23871393
1778777820000,517.34828496
1778778060000,511.42388649
1778778840000,504.74505674
1778780520000,498.50469892
1778781600000,499.63516248
1778783640000,497.77281609
1778784180000,495.36685673
1778785980000,491.51955429
1778786280000,488.79564819
1778791560000,500.21360166
1778793240000,496.84390782
1778793660000,493.79803529
1778794500000,491.21529629
1778796360000,488.27782477
1778798340000,486.23845414
1778799000000,483.43062157
1778804580000,486.95994696
1778805060000,484.44243453
1778805540000,481.02559391
1778805900000,477.27870378
1778808000000,475.88363569
1778809020000,474.80561903
1778810040000,473.74754714
1778810520000,470.46377903
