time,balance
1000,1000
1778167860000,990.4241353
1778170020000,980.14571091
1778170440000,971.75381774
1778174340000,960.3441013
1778176140000,953.51332259
1778180220000,940.70595005
1778183520000,935.24364125
1778184120000,929.22189749
1778184360000,921.20160991
1778188740000,936.71446864
1778190780000,936.40173507
1778192460000,929.94141818
1778193240000,924.33029293
1778207520000,933.12612003
1778208960000,921.45135827
1778210160000,909.62992694
1778215260000,901.63382103
1778215440000,900.38878631
1778219220000,893.58298314
1778221680000,886.42942364
1778245560000,898.19221913
1778249220000,888.63993359
1778254740000,891.33541424
1778261400000,966.49023048
1778267160000,959.45351195
1778270640000,956.05180007
1778276400000,951.50290292
1778286000000,959.16155247
1778293860000,950.56564577
1778294400000,943.05129687
1778294700000,940.51992784
1778297880000,932.01239419
1778300460000,931.4342123
1778303940000,948.00556877
1778307480000,955.02525541
1778311260000,945.32561254
1778314560000,938.58822064
1778315880000,933.6446249
1778322000000,943.71817825
1778324880000,937.26760543
1778329140000,931.71587095
1778329680000,926.00237731
1778340540000,956.97013904
1778340720000,950.41545153
1778346240000,943.39015137
1778354820000,952.55351956
1778357280000,946.41834815
1778361360000,939.29988139
1778366520000,934.30063458
1778366880000,929.38260974
1778367600000,922.94831211
1778368020000,916.85647569
1778379420000,927.41497962
1778386500000,922.47350518
1778388240000,916.07087736
1778389380000,911.9635479
1778392140000,905.87992369
1778392680000,901.36810992
1778397300000,897.33107145
1778400420000,891.72111142
1778407440000,920.60275735
1778411340000,913.34978827
1778414160000,926.6008678
1778414580000,919.22595663
1778415060000,916.02661089
1778415540000,909.13723144
1778418840000,902.7950059
1778424600000,896.43397967
1778425200000,888.41325931
1778429400000,880.85391227
1778429520000,873.351221
1778431080000,863.88158446
1778440260000,872.36372458
1778442660000,871.6975949
1778442900000,864.08716223
1778447520000,853.64158951
1778450400000,842.35723617
1778450580000,836.28785683
1778459100000,834.50558893
1778459640000,830.65470116
1778461920000,838.07686576
1778462820000,834.20533101
1778471160000,877.07503987
1778481360000,916.34540588
1778489340000,944.87529203
1778492400000,936.85329851
1778496660000,931.79622328
1778499780000,926.91132779
1778500440000,919.78235245
1778500980000,918.86185033
1778502180000,917.65150085
1778502600000,915.1722124
1778504520000,905.9800271
1778506200000,895.27289228
1778506920000,884.53804473
1778507580000,872.64219754
1778510280000,882.09983169
1778514600000,923.79276419
1778521140000,912.88680101
1778521200000,909.28210404
1778524080000,898.21541083
1778527320000,892.13955169
1778530680000,882.45302522
1778535480000,874.39907762
1778536980000,867.78571734
1778537220000,862.79285448
1778537760000,855.81187153
1778538060000,850.06183681
1778538720000,845.4724333
1778540520000,839.90802938
1778540700000,834.96974499
1778545500000,828.4124743
1778547960000,820.51490007
1778553300000,816.41244924
1778554200000,809.07209138
1778555100000,805.35876986
1778563080000,799.44088169
1778578380000,827.25721088
1778580120000,821.04900294
1778580180000,819.36509721
1778580420000,814.55482397
1778580840000,809.62012154
1778587140000,832.28802764
1778589000000,826.73358839
1778591640000,821.58371343
1778593200000,815.73811443
1778593620000,807.490455
1778595240000,798.54301953
1778596680000,792.47120113
1778597100000,784.66244804
1778599860000,809.5183125
1778604120000,802.89304156
1778605800000,797.10833468
1778610960000,792.0175734
1778614440000,785.29774511
1778614920000,782.2993102
1778615160000,777.60003144
1778618280000,771.81275089
1778620440000,766.47757774
1778623200000,761.37989331
1778623320000,756.99101918
1778625660000,752.09512951
1778642100000,775.6706005
1778647560000,784.6242069
1778650200000,779.88890265
1778652480000,773.09734015
1778653560000,771.49181663
1778656740000,767.81493457
1778657940000,764.79505496
1778658600000,760.03935308
1778659080000,754.91193574
1778661000000,750.55161959
1778661300000,750.89802476
1778667000000,756.02931004
1778673000000,748.67311397
1778673720000,744.44385672
1778674860000,738.62206043
1778675280000,730.89117996
1778678880000,723.92095264
1778679120000,718.91263023
1778682720000,712.70041879
1778688060000,759.04408044
1778689500000,757.86525928
1778692320000,755.93863707
1778692560000,748.80132731
1778692920000,739.51525521
1778693040000,734.84417812
1778693100000,728.01772293
1778693580000,720.62466989
1778694600000,711.31508229
1778695380000,706.43573777
1778698440000,700.5083951
1778706420000,705.5803345
1778721360000,704.45244901
1778723880000,700.77500773
1778725200000,696.92279935
1778725860000,691.99958277
1778729280000,715.43892193
1778742180000,751.97272183
1778744400000,751.29304664
1778744820000,745.15085025
1778746200000,739.32227416
1778750880000,732.40513431
1778753580000,724.28309963
1778755440000,720.94509339
1778756820000,715.4286005
1778760600000,708.53341555
1778765700000,712.07245481
1778765880000,703.80299623
1778773080000,735.11921488
1778773380000,729.86930073
1778775540000,756.75509529
1778776860000,749.06310271
1778777100000,743.77369304
1778777820000,755.57645411
1778778840000,745.7371086
1778780100000,742.75668647
1778781600000,743.63984226
1778781960000,739.34391233
1778783640000,744.53571757
1778783940000,738.01272876
1778784600000,735.81100983
1778786280000,731.73328781
1778793420000,725.90132319
1778793540000,722.16416004
1778795880000,716.51616277
1778796720000,714.42288707
1778797440000,708.13234186
1778799060000,702.87350522
1778804640000,708.44714806
1778805900000,701.79084397
1778807220000,696.90670983
1778807640000,692.76542213
1778807820000,690.55288325
1778809020000,693.85054685
1778811420000,688.44844472
1778812980000,686.5697899
1778815920000,687.91081818
1778817300000,682.74649693
1778822760000,679.46518359
1778823060000,683.66309824
1778825940000,678.22731215
1778830620000,696.15063004
1778834280000,690.61399233
1778835000000,683.37804284
1778841900000,678.48087508
1778846580000,669.81441807
1778855340000,660.96165705
1778857020000,660.31536376
1778857860000,654.30987879
1778859000000,651.14559717
1778859300000,646.02370678
1778859480000,642.41707706
1778860980000,640.13098123
1778861340000,634.99534704
1778869080000,653.42756778
1778869260000,649.01544248
1778870760000,643.61836694
1778884260000,651.57007107
1778890020000,648.41141631
1778892360000,643.82977958
1778898540000,639.57942874
1778902500000,635.71752489
1778907660000,630.86562001
1778910180000,625.7000189
1778911140000,620.88718234
1778915700000,661.33944664
1778917680000,653.84617308
