time,balance
1000,1000
1778166360000,991.02393056
1778167860000,980.47183296
1778170320000,968.2667145
1778171760000,955.2128676
1778174160000,948.68180622
1778176140000,938.94297053
1778182800000,934.81244399
1778183220000,929.41565757
1778184120000,923.43143838
1778184360000,915.46112934
1778188740000,934.48677354
1778190780000,926.01302803
1778192460000,919.57328703
1778193240000,914.44865505
1778207520000,922.63316399
1778209020000,910.69695153
1778210160000,899.01349004
1778215260000,890.12296422
1778215440000,888.89382443
1778219220000,879.15908374
1778221680000,872.12099446
1778228700000,865.84679895
1778231280000,860.54692638
1778233680000,854.58087843
1778234880000,851.30652275
1778236260000,840.10484257
1778244660000,831.05870037
1778244840000,824.65760887
1778250600000,830.70256307
1778252820000,825.25082433
1778261400000,894.83357967
1778267220000,884.04099163
1778270640000,881.38522037
1778272260000,873.78522207
1778281260000,874.49726573
1778285160000,868.84833886
1778291400000,912.77665796
1778293860000,904.01360121
1778294400000,896.86725246
1778294700000,894.45985216
1778298060000,889.35353701
1778300460000,891.17928968
1778300520000,885.01432794
1778307480000,890.14487104
1778311260000,884.03293768
1778313720000,878.54189496
1778313900000,872.06943649
1778314560000,866.15608839
1778315880000,861.59399668
1778316180000,857.60631538
1778322240000,851.35621259
1778324640000,846.65441889
1778329140000,842.47092892
1778329680000,837.30470556
1778340540000,865.30620238
1778341500000,857.31100376
1778341620000,850.84006475
1778344440000,847.27933538
1778354820000,855.50915683
1778357580000,850.96766015
1778360040000,846.46382197
1778360520000,841.8567868
1778360880000,838.02203467
1778362140000,833.53617063
1778362260000,829.01105812
1778364720000,824.04211603
1778365200000,819.60792226
1778366520000,815.24571338
1778366880000,810.95437661
1778367600000,805.33998081
1778368020000,800.02440749
1778379420000,809.23747526
1778381160000,804.53079404
1778381700000,799.23652339
1778381820000,790.92293098
1778381940000,784.98942061
1778386140000,780.46475329
1778388240000,775.04776807
1778388480000,770.73750503
1778389080000,766.70602441
1778389380000,763.26839275
1778392800000,758.69285239
1778397300000,755.29482644
1778400180000,750.45007299
1778407440000,774.75614023
1778411280000,769.73680523
1778414160000,780.90431603
1778414580000,775.35881869
1778415060000,772.66019937
1778415540000,766.84906983
1778418840000,761.49945968
1778423460000,756.08962603
1778424420000,747.05924657
1778424600000,740.36999095
1778425200000,733.74563178
1778429400000,730.29712371
1778429520000,724.07680298
1778431080000,716.22573002
1778440260000,721.7755834
1778440860000,717.08163444
1778442900000,710.82109004
1778443800000,704.29446313
1778446140000,751.31491529
1778447520000,748.35855156
1778450520000,739.0395777
1778450580000,733.71462606
1778455440000,732.73791848
1778457300000,735.22902537
1778457840000,728.67679468
1778460120000,721.48240411
1778461920000,727.92907944
1778463000000,718.89459369
1778464140000,710.71831081
1778464260000,702.02821585
1778471160000,739.91544739
1778471280000,740.16398049
1778473500000,734.53853987
1778481360000,768.99168174
1778489340000,797.32467935
1778496420000,796.54426109
1778500200000,786.5514077
1778500800000,776.9375388
1778500980000,776.15999327
1778502180000,775.13761451
1778502300000,770.31656231
1778504520000,762.57933813
1778506260000,753.18494263
1778506380000,747.43245298
1778507580000,737.38049163
1778510280000,746.14591621
1778514600000,783.00014733
1778517900000,780.29185317
1778518380000,771.11909557
1778519760000,772.48754571
1778520180000,762.22672766
1778520960000,752.02823589
1778523120000,750.60960939
1778525220000,741.43214962
1778527320000,736.41683008
1778530560000,730.25827762
1778535480000,723.59337679
1778536980000,716.78575945
1778537040000,714.29815473
1778537760000,708.51866407
1778538120000,703.35309118
1778538720000,699.55575431
1778540520000,694.84654871
1778545920000,691.76258248
1778551980000,734.4227311
1778553300000,726.16110964
1778553900000,719.30008354
1778554140000,714.41511052
1778555220000,712.61860548
1778555520000,706.26079504
1778559960000,701.64443766
1778562900000,697.07183084
1778567460000,697.24942931
1778578380000,721.86873754
1778580120000,717.12212999
1778580840000,712.77769029
1778587140000,732.73418262
1778589000000,727.35501557
1778591640000,722.82418796
1778593200000,717.68126669
1778593320000,714.36284967
1778595240000,706.44731894
1778596680000,701.07576133
1778597100000,693.67580585
1778599860000,715.64947345
1778601420000,712.6062638
1778601720000,705.50899015
1778601840000,705.05345938
1778602380000,698.29210393
1778605380000,695.68013556
1778622540000,710.63671702
1778625060000,705.19887734
1778625120000,702.17664414
1778625360000,703.59518786
1778625660000,699.04463928
1778642100000,724.31438149
1778647560000,733.05664903
1778650200000,728.32270254
1778652480000,721.98019768
1778661540000,718.3338553
1778674740000,755.38959209
1778675280000,747.48321215
1778678460000,740.66494063
1778680800000,780.74653717
1778683020000,770.4740897
1778688060000,820.57450999
1778688300000,813.48715575
1778689320000,807.24758449
1778692140000,803.31926803
1778692320000,801.277094
1778693040000,796.21590419
1778693100000,788.81932632
1778693580000,780.80883023
1778694600000,770.72173704
1778694900000,765.56850917
1778695080000,761.08435393
1778695380000,755.86361158
1778701080000,757.29556037
1778705820000,754.97242667
1778706120000,750.48163313
1778711280000,752.70383067
1778716800000,748.04331413
1778717160000,742.01727795
1778718600000,736.71708559
1778720880000,731.6385774
1778720940000,726.83346638
1778723880000,723.03918986
1778725200000,717.01476384
1778725860000,712.64170037
1778729280000,736.78022722
1778729820000,728.36958424
1778732280000,725.8461399
1778740860000,720.01405685
1778742180000,715.68101028
1778744400000,713.0691774
1778744820000,706.66345039
1778746320000,698.36381841
1778747040000,696.11007886
1778750520000,691.66917448
