time,balance
1778166180000,1000
1778167260000,986.59335982
1778167860000,973.91365727
1778174820000,962.44266718
1778179320000,969.9580713
1778188680000,989.36077389
1778190960000,977.09126325
1778194560000,966.65339164
1778207520000,980.10885275
1778209260000,968.22390182
1778215260000,955.3638114
1778216100000,951.7762661
1778219220000,938.9830225
1778227740000,929.00107166
1778231460000,921.3404768
1778234400000,911.54461303
1778234880000,906.13311277
1778236440000,894.41188102
1778239140000,890.1599979
1778240520000,882.37135345
1778241060000,876.6969729
1778242860000,871.9860608
1778243400000,861.08432087
1778243640000,851.7910347
1778244660000,843.44280596
1778244900000,834.9015634
1778250480000,841.9859048
1778254980000,833.16181134
1778256180000,839.6487113
1778267220000,828.95606028
1778273580000,818.05130985
1778282100000,808.97951046
1778292060000,873.42503705
1778293860000,861.79957993
1778294640000,852.14901266
1778295840000,847.28442974
1778298360000,840.15025586
1778300160000,846.09582879
1778303700000,866.24510617
1778307360000,874.26876263
1778311440000,862.65546359
1778313720000,855.43080227
1778313900000,847.22707
1778314560000,839.62910579
1778316540000,833.62069501
1778330400000,825.73787551
1778335500000,818.56322094
1778340360000,839.09765775
1778345040000,829.03770478
1778352120000,841.26171851
1778355480000,835.23601071
1778361360000,828.45385182
1778362140000,822.69958916
1778365800000,816.88156212
1778366880000,811.03817342
1778367600000,803.86235051
1778368020000,796.89499541
1778377800000,810.03009602
1778405820000,871.13697345
1778406480000,861.99465963
1778411400000,854.08627799
1778413440000,870.71713661
1778414940000,862.44332293
1778415240000,857.60501653
1778415540000,849.46756974
1778419200000,841.8765516
1778423520000,833.87285112
1778424420000,822.85560307
1778424780000,812.78858306
1778429040000,824.91366641
1778429580000,815.12809985
1778431140000,804.3372087
1778440140000,812.27540521
1778442720000,803.68122019
1778443920000,793.8123477
1778449140000,800.578003
1778450520000,790.49608305
1778452200000,804.7871958
1778455500000,800.13526686
1778457120000,805.78302284
1778459520000,795.41604843
1778461200000,803.98132994
1778463600000,794.53735258
1778470920000,829.5987492
1778471280000,827.33085749
1778473980000,817.03757373
1778488860000,851.17829576
1778497920000,840.18156806
1778500260000,829.97318599
1778500980000,827.32986237
1778502240000,817.47833085
1778502600000,809.48128049
1778504520000,798.67306707
1778506440000,788.34017192
1778507700000,778.71856893
1778510280000,788.04684348
1778513940000,820.40856443
1778518080000,811.41365015
1778518500000,801.46669634
1778519040000,805.33846831
1778520420000,795.4522755
1778521080000,785.51432052
1778523480000,776.16106822
1778530260000,789.16151401
1778536980000,795.19258281
1778537280000,790.27638675
1778537760000,781.73381984
1778538180000,774.32596082
1778539440000,768.37041576
1778546280000,762.19883293
1778549100000,776.00197727
1778553300000,766.14246016
1778554200000,755.86393939
1778563080000,751.8462635
1778565720000,745.74568535
1778567460000,740.8226128
1778570040000,750.99665143
1778570880000,748.10789519
1778572320000,740.61263427
1778572800000,732.42846769
1778572860000,731.0289168
1778575260000,723.27292665
1778575440000,716.83056067
1778575980000,711.08154673
1778578380000,702.00461437
1778580120000,695.94930493
1778580840000,690.54623437
1778586240000,713.29880055
1778589000000,706.23568522
1778591880000,697.12484578
1778593620000,691.4234451
1778595300000,682.53585713
1778596740000,673.96136761
1778597220000,665.33169401
1778599860000,689.69875445
