time,balance
1000,1000
1778167860000,990.4241353
1778170320000,978.0951285
1778174340000,966.61095642
1778176140000,956.68806635
1778180220000,943.83805139
1778183520000,938.3575557
1778184120000,932.31576241
1778184360000,924.26877111
1778188740000,943.47746083
1778190780000,935.02919139
1778192460000,923.80507446
1778193240000,918.23097498
1778194380000,915.89102709
1778201100000,921.29838344
1778207520000,930.0653592
1778208960000,918.42889199
1778210160000,910.99505317
1778215260000,902.98694711
1778215440000,901.7400439
1778219220000,891.86461754
1778221680000,884.72481437
1778228700000,878.35994471
1778234340000,870.53159003
1778234880000,867.19611867
1778236260000,855.78535966
1778244660000,846.57037164
1778244840000,840.04980407
1778249220000,831.11586385
1778254740000,833.63685873
1778261400000,903.92670016
1778267220000,894.65632007
1778270640000,891.48434457
1778281260000,890.27601364
1778291400000,935.28769988
1778293860000,926.90574818
1778294400000,920.54744715
1778294700000,918.07648369
1778300460000,925.36980827
1778300520000,918.96832484
1778307480000,924.29570366
1778311260000,917.94928306
1778314560000,911.40700389
1778314680000,906.05699458
1778322000000,917.27910112
1778324880000,910.85708407
1778329140000,906.3563558
1778329680000,900.79837248
1778340540000,930.92325126
1778340720000,924.54696974
1778341620000,917.56853715
1778344440000,913.72855197
1778354820000,922.60381012
1778357280000,916.66153769
1778360880000,912.48604153
1778366520000,907.62950634
1778366880000,902.8518745
1778367600000,896.60125434
1778368020000,890.68331928
1778379420000,900.94041356
1778381820000,891.56890567
1778381940000,884.88034837
1778386500000,879.10562862
1778386740000,874.08831638
1778387460000,868.51822764
1778388240000,862.49008815
1778388480000,857.69353327
1778389080000,853.20721357
1778389380000,849.38174197
1778392140000,843.71559518
1778392680000,839.51339625
1778397300000,835.75339206
1778400420000,830.52840513
1778407440000,857.4281017
1778411340000,850.67285417
1778414160000,863.01460297
1778414580000,856.14578138
1778415240000,850.24490864
1778415540000,843.8502693
1778418840000,837.81471571
1778423520000,831.92633897
1778424600000,826.06464808
1778425200000,818.67354769
1778429400000,811.70760317
1778429520000,804.79386702
1778431080000,796.06758917
1778440260000,803.88388825
1778442660000,804.52193183
1778442900000,797.49798221
1778447520000,787.85737704
1778447880000,781.10696259
1778449140000,784.90053888
1778450400000,774.73738186
1778450580000,769.15521927
1778457840000,766.58415996
1778457960000,763.65756788
1778459100000,762.03008715
1778460120000,753.07932202
1778461920000,759.80832588
1778463000000,750.37817987
1778471160000,793.58004167
1778481360000,830.80249396
1778489340000,856.66905085
1778492400000,849.39592854
1778496660000,844.81094269
1778499780000,840.38206322
1778500440000,833.91859382
1778500980000,833.08402265
1778502180000,831.98666203
1778502300000,826.81203104
1778504520000,818.5073543
1778506200000,808.8339969
1778506920000,810.33903269
1778507580000,799.44106243
1778510280000,808.94421639
1778514600000,849.33066316
1778519520000,839.29074879
1778520180000,828.14259538
1778520960000,817.0621581
1778523120000,815.52085158
1778524080000,805.59530809
1778527320000,800.14596536
1778530680000,791.45827178
1778535480000,784.23481253
1778536980000,779.81371046
1778537220000,775.32700041
1778537760000,770.51342433
1778538120000,764.89586836
1778538720000,760.76626787
1778540520000,755.64501091
1778540700000,751.20215547
1778543160000,748.48854663
1778543820000,742.34134954
1778545500000,736.51151773
1778547960000,729.49007061
1778553300000,725.84273022
1778553900000,718.35362656
1778555520000,714.7392575
1778559540000,712.32245433
1778562840000,709.933108
1778567460000,712.32489253
1778578380000,737.47650307
1778580060000,733.42284083
1778580180000,731.91864934
1778580420000,727.6217508
1778580840000,722.03708138
1778587140000,742.25282
1778589000000,736.80377449
1778591640000,732.21408882
1778593200000,727.00435806
1778593620000,719.65385642
1778595240000,711.67969845
1778596680000,706.26835581
1778597100000,699.30901749
1778599860000,721.46112913
1778602500000,717.03201052
1778605380000,712.0591721
1778622540000,727.36789009
1778625060000,721.80202235
1778625660000,717.13371985
1778642100000,739.61327668
1778647560000,748.15067151
1778650200000,742.6822479
1778652480000,736.21469478
1778661540000,732.49646145
1778666040000,728.55813648
1778666460000,724.53094069
1778674740000,761.90635831
1778675280000,753.93176982
1778678460000,747.71511202
1778680800000,788.17823347
1778682720000,781.36748952
1778688060000,832.5956988
1778689500000,831.30264949
1778692320000,829.18933695
1778693040000,822.81323608
1778693100000,815.16957796
1778693580000,806.89149387
1778694600000,796.46744462
1778694900000,791.14207486
1778695080000,786.50812787
1778695380000,781.11298833
1778698440000,774.55906686
1778706420000,778.02978778
1778721360000,776.78609027
1778723880000,772.73104691
1778725200000,766.29258398
1778725860000,761.61897575
1778729280000,787.41645588
1778729820000,779.67367606
1778732280000,777.4793972
1778740860000,771.23244737
1778742180000,766.59116839
1778744400000,765.89828023
1778744820000,759.01797262
1778746320000,750.10344642
1778747040000,747.68273424
1778750520000,742.91281692
1778753340000,736.9560785
1778753400000,736.90087037
1778755260000,727.6029236
1778755500000,721.95989187
1778756820000,716.435634
1778760600000,709.53074342
1778765700000,713.07476422
1778765880000,704.79366559
1778773080000,736.15396477
1778773380000,730.89666088
1778775540000,757.82029974
1778776860000,750.11747996
1778777100000,745.51326244
1778777820000,757.34362829
1778778840000,754.65783379
1778780100000,754.49141844
1778781600000,755.38852711
1778782020000,747.30001372
1778783640000,752.54768815
1778783940000,747.04266388
1778786640000,741.05313028
1778793420000,735.14688587
1778793660000,730.64011086
1778796060000,725.27559108
1778796960000,719.99657354
1778797440000,713.65695162
1778799060000,708.35708731
1778804640000,715.49969821
1778805900000,708.777131
1778807220000,703.84437559
1778807640000,699.6618616
1778807820000,697.42729702
1778809020000,700.75778867
1778811420000,695.30190893
1778812980000,693.02589708
1778815920000,694.37953562
1778817300000,689.16665207
1778830620000,707.37906075
1778834280000,701.75312087
1778835000000,694.4004605
1778841900000,689.4243048
1778846580000,680.61806381
1778855220000,671.51125687
1778855400000,667.64119672
1778857320000,663.54642797
1778857560000,656.90949293
1778857860000,650.93498393
1778859000000,647.7870235
1778859300000,642.69155156
1778859480000,639.10352463
1778860980000,636.82922036
