time,balance
1778167620000,1000
1778167800000,987.29799262
1778174820000,975.66935859
1778179320000,986.76147029
1778180220000,974.40920137
1778183520000,961.3915765
1778184120000,955.53696352
1778185260000,942.7796568
1778188680000,961.01005164
1778193240000,949.64584248
1778194440000,939.2167464
1778207520000,951.2284039
1778209260000,938.74218808
1778220000000,926.50139021
1778233680000,933.99133804
1778234340000,928.7337664
1778234880000,923.22022055
1778236440000,911.27795951
1778245140000,899.35535703
1778250480000,912.07687576
1778254440000,917.75414094
1778256180000,922.33871149
1778267220000,913.05023195
1778273580000,901.26607694
1778281500000,894.26743515
1778292060000,948.20072704
1778293860000,937.30332339
1778294640000,927.77231681
1778295900000,915.38834219
1778298360000,907.40050995
1778301780000,897.11177909
1778307360000,910.19268549
1778311260000,900.07519247
1778317980000,888.60366525
1778322240000,881.29745566
1778324640000,874.73820201
1778330160000,868.95134666
1778335500000,863.35111658
1778340360000,885.93007562
1778341380000,877.10124661
1778342040000,868.40263184
1778346300000,859.41837538
1778352120000,870.699316
1778353740000,864.46414942
1778354100000,858.54012819
1778355120000,852.07957156
1778357700000,845.22514042
1778361960000,839.80799529
1778366520000,832.03005764
1778366880000,826.0783074
1778367600000,818.76941389
1778368020000,811.67285408
1778377800000,825.05153592
1778378520000,817.99232685
1778386500000,811.77041203
1778386980000,803.83064266
1778387460000,797.13454683
1778388300000,790.05780346
1778389380000,785.14938586
1778392320000,778.53214219
1778393220000,773.31758917
1778405820000,811.0412574
1778406480000,803.27138151
1778407440000,793.80638576
1778411340000,786.88668646
1778413440000,802.2090275
1778414580000,795.10013366
1778415240000,787.82182797
1778415540000,781.34513674
1778419200000,774.13325169
1778429400000,764.47677129
1778429580000,755.40813946
1778431140000,745.40783766
1778440560000,735.96341126
1778441820000,741.00925917
1778443200000,731.05070884
1778447520000,722.39864214
1778448240000,713.22892334
1778450400000,704.32217211
1778452200000,716.65904264
1778459520000,707.3779347
1778460000000,700.90233239
1778461200000,708.44986151
1778462880000,700.96826517
1778470920000,738.73232968
1778478300000,752.87475007
1778481960000,744.89261509
1778497860000,735.3710642
1778499840000,729.37728579
1778500740000,721.98553707
1778500980000,719.68613577
1778502120000,726.85428524
1778503800000,717.72190084
1778504520000,708.13886083
1778506080000,698.61133526
1778506920000,689.59089567
1778507700000,681.17451646
1778512320000,672.96263256
1778519820000,665.32119938
1778520420000,656.87438817
1778523120000,662.52668206
1778523600000,658.86896895
1778530260000,669.90481017
1778536980000,674.94192958
1778537220000,669.1235201
1778537760000,661.8905665
1778538120000,656.02311962
1778539440000,650.9774729
1778546280000,645.67155378
1778549100000,656.70320682
1778555520000,651.39657294
1778559960000,647.89196943
1778570040000,656.45499133
1778575980000,650.5504766
1778578380000,642.17147996
1778586240000,663.33016329
1778587680000,657.7325668
1778589300000,649.62054303
1778591880000,641.24007092
1778593560000,632.73063621
1778595300000,624.59748824
1778596680000,616.6190822
1778597220000,608.90665043
1778599860000,631.20720409
1778602560000,625.10344374
1778604300000,621.69002582
1778613780000,638.5267522
1778614440000,631.77525251
1778614920000,626.64751754
1778615280000,621.61508663
1778618460000,615.79218008
1778621280000,610.35105929
1778623800000,605.69688559
1778626560000,600.36770508
1778637300000,617.13291503
1778637600000,611.61851664
1778638620000,606.44901765
1778638860000,600.62526518
1778641680000,594.45379747
1778646840000,604.30774846
1778659320000,612.17597635
1778661300000,611.28545213
1778666820000,619.18058293
1778673000000,612.1140571
1778673720000,606.9134779
1778674260000,601.27563389
1778675940000,641.71321905
1778679060000,633.74264543
1778682900000,626.55343004
1778688000000,667.57873045
1778689620000,663.97712806
1778692920000,659.99200719
1778693580000,652.34824445
1778694600000,644.08224241
1778695440000,637.51366585
1778698560000,630.08610998
1778709900000,621.76327622
1778726460000,614.50221939
1778740500000,639.13388802
1778740860000,636.85718449
1778742180000,630.82953671
1778747820000,625.0824082
1778750520000,621.76811796
1778755260000,613.47115823
1778755500000,609.06260408
1778757480000,602.71642373
1778760660000,595.3275243
1778764740000,602.2790892
1778765880000,594.44969018
1778771220000,617.63838621
1778776920000,609.80901074
1778777100000,603.90367014
1778777820000,612.92803315
1778778840000,605.41852242
1778780760000,598.04434861
1778782080000,592.39182309
1778783640000,599.18390448
1778784360000,594.25401486
1778786640000,590.56306412
1778791800000,603.81734011
1778793480000,597.14101266
1778793600000,592.76506122
1778799600000,587.32073385
1778805660000,583.49124351
1778805960000,580.76702905
1778807400000,575.38570993
1778807760000,571.2496216
1778807820000,568.30562465
1778808960000,573.84602281
1778816160000,566.28101129
1778830320000,580.96747169
1778834520000,574.62212754
1778835000000,567.0515005
1778841960000,560.97983469
1778845620000,556.705375
1778855340000,550.16811047
1778855460000,544.10762318
1778858100000,536.92620853
1778859000000,532.24094132
1778859420000,526.10691224
1778861460000,519.6306439
1778863560000,523.6794924
1778869440000,517.93805678
1778871660000,512.16037117
1778876940000,519.02447446
1778877540000,514.22401027
1778880780000,509.44959405
1778889660000,505.32118031
1778892600000,500.73789192
1778898660000,496.20950475
1778902320000,492.31977367
1778906400000,509.27187916
1778907660000,503.25124106
1778915760000,543.27439104
1778917800000,536.27644795
1778918400000,530.31742266
1778923080000,561.31697095
1778927940000,555.15321861
1778936580000,562.61958189
1778938380000,557.43321558
1778939040000,551.94535034
1778940240000,547.87551127
1778941500000,542.53438909
1778947800000,549.14070994
1778948220000,545.06737399
1778969400000,540.46261703
1778971080000,536.63877999
1778973480000,532.35190133
1778975700000,527.92403074
1778976000000,524.35493573
1778976180000,520.33466698
1778980020000,529.71784508
1778995320000,559.58581753
1778996280000,555.76834894
1778997300000,551.44912801
1778997720000,547.34790616
1778998800000,544.03860059
1779003060000,541.32801552
1779012240000,535.57224222
1779014580000,533.69773938
