time,balance
1778166180000,1000
1778166360000,989.2299883
1778167860000,976.78885014
1778174760000,964.92553065
1778179320000,973.70866051
1778188680000,996.11666991
1778190960000,985.83881388
1778192460000,977.0777163
1778193240000,970.43298037
1778207520000,983.94105197
1778209200000,971.57323583
1778210160000,959.38548998
1778215260000,948.3655064
1778215440000,946.21155377
1778219220000,934.889372
1778221680000,926.4848116
1778230860000,936.09160616
1778231340000,929.61580535
1778234340000,920.73113031
1778234880000,916.47648348
1778236260000,904.25673787
1778245140000,893.77023382
1778250480000,902.06994183
1778253060000,894.82470628
1778256180000,901.79170629
1778267220000,889.66234836
1778273580000,879.03634289
1778281500000,870.83693011
1778285280000,864.56730935
1778292060000,923.42399081
1778293860000,913.27408608
1778294400000,904.92674467
1778295420000,901.47139719
1778298060000,895.58612481
1778300160000,901.92400614
1778303700000,923.40279892
1778307360000,933.39843821
1778311440000,922.65884181
1778313720000,916.17929654
1778313900000,908.66583645
1778314560000,901.75904182
1778316540000,896.37065239
1778322240000,889.10919878
1778324880000,883.51113415
1778329140000,878.59079528
1778329680000,872.50763441
1778340360000,906.00097664
1778345040000,896.6957003
1778352120000,909.91731915
1778355480000,904.35499102
1778361180000,897.93491937
1778362140000,892.59198761
1778362260000,887.19630395
1778366520000,881.32548332
1778366880000,876.06186083
1778367600000,869.36446866
1778368020000,862.95246115
1778377800000,877.17637705
1778378520000,870.24029825
1778381160000,864.55772925
1778381820000,858.20261468
1778405820000,914.51193515
1778406480000,906.75623196
1778411340000,899.96502
1778413440000,917.48923435
1778414580000,910.1477392
1778415240000,906.25317291
1778415540000,898.76860852
1778418840000,891.83808195
1778423460000,884.69871096
1778424420000,873.32379753
1778424600000,864.42972289
1778425200000,855.63310002
1778429460000,850.67525992
1778429520000,842.36254581
1778431080000,832.12937127
1778440140000,841.89972809
1778442660000,835.13739708
1778443020000,826.64561668
1778443860000,818.09522568
1778444460000,823.24503961
1778447580000,812.89460619
1778450520000,802.0941729
1778450580000,794.41443856
1778455440000,792.03150563
1778457120000,798.70435128
1778457900000,790.40219322
1778460120000,781.33902092
1778461200000,789.75271671
1778463000000,780.18868708
1778464140000,769.68012867
1778464320000,759.51747459
1778470920000,804.24760774
1778471280000,803.59197563
1778473980000,795.28428464
1778488860000,828.51602398
1778497920000,819.7631142
1778500200000,809.61344305
1778500860000,799.01725818
1778500980000,797.56320626
1778502240000,789.32283126
1778502600000,783.35892577
1778504520000,774.51900031
1778506260000,764.08382029
1778506920000,757.35709454
1778507700000,747.62756078
1778510280000,759.27829964
1778513940000,800.63180148
1778518080000,795.60922056
1778518500000,785.11592093
1778519040000,790.41639388
1778520300000,780.28661622
1778520960000,770.09459519
1778523480000,760.64657711
1778530260000,773.38716022
1778530680000,765.68271484
