time,balance
1778167500000,1000
1778167860000,986.77952492
1778174820000,975.15699752
1778179320000,982.77168376
1778184120000,970.4156518
1778185260000,957.45970077
1778188680000,982.10492116
1778190960000,970.11107368
1778193240000,961.14981116
1778194440000,956.03212948
1778207520000,969.88001636
1778209020000,957.67248873
1778210160000,945.66812833
1778220000000,933.30450255
1778230860000,942.98201103
1778234400000,932.95605044
1778234880000,927.41743845
1778236440000,915.42088454
1778239140000,911.06912817
1778240640000,900.7510814
1778241060000,894.95850394
1778242860000,890.14946391
1778243400000,880.56860775
1778243640000,871.06503665
1778244660000,862.52790738
1778244900000,853.79339685
1778250480000,865.8704347
1778254440000,872.80482799
1778256180000,879.60038381
1778267220000,867.975175
1778273580000,856.91100302
1778282100000,845.80564102
1778292060000,898.65326661
1778293860000,887.32739474
1778294640000,878.30457041
1778295840000,873.29067571
1778298360000,865.93752804
1778300160000,872.06559228
1778303700000,892.83332438
1778307360000,901.1032561
1778311440000,892.06889173
1778314560000,883.87166949
1778316540000,876.97262243
1778322240000,870.56261165
1778325180000,862.74664715
1778329260000,853.88705826
1778329860000,846.84846003
1778340360000,879.356812
1778341380000,870.73921862
1778342040000,861.81711934
1778346300000,851.0560096
1778352120000,863.60467931
1778353140000,857.21316462
1778354100000,851.33883312
1778355120000,844.93246657
1778357700000,838.13552928
1778361960000,833.12918301
1778366640000,827.38510574
1778366880000,821.46658216
1778367600000,814.19849181
1778368020000,807.14154976
1778377800000,820.44554279
1778405820000,882.33813847
1778410920000,901.66600697
1778413440000,919.22334312
1778414940000,909.82994169
1778415240000,901.50140525
1778415540000,892.94744441
1778419200000,884.70546014
1778423520000,876.40654466
1778424780000,867.53589487
1778429040000,880.4776921
1778429580000,870.03299539
1778431140000,858.51525805
1778440140000,871.21029026
1778443920000,860.43027444
1778449140000,862.75526078
1778450520000,851.96604651
1778452200000,867.36845405
1778458920000,877.02533573
1778460120000,866.9808553
1778461200000,876.31676838
1778463600000,866.02310183
1778470920000,920.14473419
1778478300000,952.48339222
1778488860000,986.85065985
1778497920000,974.84370141
1778499840000,966.8980568
1778500740000,957.09919464
1778500980000,954.05099628
1778502240000,942.69051736
1778502600000,933.46856827
1778504520000,921.00487362
1778506260000,908.97471934
1778506920000,915.18958924
1778507700000,904.01980339
1778510280000,914.84906221
1778513940000,955.57488838
1778519820000,944.72441719
1778520420000,933.12714708
1778521080000,921.46915594
1778523480000,910.49706635
1778530260000,925.74759647
