time,balance
1778167500000,1000
1778167860000,986.77952492
1778170320000,974.08925936
1778170860000,961.35702334
1778174760000,950.38882252
1778179320000,961.19352689
1778184120000,949.10878926
1778185260000,936.43730465
1778188680000,954.54505834
1778190900000,951.18040116
1778192460000,941.74168783
1778193240000,933.04248347
1778207520000,946.55737106
1778209020000,934.6433971
1778210160000,923.2604665
1778220000000,911.18979756
1778230860000,922.19457215
1778234340000,917.00340621
1778245140000,905.0058955
1778250480000,917.80734196
1778254440000,925.15767616
1778256180000,932.36084511
1778267220000,921.87164585
1778273580000,910.12044982
1778281500000,903.05305077
1778292060000,959.47760885
1778293860000,947.385158
1778294640000,936.77618996
1778295840000,931.42850383
1778298060000,920.88659991
1778301780000,910.44495448
1778307360000,921.76539155
1778311440000,909.95675887
1778314560000,901.59516499
1778316540000,895.14332327
1778322240000,888.60049832
1778325180000,880.86826395
1778329260000,871.82258326
1778329860000,864.63614235
1778340360000,897.82731807
1778341380000,889.0287159
1778346300000,879.83106761
1778352120000,892.80402045
1778353140000,886.19640222
1778354100000,880.12345369
1778355120000,873.50048146
1778357700000,866.47373291
1778361960000,861.29811706
1778366640000,855.35982677
1778366880000,849.24119197
1778367600000,841.72736019
1778368020000,834.43181585
1778377800000,848.18563023
1778405820000,911.24337343
1778410920000,931.20441936
1778413440000,949.3369306
1778414940000,939.63580308
1778415240000,934.36444694
1778415540000,925.49866277
1778419200000,917.22821505
1778424780000,907.944384
1778429040000,921.48899026
1778429580000,910.55779563
1778431140000,898.50357978
1778440140000,911.78992709
1778443920000,899.60179002
1778449140000,902.0326225
1778450400000,890.76810434
1778452200000,906.87200122
1778459520000,895.82860657
1778460000000,887.62785629
1778461200000,897.18610254
1778462880000,887.71135406
1778470920000,935.53604244
1778478300000,966.42736209
1778488860000,1001.29775256
1778497920000,989.11501711
1778499840000,981.0530515
1778500740000,971.11073799
1778500980000,968.01791524
1778502240000,956.49112353
1778503620000,950.3925151
1778504520000,937.7028515
1778506260000,925.45458845
1778506920000,913.50515851
1778507700000,902.35593096
1778510280000,912.67680197
1778513940000,945.25418179
1778521260000,934.5011936
1778525220000,923.54997385
1778530260000,939.01913595
1778536980000,944.39039102
1778537220000,936.24917212
1778537760000,926.12869867
1778538120000,917.91886579
1778539440000,910.85890985
1778546280000,903.43477628
1778549100000,920.72046876
1778553300000,911.69519099
1778554380000,899.52982776
1778563140000,888.94945125
1778570040000,900.69846803
