time,balance
1778167620000,1000
1778167800000,986.76899551
1778174760000,974.78446492
1778176140000,966.14417822
1778180160000,953.5924201
1778183520000,943.06877387
1778183640000,939.93662315
1778184360000,929.95603871
1778188680000,950.23035669
1778193240000,940.83651618
1778194380000,932.26402077
1778200680000,942.45524652
1778207520000,954.50832126
1778209020000,943.1650568
1778210160000,933.60696923
1778215260000,923.7921183
1778215440000,921.69397739
1778219220000,913.79190521
1778221680000,905.57700889
1778228700000,896.36681829
1778233740000,892.3056807
1778234880000,888.18238627
1778236260000,876.33989713
1778244660000,864.58709583
1778244840000,857.14174814
1778250480000,870.65379648
1778254440000,876.64915599
1778256180000,882.03506967
1778267220000,875.31970492
1778270880000,864.12582424
1778281500000,859.03979046
1778292060000,911.38146236
1778293860000,902.85040993
1778294400000,895.5368531
1778295900000,884.77183008
1778298360000,878.32553121
1778301780000,869.85316385
1778307360000,882.53660874
1778311260000,874.17072795
1778317980000,862.65497567
1778322180000,856.69595874
1778324640000,851.27904108
1778329140000,846.53820512
1778329680000,840.67696902
1778340360000,872.94841319
1778340780000,865.77744406
1778341920000,858.58015522
1778344800000,851.50273377
1778352120000,862.67977169
1778353140000,857.40727993
1778354100000,852.3650975
1778355120000,846.69436402
1778357580000,840.73184898
1778361960000,836.06760747
1778366520000,829.08007785
1778366880000,824.12848547
1778367600000,817.82811799
1778368020000,811.79621742
1778377800000,825.17693264
1778378460000,819.15969134
1778386500000,813.87968811
1778386740000,806.87034109
1778387340000,801.12326661
1778388300000,794.98097749
1778389380000,790.90109707
1778392320000,785.103935
1778393220000,780.47304124
1778405820000,818.54576387
1778406420000,812.16538267
1778406780000,804.06233578
1778410920000,817.43014854
1778413440000,833.34723511
1778414580000,827.19082892
1778415240000,820.78799024
1778415540000,815.00902097
1778419140000,808.54475041
1778429400000,800.05848094
1778429520000,792.24038896
1778431080000,782.61610756
1778434200000,825.50047241
1778440260000,814.52326031
1778441820000,820.10772339
1778443020000,811.01741932
1778447460000,800.9034324
1778447880000,791.65415669
1778449140000,797.56548076
1778450400000,787.12870865
1778450580000,778.42750261
1778459520000,768.4636601
1778459640000,763.60927588
1778461200000,771.83205241
1778462820000,766.54700194
1778470920000,809.71665085
1778478300000,827.57182196
1778481900000,820.59258129
1778492400000,811.89993436
1778499300000,805.95990408
1778499840000,800.85572887
1778500440000,793.96251079
1778500980000,792.51765751
1778502120000,800.41121659
1778503800000,789.925041
1778504520000,781.01101927
1778505540000,772.0368205
1778506920000,761.75259653
1778507700000,751.96659511
1778511960000,742.52547247
1778519760000,733.90263998
1778520300000,726.74344971
1778521080000,716.96378343
1778521200000,712.85729024
1778523600000,711.02069273
1778530260000,722.9300584
1778530740000,714.88704737
1778535480000,711.69896641
1778536980000,706.50132826
1778537220000,701.67683777
1778537760000,695.28416602
1778538060000,690.05318959
1778539260000,685.73446426
1778540520000,681.95470366
1778540700000,677.36430842
1778547840000,671.87702577
1778549100000,683.3564137
1778555100000,679.32544948
1778563080000,672.38561978
1778570040000,681.27236797
1778575980000,676.43608412
1778578260000,669.22137022
1778580960000,662.10699818
1778586300000,657.42440675
1778589300000,650.68116709
1778591640000,642.6951838
1778593260000,636.35279843
1778593560000,628.94143674
1778595300000,620.8634161
1778596680000,612.641029
1778597220000,604.51593994
1778599860000,626.65568855
1778602500000,621.97884646
1778604180000,619.71491318
1778613780000,636.49814919
1778614440000,630.64124908
1778614920000,626.33373504
1778615160000,622.09602329
1778618280000,617.01702923
1778620680000,612.30683527
1778623260000,607.91394717
1778623320000,603.98545107
1778626260000,599.55120761
1778637300000,616.29361693
1778637600000,611.70525434
1778638260000,607.45293568
1778638860000,602.5463695
1778641680000,597.37573603
1778646840000,607.27812248
1778653020000,601.02952746
1778653560000,599.28514811
1778656740000,595.59359811
1778658240000,590.5099876
1778658660000,586.18673849
1778659080000,582.33371242
1778661060000,576.53515065
1778661300000,576.38695305
1778666820000,583.83134809
1778673000000,578.09167407
1778673720000,574.20882711
1778674200000,569.78178452
1778675280000,562.97731866
1778679000000,557.24025379
1778682720000,552.23830518
1778688000000,591.15745647
1778689500000,589.3876613
1778692800000,587.35382203
1778693040000,581.98007823
1778693220000,575.73131189
1778694600000,568.10700567
1778695440000,563.4987272
1778698560000,558.08174987
1778709900000,550.87916059
1778721360000,545.42100846
1778724900000,541.85095082
