time,balance
1000,1000
1778167800000,988.7151964
1778170320000,976.40746283
1778170440000,966.66860323
1778170500000,956.83077886
1778170860000,944.03855022
1778174340000,932.95424886
1778176140000,926.31828992
1778180100000,913.93127035
1778183520000,905.11954559
1778183640000,903.61692457
1778184360000,895.81763829
1778188740000,910.9030358
1778193240000,902.95795367
1778194380000,895.74399323
1778201100000,901.03240291
1778207520000,908.07709424
1778208960000,898.8082553
1778210160000,891.53322751
1778215260000,883.51229642
1778215440000,882.29228508
1778219220000,875.62326863
1778221680000,868.61348524
1778228700000,860.74097966
1778233740000,857.40855438
1778234880000,854.12336438
1778236260000,842.88461956
1778244660000,832.30018917
1778244840000,825.88953532
1778249220000,817.10618972
1778254740000,818.66654254
1778261400000,886.75991608
1778267220000,881.31588476
1778270640000,874.8544495
1778276400000,870.69188957
1778286000000,876.75840757
1778291400000,914.84296847
1778293860000,907.4498613
1778294400000,901.22502192
1778295900000,891.44477011
1778298360000,885.72024121
1778300460000,885.17077706
1778301060000,876.30866194
1778307480000,884.67715364
1778308200000,877.15959972
1778310540000,871.20523043
1778310720000,865.63027412
1778317860000,853.95834066
1778322180000,848.73284331
1778324520000,843.93646726
1778329140000,839.76640722
1778329680000,834.61676861
1778340540000,862.52837431
1778340720000,856.34914904
1778341920000,850.05457621
1778344440000,846.49713407
1778346240000,840.23997943
1778354820000,847.04280097
1778357280000,841.5871991
1778361180000,836.63977603
1778365680000,830.10123447
1778366880000,825.73170037
1778367600000,820.01499826
1778368020000,814.60256382
1778379420000,823.9835134
1778386500000,819.24625154
1778386740000,812.76508056
1778387340000,807.56489638
1778388240000,801.95981673
1778389380000,798.36411985
1778392140000,793.03830689
1778392680000,788.74102469
1778407440000,823.22152465
1778410800000,817.93871795
1778414160000,829.8055527
1778414580000,824.40923256
1778415240000,818.72709982
1778415480000,813.54242362
1778418840000,807.72364383
1778429160000,800.20469234
1778429520000,793.38893247
1778431080000,784.78631689
1778434200000,828.35654774
1778440260000,817.89606681
1778442660000,819.39480845
1778442900000,811.47015768
1778447460000,800.82506573
1778447880000,793.96354326
1778449140000,797.81955968
1778450400000,787.27312202
1778450580000,780.17299774
1778459100000,777.70010963
1778459640000,774.11135495
1778461920000,781.02828673
1778462820000,777.42029053
1778471160000,817.37182318
1778481360000,846.29600315
1778481900000,840.26012854
1778492400000,832.46289661
1778499300000,827.18274237
1778499780000,822.84627786
1778500440000,816.51767807
1778500980000,815.70052143
1778502180000,819.76820395
1778503620000,808.81886867
1778504520000,800.69491909
1778505540000,792.43799937
1778506920000,782.93620254
1778507580000,772.4067635
1778510280000,769.13886186
1778514600000,805.90153959
1778519520000,796.3749997
1778520180000,790.01162029
1778521080000,780.5134178
1778521200000,777.43142082
1778523600000,776.80192716
1778527320000,771.54735345
1778530560000,764.14014527
1778535480000,761.42703654
1778536980000,756.60153893
1778537220000,752.24838164
1778537760000,746.16183016
1778538060000,741.14851289
1778538720000,737.14712212
1778540520000,733.53175862
1778540700000,729.21891923
1778547840000,724.05744094
1778551980000,767.97416077
1778555100000,764.44946254
1778563080000,758.83218163
1778578380000,785.23554209
1778587140000,807.22072384
1778589240000,802.37413455
1778591640000,797.37599909
1778593200000,791.70263888
1778593560000,783.68883618
1778595240000,775.00513566
1778595420000,767.26827531
1778596680000,758.43996674
1778597100000,749.12557542
1778599860000,772.85573329
1778602500000,768.11109831
1778604180000,766.15434932
1778605800000,760.63433842
1778609760000,754.6405598
1778610240000,750.86627246
1778610780000,745.96636678
1778622540000,745.73959412
1778623320000,741.44087643
1778625660000,736.64555835
1778632200000,729.04726572
1778637540000,724.27139377
1778638200000,719.88865933
1778638800000,714.73294467
1778640840000,709.32595916
1778647560000,717.51374589
1778653260000,713.25682289
1778653560000,711.77557268
1778656740000,707.69500379
1778658180000,701.99490124
1778658600000,697.39194173
1778659080000,693.3100173
1778661000000,686.86482686
1778661300000,687.18183839
1778667000000,692.60086189
1778673000000,686.44914408
1778673720000,682.57139027
1778674200000,677.95578902
1778675280000,670.8598797
1778678460000,664.92111727
1778680800000,700.90378432
1778682720000,695.60801961
1778688060000,741.21364524
1778689500000,740.06251535
1778692800000,738.64152894
1778693040000,732.96170085
1778693100000,726.15273325
1778693580000,718.93935694
1778694600000,709.65154152
1778695380000,704.78360823
1778698440000,698.87012774
1778706420000,698.15103908
1778711280000,689.39924471
1778721360000,684.13314563
1778724360000,680.22196154
1778725200000,676.48273467
1778725860000,671.70391123
1778729280000,694.45579748
1778742180000,725.25296499
1778744400000,724.59744061
1778744820000,721.66514684
1778746200000,716.02027612
1778750880000,711.00916442
1778753580000,703.12440117
1778755440000,699.8839091
1778756820000,694.52857117
1778760600000,687.83481731
1778765700000,692.40779238
1778765880000,684.36670397
1778773080000,719.4678909
1778776800000,713.1431792
1778777100000,708.76590977
1778777820000,715.8358357
1778778840000,706.51400454
1778780100000,703.69034195
1778781600000,700.73665082
1778781960000,696.68856815
1778783640000,701.95614156
1778784180000,698.56327259
1778784600000,696.47924352
1778786280000,691.92046163
1778786640000,690.70281512
1778791980000,702.77804914
1778793540000,699.15993172
1778796060000,694.02654631
1778796720000,691.99897318
1778797440000,685.90587216
1778799060000,680.812097
1778804640000,686.21079739
1778805900000,684.96453605
1778807220000,680.1975051
1778807700000,676.60627195
1778807820000,674.4453418
1778809020000,677.66608551
1778815920000,675.67403834
1778817300000,670.60158171
1778826720000,667.61246298
1778834280000,662.30279553
1778835000000,654.59822845
1778841900000,649.90730024
1778846580000,641.60582281
1778855340000,633.48368862
1778855400000,629.83278932
1778857860000,624.10453952
1778859000000,621.08633273
1778859300000,616.20088757
1778859480000,612.76075307
1778861160000,607.10177976
1778861340000,602.23113179
1778869080000,619.71229478
1778869320000,614.90644526
1778870760000,609.79301294
1778870940000,605.58574639
1778871600000,600.7305254
1778884260000,608.15236362
1778890020000,605.20418744
1778892360000,600.92785044
1778898540000,596.96072392
1778901900000,593.18339781
1778902440000,590.21641134
1778907660000,584.80459748
1778910180000,580.67757218
1778911140000,575.69701424
1778915700000,613.20503252
1778917680000,606.45617114
1778918280000,601.70277416
1778922180000,597.26537671
1778927820000,593.32944267
1778928420000,587.17231921
1778940480000,592.11566651
1778941680000,589.32474905
1778947260000,584.26600317
1778947800000,579.29591061
1778948220000,576.17525243
1778949720000,572.8475916
1778955180000,568.97528841
1778956620000,565.72171393
1778956800000,562.44724023
1778957040000,559.75610152
1778959020000,556.52454364
1778959740000,554.42504986
1778961180000,551.39311222
1778961840000,547.63447115
1778963580000,543.95832347
1778980080000,556.07323702
1778986200000,552.36060113
1778999220000,575.51079417
1779003600000,572.90978885
1779009600000,568.71988143
1779011460000,564.92431439
1779014580000,564.24769328
