time,balance
1778167500000,1000
1778167860000,988.62123691
1778170020000,976.38198989
1778170440000,966.37137046
1778174400000,955.16153572
1778176140000,946.69518257
1778180220000,934.34103456
1778183520000,927.58508944
1778184120000,920.01272278
1778184360000,910.24369747
1778188680000,930.08825935
1778190780000,928.66476482
1778192460000,921.20469537
1778193240000,914.53962831
1778207520000,927.78650665
1778208960000,915.47747827
1778210160000,903.99341674
1778215260000,894.59477828
1778215440000,892.56295114
1778219220000,884.91063156
1778221680000,876.95537496
1778230860000,887.54668782
1778233740000,883.52551128
1778244660000,871.67634202
1778244840000,864.16994564
1778250480000,877.79278704
1778254440000,884.82266145
1778256180000,891.71178671
1778267160000,883.8921527
1778273580000,872.00736053
1778281500000,866.87493794
1778292060000,925.8887146
1778293860000,916.32671852
1778294400000,907.951476
1778295420000,904.48457896
1778297880000,895.53223821
1778301780000,886.89389418
1778307360000,897.9214983
1778311440000,887.90801357
1778314560000,880.89328483
1778316540000,875.62957707
1778322180000,870.41484745
1778324880000,863.8561483
1778329140000,858.21590362
1778329680000,852.27381382
1778340360000,884.9904313
1778340780000,877.94958768
1778346240000,870.48742423
1778352120000,883.32260671
1778353140000,877.76506382
1778354100000,872.60316273
1778355120000,866.79778663
1778357580000,860.69370107
1778360880000,856.31544435
1778366520000,851.25298193
1778366880000,846.16896425
1778367600000,839.70009984
1778368020000,833.50688223
1778377800000,847.24545108
1778378520000,840.27603866
1778386500000,835.18940457
1778388300000,828.7859271
1778389380000,824.53255807
1778392320000,818.48888347
1778392680000,813.9996355
1778405820000,853.26739214
1778406480000,847.92160306
1778411400000,840.42599246
1778413440000,856.79085654
1778414580000,849.24552264
1778415240000,845.61155989
1778415540000,838.62782251
1778418840000,832.16104968
1778424600000,825.33790405
1778425200000,816.93908795
1778429400000,809.07322014
1778429520000,801.16703703
1778431080000,791.43431308
1778440140000,803.1374063
1778442720000,794.27871128
1778447520000,784.92957185
1778450400000,774.65815055
1778450580000,767.24110527
1778459520000,759.86129764
1778459640000,755.06125455
1778461200000,763.19198338
1778462820000,757.96609499
1778470920000,800.65249272
1778478300000,827.08996916
1778488860000,856.93282265
1778497860000,848.47587588
1778499840000,843.10244538
1778500440000,835.84559647
1778500980000,834.32452434
1778502240000,825.7043336
1778503140000,822.33577535
1778504520000,813.05601006
1778506200000,802.50338033
1778506920000,791.81331441
1778507700000,781.64113219
1778510280000,793.12418982
1778513940000,828.73965186
1778521140000,819.11285324
1778521200000,814.4212894
1778524080000,804.66787008
1778530260000,818.14579555
1778530740000,807.96690815
1778535480000,799.86956604
1778536980000,793.10991649
1778537220000,787.69400134
1778537760000,780.51766473
1778538060000,774.64543333
1778539260000,769.79728408
1778540520000,764.23655082
1778540700000,759.09229739
1778548080000,752.30477555
1778553300000,747.18849459
1778554320000,739.25092611
1778563080000,731.69891177
1778570040000,741.36958851
1778572680000,736.22240224
1778574240000,742.61085104
