time,balance
1778167500000,1000
1778167860000,988.62123691
1778174760000,976.61421043
1778179320000,985.50373523
1778180220000,972.64314479
1778183520000,965.61024839
1778184120000,957.72746229
1778184360000,947.55796833
1778188680000,971.94831598
1778190960000,962.0576314
1778193240000,955.09698666
1778194380000,951.66875775
1778200680000,962.07211017
1778207520000,976.00748466
1778208960000,963.05870416
1778210160000,953.29901327
1778215260000,943.3877544
1778215440000,941.24510737
1778219220000,929.98235313
1778221680000,921.62190632
1778230860000,931.17827703
1778234340000,922.27866889
1778234880000,918.01687097
1778236260000,905.77658676
1778245140000,895.27245728
1778250480000,909.38560107
1778254440000,916.66848907
1778256180000,923.8055622
1778267220000,912.89658441
1778273580000,900.62179937
1778282100000,888.49115774
1778292060000,948.97649011
1778293860000,939.17605801
1778294400000,931.56824458
1778295420000,928.01116991
1778300160000,940.05114
1778303700000,962.43790816
1778307360000,972.85609423
1778311440000,964.81956914
1778314560000,957.19721696
1778315880000,950.88369603
1778318640000,967.38309926
1778322180000,961.62194018
1778324880000,954.1765847
1778329140000,948.86270471
1778329680000,942.29299728
1778340360000,978.46522155
1778340780000,970.68070731
1778341920000,962.37174336
1778344800000,954.43875029
1778352120000,968.51178017
1778353140000,962.41825815
1778354100000,956.7585343
1778355120000,950.39327758
1778357580000,943.70050337
1778360880000,938.89999994
1778366520000,933.34930482
1778366880000,927.77497561
1778367600000,920.68224262
1778368020000,913.89174029
1778377800000,928.95528068
1778378520000,921.60977162
1778381820000,911.30232297
1778405820000,971.09567907
1778406480000,965.01168628
1778406780000,956.91773593
1778410920000,972.82682227
1778413440000,991.76980935
1778414580000,983.03578248
1778415240000,975.42663196
1778415540000,967.37077775
1778419140000,959.69804497
1778423520000,952.10652569
1778424600000,944.29991003
1778425200000,934.69051096
1778429400000,925.69087792
1778429520000,916.64511864
1778431080000,905.50954579
1778440140000,918.89949168
1778442720000,909.80624587
1778447520000,899.0972777
1778447880000,888.71400517
1778449140000,895.35008033
1778450400000,883.58264733
1778450580000,875.12269309
1778457900000,870.98419725
1778457960000,866.46109891
1778459520000,858.12693095
1778461200000,867.36750229
1778463000000,856.86354539
1778470920000,910.41275637
1778478300000,942.40938222
1778488860000,976.41316195
1778497860000,966.7770809
1778499840000,960.65444428
1778500440000,952.38578822
1778500980000,950.6526362
1778502240000,940.83055042
1778502600000,933.72189443
1778504520000,923.1851766
1778506200000,911.20318371
1778506920000,917.43329013
1778507700000,905.64730671
1778510280000,919.7605642
1778513940000,970.34449567
1778519760000,959.07603642
1778520300000,946.7847592
1778520960000,934.4179571
1778523480000,922.95391384
1778530260000,938.41309212
1778530740000,926.73790995
1778535480000,917.45025989
1778536980000,911.43520369
1778537220000,905.21127982
1778537760000,898.62982907
1778538180000,891.34172742
1778539260000,885.76322978
1778540700000,879.80095209
1778543160000,875.92037149
1778543820000,868.03243012
1778548080000,860.270806
1778553300000,854.42026871
