time,balance
1000,1000
1778167800000,988.7151964
1778170320000,976.40746283
1778170440000,968.04757609
1778170500000,958.19571787
1778170860000,945.38524085
1778174340000,934.28512752
1778174460000,925.39172367
1778174700000,923.55989828
1778174880000,911.19315568
1778175420000,906.10188109
1778176140000,896.80015603
1778179320000,900.76396786
1778180100000,888.71866873
1778182800000,881.44635287
1778183520000,876.32814118
1778183640000,874.87331778
1778184120000,869.24027981
1778184360000,861.73770477
1778185260000,850.1141751
1778186160000,841.54864534
1778188740000,855.72016339
1778189220000,847.46505589
1778192460000,842.53558924
1778193240000,835.18682193
1778194380000,828.51430228
1778201100000,833.40579257
1778207520000,839.92174753
1778208360000,829.16549813
1778208960000,818.79143461
1778210160000,812.16406953
1778215260000,805.02473767
1778215440000,803.91310706
1778216100000,801.70226958
1778217540000,793.48382199
1778219220000,784.79396609
1778221680000,778.51131474
1778226120000,773.19396518
1778245560000,783.45414185
1778245800000,780.18911986
1778249100000,770.10284811
1778250600000,784.03102192
1778250960000,777.33802019
1778252700000,766.85919483
1778254740000,769.18528219
1778261400000,834.04075367
1778262180000,844.1099697
1778266860000,870.68448037
1778267220000,865.33914
1778270640000,858.99483947
1778271420000,850.29122457
1778271660000,841.43506371
1778271840000,837.65787838
1778276220000,844.3801574
1778276400000,840.36259424
1778281260000,838.76783985
1778286000000,841.88809769
1778291400000,878.45796487
1778291460000,867.57001985
1778292060000,856.42358363
1778292720000,845.05062893
1778293380000,836.83705408
1778294760000,830.97288768
1778295180000,823.06635249
1778298060000,818.36761036
1778298240000,813.60357464
1778300460000,814.40355269
1778303940000,828.89279026
1778307480000,835.03048379
1778311260000,826.54955888
1778317860000,815.40457961
1778322000000,817.6822916
1778322180000,812.73841555
1778322600000,807.22979569
1778324220000,800.64854996
1778324520000,796.12390884
1778329140000,792.19010029
1778329260000,787.98556659
1778329380000,782.98205311
1778329440000,778.68111345
1778329860000,771.45253677
1778340540000,797.2517776
1778340720000,791.54019933
1778341380000,786.23883767
1778341920000,778.51819134
1778344440000,774.84100546
1778346240000,769.11352004
1778354820000,776.58409872
1778354880000,774.78447601
1778357280000,769.79427288
1778361180000,765.26889756
1778361660000,760.80210033
1778362260000,756.67184753
1778365440000,752.91366696
1778365680000,747.81597362
1778366040000,742.55853209
1778366280000,737.23037792
1778366880000,733.34970272
1778367600000,728.27257927
1778368020000,723.46568232
1778379420000,731.79710109
1778379480000,727.89248435
1778381820000,723.09234799
1778381940000,717.66770321
1778383860000,712.18265367
1778407440000,751.41976984
1778414160000,771.48259329
1778414580000,766.465554
1778415240000,762.03274824
1778419260000,757.96517926
1778429880000,783.7388091
1778429940000,779.34221129
1778430660000,772.84292641
1778430900000,768.44511437
1778430960000,764.28148976
1778434200000,810.80735471
1778434380000,800.07807629
1778439600000,824.1365805
1778440260000,813.72938928
1778442660000,813.10803229
1778442900000,805.2441831
1778443200000,797.97351791
1778443620000,791.88882004
1778446140000,844.7572896
1778446200000,834.12248726
1778446800000,824.23636175
1778447460000,813.42379917
1778447940000,803.4162792
1778449140000,802.75111511
1778450220000,792.31569429
1778450400000,781.84201263
1778450580000,774.79086951
1778452260000,782.89637022
1778455020000,784.00733542
1778457300000,786.65169953
1778457960000,778.24431399
1778459100000,774.59416238
1778460120000,765.49582027
1778461920000,773.1315398
1778462880000,763.47647209
1778463840000,753.75987703
1778465220000,744.64266786
1778471160000,778.67878473
1778473500000,772.7606215
1778481360000,807.36038897
1778481900000,801.60220738
1778489340000,825.30950432
1778490300000,816.91573715
1778492400000,809.33513055
1778496420000,805.1404346
1778496660000,799.11324997
1778498520000,788.34956544
1778499780000,784.21668193
1778499840000,779.51432687
1778500440000,773.51899782
1778500800000,766.95739892
1778500980000,766.18984135
1778502180000,765.18059554
1778502600000,763.11324927
1778503620000,752.9206329
1778504700000,742.90348247
1778506200000,734.12363357
1778506920000,725.36245533
1778507580000,715.60730576
1778509320000,714.07614197
1778510280000,721.81524848
1778511180000,713.2242132
1778514600000,747.31432775
1778516280000,791.97559769
1778516940000,784.13885588
1778517300000,775.05806742
1778517720000,771.44376655
1778518860000,762.09927153
1778519460000,759.00257596
1778519820000,751.52649341
1778520180000,741.54409739
1778520960000,731.62233644
1778523120000,730.24220364
1778523600000,729.65091954
1778524080000,719.85615906
1778525220000,710.3722741
1778526720000,707.58835943
1778527200000,702.34206715
1778527320000,697.59116729
1778530260000,704.33085751
1778530560000,697.56895849
1778539920000,703.70672764
1778540040000,706.1624749
1778540700000,702.01055469
1778545920000,699.25517595
1778545980000,697.65987336
1778547840000,693.44907526
1778551980000,736.91687997
1778552880000,728.10880858
1778554320000,721.46500143
1778555100000,713.55992768
1778555520000,707.193719
1778560740000,701.93323805
1778561040000,698.48668401
1778561580000,693.84653694
1778562660000,689.04854876
1778562900000,685.98881066
1778567460000,688.29992619
1778578380000,712.2491359
1778579640000,706.32926409
1778580840000,701.95261208
1778587140000,721.60602171
1778587200000,718.52752472
1778587680000,713.45732416
1778588820000,706.68311893
1778589000000,701.96692896
1778589240000,697.75228815
1778591640000,693.40586134
1778593200000,688.47225257
1778593560000,681.50337244
1778595240000,673.95194269
1778595420000,667.22389429
1778596080000,660.22644335
1778596680000,655.20633174
1778597100000,648.75014197
1778599860000,669.30069289
1778602680000,662.86117243
1778603040000,656.35876678
1778603580000,651.71933412
1778603880000,646.10647306
1778605380000,641.62552514
1778605800000,637.00272309
1778622540000,650.01747895
1778623020000,644.799585
1778623320000,641.0827227
1778623800000,637.22474615
1778624760000,632.88745914
1778625360000,634.16602422
1778625660000,630.06451337
1778631840000,635.97940984
1778632200000,629.41946034
1778642100000,651.50008512
1778642460000,647.73204034
1778642700000,645.28968421
1778647560000,652.73829686
1778648040000,646.68983349
1778652840000,643.7338996
1778653020000,639.82570935
1778653560000,638.4969566
1778661540000,633.92983758
1778667000000,634.59773859
1778674740000,660.09553851
1778674800000,656.21138075
1778675280000,649.34306199
1778675820000,694.02219664
1778676060000,684.90483996
1778676420000,676.53327983
1778677260000,669.38184471
1778680800000,710.92609854
1778681220000,702.53436303
1778681400000,695.76805792
1778682240000,688.27551696
1778688060000,741.14071908
1778689320000,735.4560561
1778689500000,734.31386793
1778692140000,736.80740235
1778692560000,729.85072306
1778692920000,720.79966212
1778693040000,715.25703013
1778693580000,708.15188837
1778694600000,699.00343382
1778694900000,694.47165214
1778695080000,690.40393165
1778695380000,685.66802947
1778697960000,685.71388555
1778698440000,679.96040939
1778701080000,678.63149826
1778701140000,674.30968561
1778701800000,670.32217534
1778706420000,668.52603708
1778711280000,660.14561211
1778721360000,655.10297212
1778721420000,655.13162443
1778729280000,682.31696474
1778732280000,680.39668229
1778742180000,710.95079381
1778744400000,710.30819654
1778744820000,704.5010718
1778745540000,699.97977709
1778746320000,691.75864362
1778750880000,686.91732844
1778753460000,682.84652832
1778753580000,675.27407571
1778755260000,669.50936255
1778755440000,666.42379224
1778755500000,665.11373484
1778756820000,660.02444964
1778757480000,655.12001651
1778760600000,648.80607592
1778765700000,652.04678431
1778765880000,644.47441742
1778766300000,637.23171085
1778767980000,636.31679379
1778773080000,664.63016549
1778775540000,691.6511225
1778775840000,686.15609614
1778776620000,679.14990564
1778776860000,674.09962379
1778777100000,666.99640803
1778777820000,673.649684
1778778840000,664.8772137
1778780100000,664.73059655
1778781600000,661.94043625
1778782020000,654.85254189
1778783640000,659.80379843
1778784000000,656.39175471
1778784180000,653.21911886
1778784420000,646.75046573
1778786640000,641.11090907
1778791980000,652.31915102
1778792160000,648.27343564
1778792520000,644.31405804
1778793240000,640.18786515
1778793660000,636.26323087
1778796060000,632.84613207
1778796300000,629.65954285
1778796540000,627.51354495
1778796960000,622.94610183
1778797440000,617.46101634
1778797920000,614.27427958
1778799060000,609.7124655
1778804640000,614.54736038
1778805060000,611.37023951
1778805660000,606.38454133
1778805900000,600.68717926
1778806080000,597.46401922
1778806860000,592.38141897
1778807220000,588.25872296
1778807640000,584.76306338
1778807820000,582.89546004
1778809020000,585.6790168
1778810520000,590.10998913
1778810640000,583.52807949
1778811360000,576.84519504
1778812980000,574.9569412
1778815920000,573.2668148
1778817300000,568.96315521
1778823060000,589.78410114
1778823780000,595.16491344
1778824260000,589.28205065
1778824860000,585.10167827
1778826600000,578.24590745
1778826720000,575.66845204
1778830620000,587.69538653
1778832660000,579.96950328
1778834280000,575.35687939
1778835000000,569.32854322
1778841900000,565.24866765
1778846580000,558.02856248
1778846640000,555.63460435
1778852820000,598.96080323
1778853060000,603.0368623
1778853180000,595.61648604
1778853720000,596.12089229
1778854140000,588.74100639
1778855100000,580.87630226
1778855400000,577.52859036
1778857020000,576.96387855
1778857560000,571.19296091
1778857740000,565.15584427
1778857860000,560.01582313
1778858100000,557.06892287
1778858700000,551.84708189
1778858880000,547.77738095
1778859000000,545.12829685
1778859300000,540.84033516
1778859480000,537.82092455
1778860620000,532.58471963
1778860980000,530.68947158
1778861160000,526.04061332
1778861340000,521.82030179
1778861820000,516.81618846
1778869080000,531.81798354
1778869260000,528.22700009
1778869440000,523.5224465
1778871000000,520.29465844
1778871540000,515.88238414
1778884260000,522.25595006
1778884440000,517.316416
1778889660000,512.60732437
1778889900000,509.54858868
1778890320000,505.96277249
1778892600000,502.50144514
1778892720000,499.96929611
1778896620000,497.0832393
1778897040000,493.48303103
1778897880000,489.61986231
1778898060000,486.38575119
1778900400000,483.6184346
1778900460000,481.35713348
1778902320000,478.50639008
1778902440000,476.11299542
1778902560000,473.55388096
1778906520000,487.51621429
1778907240000,484.36854386
1778907660000,479.92727054
1778909220000,475.34359396
