time,balance
1778167620000,1000
1778167800000,986.76899551
1778170020000,986.34672017
1778170500000,974.66216189
1778174400000,963.35615459
1778174700000,954.92349098
1778175720000,942.56931324
1778179920000,930.42940442
1778180100000,920.23473728
1778180220000,908.96965963
1778182800000,898.9017814
1778183640000,895.91631954
1778184120000,888.60248177
1778184360000,879.16698167
1778186220000,868.73932529
1778197620000,858.41575645
1778200680000,851.04277281
1778214240000,842.88067225
1778214660000,838.12091985
1778215440000,836.21735762
1778217180000,833.12516615
1778221680000,825.63545561
1778226120000,817.35403883
1778228700000,818.24322589
1778245560000,811.4018747
1778245800000,807.08083484
1778249100000,796.85392779
1778253180000,788.26423773
1778254740000,781.22714842
1778852280000,772.22764573
1778852400000,762.27928631
1778864760000,752.51928993
1778865480000,746.93496924
1778869860000,739.15233049
1778870160000,731.71167783
1778870940000,725.48905073
1778884260000,719.75903885
1778889660000,711.67780216
1778889900000,706.99227994
1778892600000,702.10977513
1778892720000,698.20320569
1778896620000,693.77618885
1778897880000,688.54959676
1778898060000,683.56339363
1778898360000,680.25507497
1778901240000,674.53216772
1778901900000,670.44419368
1778902260000,666.90605661
1778902680000,662.9151546
1779014580000,742.84634097
