time,balance
1778167620000,1000
1778167800000,986.76899551
1778170440000,976.6518805
1778170500000,965.0821702
1778170860000,952.64723351
1778174400000,941.5965977
1778174700000,933.35440468
1778174880000,921.31007411
1778175420000,914.37589062
1778179920000,902.59910159
1778180100000,892.70936965
1778182800000,882.82159272
1778183640000,879.88953689
1778184120000,872.70653422
1778184360000,863.43982298
1778186220000,853.19870387
1778197620000,843.05981031
1778200680000,834.4793274
1778214240000,826.28945343
1778214660000,821.62339175
1778215440000,819.75729914
1778217180000,816.72597421
1778221680000,809.38369073
1778227080000,799.10045544
1778247600000,791.14230748
1778248080000,783.66014104
1778248800000,776.16835789
1778253180000,767.80164802
1778254740000,760.94723486
1778852280000,753.70515615
1778852400000,743.99541598
1778864760000,734.46952081
1778869860000,726.81676496
1778870160000,719.50028787
1778870940000,713.82427739
1778884260000,707.77785518
1778889660000,699.83113959
1778889900000,695.22361307
1778891100000,691.24826542
1778892360000,686.95110978
1778892540000,682.86470442
1778892720000,679.0652154
1778896620000,674.75954462
1778897880000,668.93608664
1778898060000,664.09191677
1778901240000,659.95001607
1778901900000,655.95041654
1778902260000,652.48876752
1778902440000,648.88857847
1778902680000,645.00549674
1779014580000,720.30329496
