time,balance
1000,1000
1778167800000,988.7151964
1778170320000,976.40746283
1778170500000,966.47052572
1778174340000,955.12284235
1778174460000,946.03108555
1778174700000,944.15840426
1778175420000,931.55132079
1778179320000,943.26766723
1778180100000,934.23221257
1778180220000,924.2178361
1778182800000,916.65503331
1778183520000,910.40322032
1778183640000,908.89182768
1778184120000,903.03975507
1778184360000,895.24545045
1778185260000,883.16995231
1778186160000,874.27136112
1778188740000,888.99392345
1778189220000,880.41782496
1778192460000,875.29668129
1778194380000,867.82143667
1778201100000,872.94499354
1778207520000,880.26411619
1778208060000,874.8485998
1778209020000,867.5036093
1778210160000,860.48196388
1778215260000,849.65891042
1778215440000,848.48564604
1778216100000,846.15222984
1778217540000,837.47811475
1778219220000,828.30645436
1778221680000,821.67546471
1778222520000,814.41345531
1778226120000,810.05704202
1778228700000,802.71525112
1778245560000,806.06277935
1778245800000,802.70353654
1778249100000,792.32619878
1778250600000,803.96466615
1778250960000,797.1014978
1778252700000,786.35625291
1778253120000,786.01508535
1778254740000,785.30629876
1778261400000,850.62490208
1778262180000,860.8943354
1778266860000,883.04993559
1778270640000,876.575787
1778271420000,867.69403623
1778271660000,858.65661735
1778271840000,854.80212481
1778276220000,861.66198793
1778281260000,860.02681373
1778286000000,863.22615601
1778291400000,884.53175972
1778291460000,873.56853376
1778292060000,862.34502934
1778292720000,850.89344027
1778293380000,842.62307548
1778294400000,836.84292881
1778295120000,830.44545441
1778300460000,837.04262615
1778301060000,829.5548669
1778303940000,845.19600637
1778307480000,852.36070668
1778308200000,848.47162959
1778311260000,843.09973515
1778317860000,831.73159762
1778322000000,834.05491671
1778322180000,829.01204838
1778324400000,824.39815371
1778324520000,819.34153348
1778324640000,814.86636522
1778329140000,810.83994642
1778329260000,806.53642901
1778329380000,801.41512214
1778329440000,797.01292919
1778329860000,789.61417638
1778340540000,812.24240325
1778341380000,804.90498057
1778341920000,797.00103792
1778344440000,793.23655174
1778344620000,787.90457546
1778346300000,780.17737339
1778354820000,786.49391101
1778354880000,784.67132373
1778357280000,779.61744175
1778361180000,775.131145
1778361660000,770.60678283
1778362260000,766.42330224
1778365440000,762.61668889
1778365680000,757.45330006
1778366040000,752.1281043
1778366280000,746.73128465
1778366880000,742.80059803
1778367600000,737.65804416
1778368020000,732.78919931
1778379420000,741.22798755
1778379480000,737.27305085
1778381820000,732.4110537
1778381940000,726.91649993
1778383860000,721.36076293
1778407440000,761.10353946
1778414160000,781.42491849
1778415240000,777.27719955
1778419260000,773.12825893
1778429880000,799.41748976
1778429940000,794.93293808
1778430660000,788.30363512
1778430900000,783.81784495
1778430960000,779.5709271
1778434200000,822.85160685
1778434380000,811.96294886
1778434620000,801.26843898
1778439600000,825.36273763
1778440260000,814.9400625
1778442660000,815.16376013
1778442900000,807.95960986
1778443200000,800.66442669
1778443740000,794.2505953
1778446140000,847.27674286
1778446740000,846.69801534
1778447460000,835.6789555
1778447820000,825.55110226
1778449140000,828.22424273
1778450220000,817.45768216
1778450580000,810.08533452
1778452260000,818.56006945
1778455020000,819.72164306
1778457300000,822.48646731
1778457960000,813.69609561
1778459100000,804.79873114
1778460000000,798.16521238
1778461920000,806.12680477
1778462880000,795.74121512
1778463000000,786.09517764
1778463840000,776.09071935
1778464260000,766.60130287
1778465220000,761.55688033
1778471160000,796.3661118
1778473500000,790.31352023
1778481360000,819.39851604
1778481900000,818.04307911
1778489340000,842.23661302
1778490300000,833.67068957
1778492400000,827.67364557
1778496420000,823.38390308
1778496660000,817.22015004
1778499300000,807.17573109
1778499780000,802.94415235
1778499840000,798.12950277
1778500440000,791.99100238
1778500800000,785.27270937
1778500980000,784.48682216
1778502180000,788.39885021
1778503140000,783.39051495
1778504700000,772.96798131
1778505540000,764.99698709
1778506080000,757.19025022
1778506920000,748.1110946
1778507580000,738.05000642
1778509320000,736.47082265
1778510280000,733.35495893
1778511180000,724.62657816
1778514600000,757.33629061
1778516280000,778.59460303
1778516940000,769.07272328
1778517300000,760.16640949
1778517720000,756.62155236
1778518860000,747.45659877
1778519460000,744.41940187
1778519820000,737.08696182
1778520180000,727.29636359
1778520960000,717.56523542
1778523120000,715.56658755
1778524080000,705.96089373
1778525220000,696.66007464
1778526720000,693.92989742
1778527200000,686.82510926
1778530260000,697.34442337
1778531160000,691.23467101
1778539920000,695.20234107
1778540040000,697.62841031
1778540460000,694.07790315
1778540700000,689.99703482
1778545920000,687.28880892
1778545980000,685.72080676
1778547840000,681.58206814
1778551980000,722.92250198
1778552880000,714.28169976
1778553900000,706.91188056
1778554200000,700.09133798
1778554500000,697.60692484
1778555100000,691.93802789
1778555520000,685.76472455
1778560740000,680.6636438
1778561040000,677.32152534
1778562720000,671.12277644
1778567460000,673.38380787
1778567760000,670.17708754
1778578380000,692.80595252
1778579640000,687.04768309
1778580840000,682.79050619
1778587140000,700.48613995
1778587200000,697.49774406
1778587680000,692.57593754
1778588820000,685.99999897
1778589240000,681.88122433
1778590620000,674.00642917
1778591640000,669.27964838
1778593200000,665.92807172
1778593560000,659.18738915
1778593620000,651.41810926
1778594820000,646.79112124
1778595180000,641.48580884
1778595420000,633.60249035
1778596080000,626.95764088
1778596680000,619.74376837
1778597100000,613.20270421
1778599860000,632.62721387
1778602680000,626.54053873
1778603040000,620.39442412
1778603580000,616.00920326
1778603880000,610.70389177
1778604180000,609.14813477
1778605380000,606.86961026
1778622540000,620.24100057
1778623020000,615.26213173
1778623320000,611.71553419
1778623800000,608.03428666
1778624760000,603.89568529
1778625360000,605.11568092
1778625660000,601.20205509
1778631840000,606.84599764
1778632140000,602.77188795
1778642100000,623.59590395
1778642460000,619.98924702
1778642700000,617.65149863
1778647560000,623.80561193
1778648040000,618.02524726
1778652840000,615.84791519
1778653020000,612.10902429
1778653560000,610.83783194
1778661540000,606.46855647
1778667000000,607.1075246
1778674740000,631.50078233
1778674800000,627.78488284
1778675280000,621.21409359
1778675820000,663.95776757
1778676060000,655.23536674
1778676420000,647.2264552
1778677260000,638.62497998
1778678520000,636.58918887
1778680800000,674.41350113
1778681220000,666.45275847
1778682240000,657.69909394
1778688060000,708.21577613
1778689320000,702.7836525
1778692140000,698.59094738
1778692560000,691.99509457
1778692800000,690.66640191
1778693580000,683.39187176
1778693760000,677.93534979
1778694600000,672.30584744
1778695080000,668.36795846
1778695440000,664.16859824
1778697960000,663.8474338
1778698320000,658.07981451
1778698560000,653.11824379
1778701080000,651.84179286
1778701140000,647.69058839
1778701800000,643.86048936
1778706420000,642.13525558
1778711280000,634.08565687
1778721360000,629.24208049
1778721420000,629.26960173
1778729280000,655.3817716
1778732280000,653.11119434
1778742180000,682.07484462
1778744400000,678.46105261
1778744820000,675.70456225
1778745540000,671.36807564
1778746320000,663.48298133
1778750220000,658.45104502
1778750400000,656.30364787
1778750520000,654.4817279
1778750700000,655.38206914
1778753520000,651.56462781
1778753580000,650.02269197
1778755320000,642.65895527
1778755440000,639.69713052
1778755500000,638.43961245
1778756820000,633.55443103
1778757480000,628.84668825
1778760600000,623.88364194
1778765700000,628.03144642
1778765880000,622.72928959
1778766540000,616.99674254
1778767980000,616.11087819
1778773080000,647.71122195
1778775540000,671.57060449
1778775840000,666.23511372
1778776620000,659.43233203
1778777160000,651.6633103
1778777820000,658.16363893
1778778840000,649.56849307
1778780520000,641.53762725
1778781600000,637.80958436
1778782020000,632.47936316
1778783640000,640.67261931
1778784000000,637.35950868
1778784420000,631.047909
1778786640000,625.54527604
1778791980000,636.48139131
1778792160000,632.53390249
1778792520000,628.67065525
1778793240000,623.71030671
1778793540000,620.49925433
1778793840000,616.21469168
1778796060000,612.90526505
1778796300000,609.81908468
1778796540000,607.74070678
1778796720000,605.96521457
1778797020000,601.53113965
1778797440000,596.23461445
1778797920000,593.15742785
1778799060000,588.75243484
1778804640000,592.4694702
1778805060000,589.40648882
1778805660000,584.26037523
1778805900000,583.1992711
1778806080000,580.06994746
1778806860000,575.1353178
1778807220000,571.13264655
1778807700000,568.11724223
1778807820000,566.30280195
1778808000000,564.64751971
1778809020000,565.51047717
1778810520000,569.78886382
1778810640000,563.4336099
1778811360000,559.12662659
1778812980000,557.29637298
1778815920000,555.65816106
1778816580000,552.82928321
1778817300000,548.24039211
1778823060000,568.30299801
1778823780000,573.48783049
1778824980000,567.77968768
1778826600000,563.20146787
1778826720000,560.69107107
1778830620000,572.40509632
1778832660000,564.88022026
1778834220000,561.22143906
1778835000000,554.69275119
1778841960000,548.25272786
1778843340000,543.66191209
1778844180000,539.64206282
1778845140000,535.59843121
1778845560000,534.65443607
1778845740000,531.25341041
1778852820000,578.97911397
1778852880000,574.84231176
1778853060000,578.75423923
1778853180000,571.63266096
1778853720000,581.01609845
1778854140000,573.82320759
1778854920000,568.03079326
1778855100000,561.53680858
1778855400000,558.30055423
1778857020000,557.75464374
1778857560000,552.17586103
1778857740000,546.33974206
1778858100000,543.4648077
1778858700000,538.37048869
1778858880000,534.40017344
1778859000000,531.81578232
1778859300000,527.63253644
1778859480000,524.68686251
1778860620000,519.57853035
1778861160000,515.54690837
1778861340000,511.41078559
1778861820000,506.50649666
1778869080000,521.2090289
1778869440000,516.56697954
1778871000000,513.38207556
1778871540000,509.0284223
1778884260000,514.18403775
1778884440000,509.32084841
1778889660000,504.68453983
1778889900000,501.67307953
1778892360000,498.12828722
1778892480000,495.40906004
1778892720000,492.91265015
1778896620000,490.06732761
1778897040000,486.51793325
1778897880000,482.70928991
1778898060000,479.52082555
1778898360000,477.49005772
1778900400000,473.78133246
1778900460000,471.56602762
1778902320000,468.77327013
