time,balance
1000,1000
1778166360000,993.46281172
1778167860000,989.07485185
1778169180000,987.89196736
1778170200000,979.59851907
1778170440000,971.16440338
1778170500000,961.28082507
1778171760000,948.32115961
1778176140000,941.57589822
1778179320000,936.37559302
1778180100000,923.87386788
1778181420000,912.46022008
1778182680000,900.86081552
1778183220000,895.660036
1778183520000,889.55141407
1778185260000,880.56837999
1778185440000,870.8478872
1778188740000,885.51279889
1778190960000,876.73224405
1778192040000,868.1809502
1778193240000,856.85287562
1778194380000,849.53514555
1778200680000,842.12011776
1778207520000,846.31964865
1778207700000,837.74548803
1778210160000,828.31708405
1778215260000,820.34178725
1778219220000,811.35779573
1778221680000,805.69101799
1778222400000,796.21157695
1778225400000,789.20275983
1778245560000,802.37514418
1778246100000,797.55274994
1778249100000,791.04996505
1778250600000,782.41321437
1778253420000,772.63520083
1778254740000,762.34763345
1778256180000,754.19041532
1778261400000,806.62331301
1778262180000,816.36152349
1778266860000,825.39644586
1778267160000,819.38698784
1778270640000,813.37958906
1778271360000,807.33664933
1778271480000,799.88109607
1778271720000,795.53715162
1778273280000,789.64332823
1778276220000,785.14298609
1778280000000,774.69240058
1778280420000,769.65881371
1778280600000,767.35972652
1778286000000,769.79870431
1778291400000,795.67217349
1778291460000,785.81030733
1778292060000,775.71431014
1778293140000,771.50104511
1778293380000,764.8430806
1778295180000,757.56575685
1778296380000,752.49628306
1778297220000,745.6653872
1778297400000,739.48709453
1778297700000,734.18230703
1778298360000,729.75960836
1778298480000,726.66881955
1778300460000,721.56430756
1778301420000,717.10320723
1778303940000,724.89562633
1778307480000,724.05688322
1778307660000,719.1101885
1778311260000,714.17261744
1778313540000,710.00198276
1778315580000,704.25058095
1778322000000,713.34772193
1778322180000,709.03467424
1778322480000,703.08495867
1778322600000,698.3195536
1778323680000,693.61260192
1778323920000,689.85657485
1778324640000,685.61710774
1778329140000,682.22933554
1778329440000,678.48183303
1778340540000,701.17190841
1778341380000,694.83784527
1778344440000,691.92997854
1778346240000,686.81535652
1778354820000,690.52669165
1778357700000,686.90666341
1778360520000,683.01574659
1778360880000,679.90453321
1778361120000,677.56307289
1778361660000,673.6082057
1778362260000,669.9513123
1778364540000,666.31412299
1778365200000,661.961868
1778366520000,658.43870056
1778366940000,651.98324283
1778372640000,648.01935659
1778379420000,650.9681834
1778380800000,646.69525665
1778381160000,643.23668448
1778381700000,636.65644407
1778381940000,631.88024216
1778383860000,627.05085606
1778383980000,627.30736027
1778385660000,622.53022256
1778387460000,618.72216831
1778388180000,616.31305869
1778389080000,613.08932281
1778390640000,609.62216334
1778391600000,605.66174769
1778392140000,602.4183059
1778395260000,597.56503432
1778397300000,594.88866602
1778398620000,591.60884765
1778400480000,587.757957
1778407440000,601.1118255
1778407740000,595.53258812
1778408220000,591.48931564
1778408580000,587.14309738
1778410380000,581.82841755
1778411280000,578.05898406
1778414160000,586.13839355
1778414580000,581.9760028
1778415540000,577.59899731
1778417160000,572.18611218
1778418360000,568.12922405
1778418480000,564.97084007
1778418720000,560.66660413
1778429880000,584.57056401
1778430780000,581.31335732
1778430960000,578.16365858
1778434200000,613.35954474
1778434380000,605.24306025
1778439600000,623.124739
1778440260000,615.25592397
1778442660000,615.42480914
1778442900000,610.05178861
1778443320000,607.03222305
1778443620000,602.40348839
1778444280000,596.36794335
1778444460000,592.76922241
1778446140000,646.27634411
1778446200000,638.14025429
1778447520000,640.01334294
1778450400000,632.4009652
1778450580000,626.69757546
1778452260000,633.25379318
1778452680000,625.0884757
1778455020000,625.97550441
1778455140000,622.23611412
1778455740000,618.34770093
1778457960000,610.58828821
1778459100000,603.91180719
1778461920000,609.30795175
1778462820000,606.49322555
1778463240000,607.61300826
1778463660000,599.85521269
1778463840000,592.22098897
1778471160000,618.98393135
1778473500000,615.57541715
1778481360000,637.35866641
1778489340000,653.88675721
1778495820000,645.51585415
1778498940000,642.75447178
1778500860000,636.64169361
1778500980000,632.32379274
1778502180000,628.8278524
