time,balance
1000,1000
1778166360000,993.46281172
1778167860000,989.07485185
1778170200000,980.77147314
1778170440000,972.32725858
1778170500000,962.43184587
1778171760000,949.45666272
1778179320000,944.2128322
1778180100000,931.60647062
1778181420000,920.09729333
1778182680000,908.40080454
1778183220000,903.15649575
1778183520000,896.99674611
1778185260000,887.93852617
1778185440000,878.13667521
1778188740000,897.37484088
1778192460000,886.60272783
1778194380000,879.03092685
1778196420000,873.05457244
1778200680000,865.43425921
1778207520000,869.75005435
1778207700000,860.93851763
1778210160000,851.24908775
1778215260000,843.05299443
1778219220000,833.82028062
1778221680000,827.14515016
1778222400000,817.41328832
1778225400000,810.21783875
1778245560000,828.83219645
1778246100000,823.85079139
1778249100000,817.13358744
1778250600000,808.21205354
1778251080000,799.84383184
1778252580000,789.27459634
1778254740000,788.5628705
1778256180000,780.12514597
1778257020000,773.53172311
1778257200000,765.12004696
1778257860000,759.66197397
1778261400000,801.72983309
1778262180000,811.4089655
1778266860000,820.38907642
1778270640000,814.37433074
1778271360000,808.32400067
1778271480000,800.85932945
1778273280000,794.92607613
1778276220000,790.39562651
1778278740000,788.70827972
1778280600000,786.35228888
1778286000000,788.85163266
1778291400000,815.36548398
1778291460000,805.25953137
1778292060000,794.91365288
1778293140000,790.5961073
1778295180000,783.07374882
1778296380000,777.8335808
1778297400000,771.38875502
1778297700000,765.85511766
1778298240000,761.39677755
1778298480000,758.17199419
1778300460000,752.84618699
1778303940000,761.02700803
1778307480000,755.27426912
1778307660000,750.11429989
1778311260000,744.96384769
1778313540000,740.61339797
1778315520000,736.18735078
1778322000000,745.69703428
1778322180000,741.18839596
1778322480000,734.96886919
1778322600000,729.98735974
1778323680000,725.73192097
1778330160000,721.70143524
1778331360000,717.43701033
1778332200000,712.88081308
1778332740000,707.05463439
1778333160000,702.7690056
1778336040000,698.09617828
1778336220000,694.50603089
1778340540000,708.11389438
1778341380000,701.71712054
1778344440000,698.78046433
1778346240000,693.61520476
1778354820000,697.36328414
1778357700000,693.70741564
1778360520000,689.7779766
1778360880000,686.63596052
1778361120000,684.27131846
1778361420000,680.65158693
1778362260000,676.95645633
1778364540000,673.28123584
1778365200000,668.88347281
1778366520000,665.32346643
1778372640000,661.27847514
1778379420000,658.95688134
1778381160000,655.43273314
1778381700000,648.7277285
1778381940000,643.86096772
1778383860000,638.94001436
1778385660000,634.07429041
1778387460000,630.19562041
1778388180000,627.74183677
1778389080000,624.45832063
1778390640000,620.92686689
1778391180000,617.94178693
1778395980000,614.38276967
1778397300000,610.25142235
1778398620000,606.88690402
1778400480000,602.9365657
1778407440000,616.63529239
1778407740000,610.91197347
1778408220000,606.76428515
1778408580000,602.30582758
1778409480000,599.16524758
1778410140000,595.16550883
1778410260000,593.24893591
1778411280000,589.40551346
1778414160000,597.643511
1778414580000,593.39941806
1778415540000,588.93649777
1778416200000,585.03840416
1778416500000,580.99607263
1778417100000,577.37103608
1778417460000,573.9695231
1778418360000,569.89999031
1778418480000,566.73176215
1778418720000,562.41411061
1778418900000,560.60119878
1778429880000,581.47627251
1778434200000,616.87381502
1778434380000,608.71082677
1778439600000,613.63549563
1778440260000,605.8865107
1778442660000,606.05282401
1778443320000,603.05305208
1778443620000,598.45465935
1778444280000,592.45867806
1778444460000,588.88354717
1778446140000,642.03992309
1778446200000,633.95716634
1778447520000,635.81797666
1778449140000,627.42259291
1778450400000,619.29851347
1778450580000,613.71328988
1778452260000,620.13367206
1778452680000,612.13752839
1778455020000,613.00617912
1778455140000,609.3442637
1778455740000,605.53641291
1778456460000,597.95408791
1778457120000,591.06215608
1778459100000,590.41606839
1778461920000,592.31133138
1778462820000,589.57512186
1778463240000,590.66366827
1778463660000,583.12227609
1778463840000,575.70100871
1778471160000,601.71739991
1778481360000,623.01025817
1778489340000,639.16626367
1778495820000,630.98380887
1778498940000,628.28459156
1778500860000,622.30942608
1778500980000,618.08873108
1778501760000,618.91218037
1778503800000,617.69050136
