time,balance
1000,1000
1778166360000,993.46281172
1778167860000,989.07485185
1778169180000,987.89196736
1778170020000,989.1025881
1778170200000,980.79897653
1778170440000,972.35452518
1778170500000,962.45883496
1778174340000,951.15825431
1778174460000,942.10423618
1778176140000,935.40319481
1778179320000,930.23698133
1778180220000,929.44082561
1778181420000,917.95840296
1778182680000,906.28910423
1778183220000,901.05698654
1778183520000,894.91155607
1778185260000,885.8743932
1778185440000,876.09532795
1778188740000,890.84860553
1778190960000,882.01514198
1778192040000,873.41232087
1778193240000,862.01598706
1778194380000,854.65416277
1778196480000,848.52215564
1778200680000,841.11596957
1778207520000,849.11993816
1778207700000,840.51740749
1778210160000,831.05780694
1778215260000,823.05612161
1778219760000,814.78122605
1778221680000,808.25851233
1778222400000,798.74886317
1778225580000,792.98619484
1778245560000,806.22172755
1778245800000,802.86182234
1778246100000,798.03650308
1778249100000,791.52977395
1778250600000,782.88778467
1778253420000,773.10384031
1778254740000,762.81003304
1778256180000,754.64786718
1778261400000,807.11256788
1778262180000,816.85668504
1778266860000,825.89708753
1778267160000,819.8839845
1778270640000,813.87294195
1778271360000,807.8263369
1778271480000,800.36626149
1778271600000,792.35841095
1778271720000,788.05532023
1778273280000,782.21692681
1778276220000,777.75890929
1778277060000,772.58219568
1778280000000,762.2987996
1778280420000,757.34574052
1778280600000,755.08343433
1778286000000,757.48339313
1778291400000,782.94293613
1778291460000,773.23884102
1778292060000,763.30436053
1778293140000,759.15849971
1778293380000,752.60704994
1778294400000,747.44438675
1778295840000,742.96206682
1778297880000,736.24155552
1778298240000,731.95560747
1778298480000,728.85551783
1778300460000,723.73564529
1778301060000,716.48977956
1778301420000,712.0600527
1778303940000,719.03786783
1778307480000,718.20590245
1778307660000,713.29918113
1778311260000,708.40150974
1778312520000,701.93516378
1778313540000,697.83599353
1778315580000,692.18314284
1778322000000,701.12440296
1778322180000,696.88525998
1778322480000,691.03749368
1778322600000,686.35374453
1778323680000,681.72744717
1778324880000,676.18694098
1778329140000,672.84576514
1778329440000,669.14980682
1778340540000,691.52779666
1778341380000,685.28085397
1778344440000,684.25880349
1778346240000,679.20088543
1778346780000,674.71485542
1778354820000,678.36080323
1778357700000,673.72928121
1778360520000,669.91300641
1778360880000,666.86147749
1778361120000,664.56493493
1778361660000,660.68593655
1778362020000,657.19083477
1778362260000,653.62306822
1778364540000,650.07452552
1778364660000,646.46623048
1778365200000,642.24361868
1778366520000,638.82539792
1778366940000,632.56223272
1778372640000,628.71642109
1778379420000,631.57740945
1778381820000,627.41242937
1778381940000,622.70557614
1778383860000,617.94631093
1778383980000,618.1990908
1778385660000,613.49131534
1778387460000,609.73855262
1778388240000,605.5065297
1778389080000,602.3393193
1778390640000,598.93295354
1778391600000,595.04198043
1778392140000,591.85540964
1778395260000,587.08723609
1778397300000,584.45779565
1778398620000,581.23548613
1778399580000,576.57149964
1778400180000,572.87314681
1778407440000,594.82312896
1778407740000,589.3022603
1778414160000,600.35496375
1778414580000,596.09161575
1778415540000,591.6084476
1778416320000,588.16787828
1778417160000,582.65594842
1778417940000,579.58381324
1778418360000,575.47447427
1778418480000,572.27525604
1778418720000,567.91537133
1778429880000,592.12838162
1778430780000,588.82906305
1778430960000,585.63864237
1778434200000,621.28957041
1778434380000,613.0681492
1778439600000,631.18101727
1778440260000,623.21046761
1778442660000,623.38153627
1778442900000,617.93904883
1778443320000,614.8804438
1778443620000,610.19186498
1778446140000,665.58430871
1778446200000,657.20514744
1778447520000,659.13419595
1778449140000,659.33294146
1778450400000,651.08551502
1778450580000,645.21361625
1778452260000,651.96354016
1778455020000,652.88870579
1778455140000,648.98854408
1778455740000,644.93295238
1778457960000,636.83993135
1778459100000,629.87640159
1778461920000,635.50454808
1778463000000,633.35983987
1778463240000,634.52922704
1778463660000,626.42777438
1778463840000,618.45536758
1778471160000,646.40386262
1778473500000,642.84435706
1778481360000,665.59256705
1778489340000,682.85282406
1778495820000,674.11110428
