time,balance
1000,1000
1778166360000,993.46281172
1778167860000,989.07485185
1778170200000,980.77147314
1778170440000,972.32725858
1778170500000,962.43184587
1778171760000,949.45666272
1778179320000,944.2128322
1778180100000,931.60647062
1778181420000,920.09729333
1778182680000,908.40080454
1778183220000,903.15649575
1778183520000,896.99674611
1778185260000,887.93852617
1778185440000,878.13667521
1778188740000,883.0017723
1778192460000,872.40219397
1778194380000,864.95166897
1778200680000,857.40208059
1778207520000,861.67782041
1778207700000,852.9480644
1778210160000,843.34856306
1778215260000,835.22853846
1778219220000,826.08151436
1778221680000,819.46833642
1778222400000,809.82679691
1778225400000,802.69812901
1778245560000,816.09576116
1778246100000,811.19090397
1778249100000,804.57692145
1778250600000,795.79248231
1778252580000,785.27678184
1778254740000,784.56866102
1778256180000,776.17367503
1778261400000,830.13489498
1778262180000,840.15695633
1778266860000,849.45523003
1778270640000,843.22738361
1778271360000,836.96269204
1778271480000,829.23354965
1778273280000,823.09008284
1778276220000,818.39912067
1778278740000,816.65199166
1778280600000,814.21252873
1778286000000,816.80042356
1778291400000,844.25365316
1778291460000,833.7896495
1778292060000,823.07721945
1778293140000,818.60670445
1778293380000,811.54222358
1778295180000,803.82056714
1778296380000,798.44156569
1778297400000,791.82599019
1778297700000,786.1457442
1778298240000,781.56928448
1778298480000,778.25906345
1778300460000,772.79215389
1778303940000,781.18971826
1778307480000,775.28456582
1778307660000,769.98788796
1778311260000,764.70097926
1778313540000,760.23526838
1778315520000,755.69195715
1778322000000,765.45359096
1778322180000,760.82550042
1778322480000,754.441193
1778322600000,749.32770304
1778323680000,744.95952033
1778329140000,741.27852532
1778329440000,737.20666417
1778331180000,730.45989143
1778340540000,751.78161699
1778341380000,744.99036911
1778344440000,741.8726162
1778346240000,736.38882718
1778354820000,740.36804182
1778357700000,736.48672449
1778360520000,732.31496618
1778360880000,728.97918933
1778361120000,726.46872534
1778361420000,722.62577347
1778362260000,718.70277283
1778364540000,714.80091013
1778365200000,710.13194737
1778366520000,706.35240375
1778372640000,702.05796734
1778379420000,699.5932063
1778381160000,695.85173214
1778381700000,688.73324559
1778381940000,683.56636308
1778383860000,678.34194606
1778385660000,673.17616433
1778387460000,669.05830586
1778388180000,666.45320314
1778389080000,662.96720024
1778390640000,659.21797003
1778391180000,656.04880719
1778392140000,652.53553245
1778395260000,647.27850072
1778397300000,644.37947624
1778398620000,640.82679864
1778400480000,636.6555393
1778407440000,651.12036152
1778407740000,645.0769684
1778408220000,640.69732236
1778408580000,635.98952743
1778410380000,630.23270133
1778411280000,626.14967586
1778414160000,634.90123888
1778414580000,630.39256469
1778415540000,625.65142122
1778417160000,619.78821979
1778418360000,615.39382536
1778418480000,611.97268468
1778418720000,607.31036471
1778418900000,605.35273221
1778429880000,627.89421615
1778434200000,666.1174649
1778434380000,657.30284365
1778439600000,662.62063776
1778440260000,654.25306879
1778442660000,654.43265851
1778443320000,651.19342153
1778443620000,646.22794945
1778444280000,639.75332244
1778444460000,635.8927969
1778446140000,693.29252681
1778446200000,684.56454176
1778447520000,686.5738964
1778449140000,677.50832805
1778450400000,668.73572161
1778450580000,662.70464219
1778452260000,669.63754906
1778452680000,661.00309122
1778455020000,661.94108438
1778455140000,657.98684648
1778455740000,653.87502352
1778456460000,645.68741856
1778457120000,638.2453193
1778459100000,637.54765588
1778461920000,639.59421345
1778462820000,636.63957848
1778463240000,637.8150211
1778463660000,629.67161654
1778463840000,621.65792608
1778471160000,649.75114731
1778481360000,672.74376658
1778489340000,690.18946968
1778495820000,681.35382791
1778498940000,678.43913815
1778500860000,671.98698864
1778500980000,667.42936504
1778501760000,668.31854844
1778503800000,659.37462879
1778504520000,652.75172909
1778506920000,644.92485266
1778508000000,640.41186284
1778508720000,633.92203642
1778509320000,625.48928168
1778510100000,617.7709642
1778511180000,610.41826258
1778514600000,643.81959049
1778516280000,682.29577039
1778518080000,673.57099246
1778519040000,668.62305207
1778519820000,660.08135135
