time,balance
1000,1000
1778166360000,993.46281172
1778167860000,989.07485185
1778169180000,987.89196736
1778170200000,979.59851907
1778170440000,971.16440338
1778170500000,961.28082507
1778171760000,948.32115961
1778176140000,941.57589822
1778179320000,936.37559302
1778180100000,923.87386788
1778181420000,912.46022008
1778182680000,900.86081552
1778183220000,895.660036
1778183520000,889.55141407
1778185260000,880.56837999
1778185440000,870.8478872
1778188740000,889.92637055
1778190960000,881.10205167
1778192040000,872.50813648
1778193240000,861.12360052
1778194380000,853.76939743
1778196420000,847.96479107
1778200680000,840.56346986
1778207520000,844.75523798
1778207700000,836.19692658
1778210160000,826.78595086
1778215260000,818.8253963
1778219220000,809.85801159
1778221680000,804.20170881
1778222400000,794.7397904
1778225400000,787.74392899
1778245560000,805.84195963
1778246100000,800.99872931
1778249100000,794.46784788
1778250600000,785.79378047
1778251080000,777.65767739
1778252580000,767.38161248
1778254740000,766.68962858
1778256180000,758.48595055
1778257020000,752.07541678
1778257200000,743.89706461
1778257860000,738.59038825
1778261400000,779.49136454
1778262180000,788.90201614
1778266860000,797.63303577
1778267160000,791.82571461
1778270640000,786.02038342
1778271360000,780.18070677
1778271480000,772.97593188
1778271720000,768.77810233
1778273280000,763.08252626
1778276220000,758.73355968
1778280000000,748.63449482
1778280420000,743.77021996
1778280600000,741.54846591
1778286000000,743.90540512
1778291400000,768.90858251
1778291460000,759.37843456
1778292060000,749.62203093
1778295900000,742.92933399
1778296380000,737.95780412
1778297220000,731.25888345
1778297400000,725.19995745
1778297700000,719.99766021
1778298360000,715.66040955
1778298480000,712.6293358
1778300460000,707.62344468
1778301420000,703.24853429
1778303940000,710.89040126
1778307480000,710.06786294
1778307660000,705.21674002
1778311260000,700.37456448
1778313540000,696.28450783
1778315580000,690.64422502
1778322000000,699.56560622
1778322180000,695.33588804
1778322480000,689.50112296
1778322600000,684.82778711
1778323680000,680.21177529
1778323920000,676.52831591
1778324640000,672.37075672
1778329140000,669.04843742
1778329440000,665.37333791
1778340540000,687.62503347
1778341380000,681.41334654
1778344440000,678.56166076
1778346240000,673.54585494
1778347260000,668.96403194
1778354820000,672.57890409
1778357700000,669.05296562
1778360520000,665.26317936
1778360880000,662.23283093
1778361120000,659.95222856
1778361660000,656.10015408
1778362260000,652.53830863
1778364540000,648.99565513
1778365200000,644.75652154
1778366520000,641.32492632
1778366940000,635.03725528
1778372640000,631.17639616
1778379420000,634.0485787
1778380800000,629.8867115
1778381160000,626.51803262
1778381700000,620.10882218
1778381940000,615.45676066
1778383860000,610.7528973
1778383980000,611.00273459
1778385660000,606.34976158
1778387460000,602.64068417
1778388180000,600.29419079
1778389080000,597.15424447
1778390640000,593.77720148
1778391600000,589.91972277
1778395980000,586.52209774
1778396100000,582.69860696
1778397300000,578.78031621
1778398620000,575.58930851
1778400480000,571.84269198
1778407440000,584.83496545
1778407740000,579.40680223
1778408220000,575.47301319
1778408580000,571.2444815
1778409480000,568.26586348
1778410140000,564.47239415
1778410260000,562.65466026
1778411280000,559.00944587
1778414160000,566.82260395
1778414580000,562.79738193
1778415540000,558.56461765
1778416200000,554.86755154
1778416500000,551.03368596
1778417100000,547.59559516
1778417460000,544.36950066
1778418360000,540.50983661
1778418480000,537.50499626
1778418720000,533.41000912
1778429880000,556.15188703
1778430780000,553.05302822
1778430960000,550.0564509
1778434200000,583.54130235
1778434380000,575.81939767
1778439600000,592.83176538
1778440260000,585.34548982
1778442660000,585.50616469
1778442900000,580.39435152
1778443320000,577.521581
1778443620000,573.11787053
1778444280000,567.37574123
1778444460000,563.95197074
1778445000000,557.97216297
1778446140000,589.39833588
1778446200000,581.9782936
1778447520000,583.68653396
1778450400000,576.74411249
1778450580000,571.54267126
1778452260000,577.52188411
1778452680000,570.07518646
1778453100000,563.08106661
1778455020000,559.48145235
1778455140000,556.13927762
1778455740000,552.66390989
1778457960000,545.72873836
1778459100000,539.76146446
1778461920000,544.58440525
1778462820000,542.06867247
