time,balance
1000,1000
1778166360000,993.46281172
1778167860000,989.07485185
1778169180000,987.89196736
1778170020000,989.1025881
1778170200000,980.79897653
1778170440000,972.35452518
1778170500000,962.45883496
1778174340000,951.15825431
1778174460000,942.10423618
1778176140000,935.40319481
1778179320000,930.23698133
1778180220000,929.44082561
1778181420000,917.95840296
1778182680000,906.28910423
1778183220000,901.05698654
1778183520000,894.91155607
1778185260000,885.8743932
1778185440000,876.09532795
1778188740000,895.2887719
1778190960000,886.41128062
1778192040000,877.76558134
1778193240000,866.31244595
1778194380000,858.91392887
1778196420000,853.07434588
1778196480000,846.95367368
1778200680000,839.56117784
1778207520000,847.5503512
1778207700000,838.9637222
1778210160000,829.52160759
1778215260000,821.53471327
1778219760000,813.27511373
1778221680000,806.76445716
1778222400000,797.27238647
1778223420000,791.32165427
1778225580000,785.61257042
1778245560000,798.72503182
1778245800000,795.39636886
1778246100000,790.61591809
1778249100000,784.16969212
1778250600000,775.60806083
1778251080000,767.57742062
1778252580000,757.43455747
1778254740000,756.75154329
1778256180000,748.65420405
1778257020000,742.32676573
1778257200000,734.25442408
1778257860000,729.01653461
1778261400000,769.38733888
1778262180000,778.67600649
1778266860000,787.29385175
1778267160000,781.56180701
1778270640000,775.83172645
1778271360000,770.06774562
1778271480000,762.95636142
1778271600000,755.32280563
1778271720000,751.22084556
1778273280000,745.65534434
1778276220000,741.40569891
1778277060000,736.47094995
1778280000000,726.66820984
1778280420000,721.94666157
1778280600000,719.79009778
1778286000000,722.07788016
1778291400000,746.34741928
1778291460000,737.09690304
1778292060000,727.62676988
1778295900000,721.13044872
1778296380000,716.30479248
1778297220000,709.80243022
1778297400000,703.92128404
1778298360000,699.95046618
1778298480000,696.98592957
1778300460000,692.08992614
1778301060000,685.16088967
1778301420000,680.92485493
1778303940000,687.59756144
1778307480000,686.80197419
1778307660000,682.10980183
1778311260000,677.42628369
1778312520000,671.24268207
1778313540000,667.32275019
1778315580000,661.91707335
1778322000000,670.46737221
1778322180000,666.41358797
1778322480000,660.82151829
1778322600000,656.34256852
1778323680000,651.91855842
1778324880000,646.62031377
1778329140000,643.42523258
1778329440000,639.89088196
1778340540000,661.2903825
1778341380000,655.31659064
1778344440000,654.33922986
1778346240000,649.5024719
1778346780000,645.2125959
1778347260000,640.82351104
1778354820000,644.28632064
1778357700000,639.88744284
1778360520000,636.26286187
1778360880000,633.36461314
1778361120000,631.18342735
1778361660000,627.49927346
1778362020000,624.1797328
1778362260000,620.79117738
1778364540000,617.42088017
1778364660000,613.99383202
1778365200000,609.98332463
1778366520000,606.73680321
1778366940000,600.78824067
1778372640000,597.13560654
1778379420000,599.85288569
1778381820000,595.89711514
1778381940000,591.42669006
1778383860000,586.90648569
1778383980000,587.14656826
1778385660000,582.67526728
1778387460000,579.11100816
1778388240000,575.09156237
1778389080000,572.08344291
1778390640000,568.848181
1778391600000,565.15265388
1778395980000,561.89767405
1778396100000,558.23470791
1778397300000,554.48092188
1778398620000,551.4238848
1778399580000,546.99911444
1778400180000,543.49045034
1778407440000,564.31461666
1778407740000,559.07691366
1778414160000,569.56272333
1778414580000,565.51804268
1778415540000,561.26481649
1778416200000,557.54987811
1778416320000,554.30738045
1778417160000,549.11276933
1778417940000,546.21749526
1778418360000,542.34472865
1778418480000,539.32968764
1778418720000,535.22079907
1778429880000,558.03987981
1778430780000,554.93050118
1778430960000,551.92375124
1778434200000,585.52227516
1778434380000,577.77415661
1778439600000,594.84427693
1778440260000,587.33258739
1778442660000,587.49380771
1778442900000,582.36464125
1778443320000,579.48211842
1778443620000,575.06345848
1778446140000,627.26699002
1778446200000,619.3702124
1778447520000,621.18820666
1778449140000,621.3755105
1778449980000,614.91515021
1778450400000,608.15273631
1778450580000,602.66803235
1778452260000,608.9728642
1778455020000,609.83702412
1778455140000,606.19404029
1778455740000,602.40587554
1778457960000,594.84651079
1778459100000,588.34215833
1778461920000,593.5991831
1778463000000,591.59589761
