time,balance
1778171400000,1000
1778171760000,988.53524093
1778174880000,975.77883762
1778179680000,962.774907
1778180100000,952.22583187
1778185260000,947.32985247
1778196420000,937.94359875
1778201280000,929.14141472
1778207580000,925.17220879
1778215260000,915.91553058
1778217540000,905.63058046
1778219220000,897.68255354
1778221020000,888.04795129
1778222400000,880.33150787
1778225940000,868.82550335
1778228700000,859.98909474
1778230860000,853.20163872
1778232600000,849.03395773
1778238600000,841.8782119
1778244840000,836.28051048
1778245800000,831.82698193
1778248080000,821.05383111
1778254440000,819.06721775
1778852280000,808.84937172
1778862600000,800.86382575
1778863560000,790.07714347
1778865420000,781.70979369
1778866140000,777.32240691
1778868360000,770.9609579
1778870160000,763.20010473
1778874420000,757.9577558
1778884260000,751.24843662
1778894820000,741.84624743
1778895060000,737.05786746
1778895900000,732.11186212
1778897040000,726.22693092
1778900160000,721.38924762
1778900880000,717.12940956
1779014580000,800.45364728
