time,balance
1000,1000
1778171760000,990.24098186
1778174880000,976.98135964
1778179680000,965.13032027
1778180100000,955.88544573
1778184360000,952.79507114
1778188740000,959.1526082
1778195880000,948.60416655
1778201100000,942.36662201
1778202360000,939.12762054
1778204040000,931.43917803
1778207520000,919.48057191
1778212800000,911.47715043
1778214360000,908.23474525
1778217540000,898.924207
1778219220000,891.8819137
1778221020000,883.29525155
1778222280000,876.53682794
1778225940000,865.85838905
1778228700000,858.01085373
1778230860000,851.99277192
1778232540000,848.35547062
1778238600000,841.94586056
1778244780000,837.06850808
1778245800000,833.58004981
1778248080000,823.98112829
1778254440000,823.10964068
1778261400000,882.20285841
1778268240000,873.09895414
1778271420000,864.25243177
1778276220000,860.42248191
1778281260000,855.52634205
1778286000000,854.99897756
1778297100000,850.06079994
1778300460000,841.27973449
1778301900000,835.76176975
1778303940000,831.87506488
1778307480000,829.57981915
1778309340000,819.367789
1778317260000,813.77558036
1778322000000,819.52177113
1778323680000,813.99786827
1778326860000,808.80487457
1778328360000,804.21060366
1778329260000,799.94227137
1778330640000,794.59954974
1778333160000,789.78329009
1778335260000,786.07855082
1778337120000,781.18763417
1778338920000,776.0120639
1778340540000,770.38045731
1778342640000,764.15453437
1778344080000,758.89416057
1778345400000,753.36934079
1778354820000,755.41397199
1778355960000,750.69675338
1778356860000,743.89187008
1778360520000,739.67816603
1778361120000,737.13085683
1778363280000,732.65892546
1778372340000,727.52735128
1778373240000,723.9504612
1778378040000,717.5331367
1778379480000,713.70462754
1778380260000,708.55688551
1778383860000,702.59084463
1778385840000,697.54147949
1778396700000,692.89142591
1778400780000,686.51109111
1778411160000,681.78906603
1778414160000,676.55434403
1778418060000,672.91217415
1778429880000,697.96936504
1778430600000,692.45121029
1778434200000,725.71533055
1778434320000,717.61080952
1778439600000,720.41265888
1778441040000,712.85606331
1778441820000,705.53584846
1778449980000,698.2004841
1778452200000,690.96658148
1778452680000,681.81853648
1778457360000,674.37902907
1778459100000,666.78089094
1778461920000,668.92128856
1778471160000,699.84221599
1778472960000,695.49057951
1778481360000,719.61028067
1778481900000,718.41991197
1778485920000,711.45026061
1778489340000,716.88441327
1778491920000,711.40859251
1778495820000,703.8081274
1778496660000,700.52804142
1778498340000,695.47175125
