time,balance
1778179860000,1000
1778180100000,987.02894676
1778180220000,974.94620604
1778182800000,964.14756212
1778200680000,957.37154446
1778207580000,950.22075179
1778250600000,937.95076958
1778252580000,935.19517
1778266860000,1072.55471931
1778267220000,1059.8892017
1778268240000,1048.15015066
1778269200000,1037.13838609
1778274300000,1028.86815753
1778274960000,1021.71832182
1778275320000,1016.50804792
1778277360000,1008.3808114
1778280000000,999.7959138
1778284920000,989.39976869
1778284980000,987.39757088
1778293380000,1019.8088339
1778293860000,1009.27688992
1778294400000,1000.05208117
1778297520000,989.97969901
1778297700000,984.59607673
1778299800000,979.40520072
1778300160000,969.62347278
1778303940000,983.83535148
1778307540000,981.96870897
1778312520000,975.68490008
1778321700000,982.70432396
1778322180000,977.42037023
1778323500000,970.00567496
1778326860000,963.01562497
1778330760000,956.13025831
1778336940000,951.23870411
1778340600000,952.00303025
1778345340000,945.62898747
1778349060000,946.38377281
1778349480000,939.24935447
1778349780000,936.2043926
1778360520000,930.41605937
1778361660000,924.38056315
1778362080000,918.95278022
1778370600000,912.10205868
1778374680000,906.72335946
1778377800000,908.43006398
1778378160000,902.40373274
1778378520000,895.80226638
1778380980000,892.66695844
1778385660000,886.28846645
1778405820000,909.66744681
1778406420000,902.57679247
1778410440000,893.55150725
1778414160000,891.38028605
1778414580000,883.53034013
1778420580000,877.14880769
1778428800000,871.29309861
1778429400000,862.90388521
1778429520000,854.47167419
1778430660000,844.49999918
1778431740000,835.00977012
1778439480000,894.44814623
1778439900000,884.62715845
1778440560000,873.18270184
1778444460000,861.39287598
1778446920000,897.94238785
1778447460000,886.73601987
1778455020000,892.18805241
1778455440000,889.51183683
1778457360000,890.09354024
1778461200000,878.88959252
1778461920000,868.2234401
1778463900000,860.12026264
1778471160000,876.06384088
1778473500000,864.56357735
1778481420000,890.6403633
1778490480000,883.30237837
1778495820000,882.53131101
1778506920000,889.12509797
1778510220000,877.47936345
1778510340000,872.22031888
1778517720000,943.15929043
1778530260000,938.95483572
1778530560000,928.24364945
1778533440000,922.55233092
1778535300000,916.48640045
1778554200000,942.54251837
1778556900000,938.26063933
1778559360000,929.4414273
1778562660000,927.15379806
1778570640000,934.486532
1778571360000,926.64692092
1778574240000,919.65763255
1778574960000,908.99874898
1778577600000,899.45451634
1778579820000,895.83665557
1778581680000,893.24988018
1778586120000,917.28346055
1778590500000,906.0241827
1778592180000,902.67396766
1778593140000,893.10489558
1778593320000,887.78485207
1778596620000,876.42504672
1778598420000,866.86707242
1778598720000,858.09926371
1778601780000,852.81390971
1778608920000,851.18426783
1778613480000,844.74716867
1778623620000,843.35607007
1778623800000,837.9808971
1778631540000,834.15930268
1778637480000,859.50344081
1778647260000,860.09619559
1778661900000,854.68017255
1778662080000,847.33001113
1778665980000,849.685475
1778667600000,845.0881604
1778672400000,879.35631696
1778673720000,870.29255309
1778677380000,906.0753287
1778678880000,897.16515741
1778682420000,896.17865494
1778688180000,911.21350754
1778688300000,901.67196084
1778689380000,892.9454227
1778700660000,884.60760656
1778705400000,896.13119769
1778711160000,888.05891181
1778715180000,877.69602593
1778729520000,881.40403748
1778729940000,871.21986456
1778731740000,869.61991564
1778740440000,882.3785006
1778743980000,873.6843323
1778752680000,865.34542343
1778753340000,857.09832671
1778758620000,848.75978309
1778760600000,841.24810663
1778762580000,834.97926512
1778764620000,828.53881791
1778764680000,827.51038444
1778768760000,819.58807448
1778773080000,834.12297349
1778773380000,826.60641197
1778776620000,837.96474322
1778777700000,827.76510494
1778777880000,817.31490233
1778778840000,806.34308391
1778780520000,815.66232409
1778781660000,806.90016292
1778782020000,797.19642163
1778783640000,789.27861548
1778783940000,781.4357095
1778784360000,773.16507996
1778785980000,765.49712882
1778787000000,761.17077205
1778787060000,757.52784054
1778791560000,774.00856757
1778793240000,773.3895907
1778801160000,768.80129565
1778802660000,763.68650039
1778804100000,757.18091979
1778805660000,752.08654597
1778805900000,745.42176378
1778808900000,739.27411159
1778809020000,732.0429115
1778810520000,725.07313532
1778810640000,715.79632348
1778811180000,706.74294159
1778815860000,705.80436701
1778819700000,700.20249288
1778822100000,705.01228809
1778824980000,700.99131107
1778832660000,713.56208151
1778833920000,711.42580494
1778834220000,712.24965179
1778847660000,708.45527659
1778851500000,720.40399815
1778854320000,746.27757839
1778855340000,736.84009304
1778863500000,728.59719828
1778863620000,723.87622798
1778863920000,717.99990225
1778865180000,711.08168777
1778867220000,707.79973872
1778872560000,704.54287036
1778875260000,698.98085981
1778875560000,693.35279851
1778876760000,687.10948618
1778877060000,682.2991858
1778878860000,678.76337297
1778881980000,674.60546481
1778882880000,671.0340132
1778884440000,666.39539812
1778885280000,660.69658075
1778888100000,657.27361923
1778890020000,653.58940551
1778894340000,649.77594583
1778895960000,647.13692848
1778897880000,646.68748143
1778900040000,640.42449564
1778901900000,637.09274154
1778903160000,633.24408829
1778907240000,644.54812126
1778907660000,638.18845002
1778907780000,632.10091704
1778910120000,626.46701734
1778911620000,620.73905618
1778913120000,617.8632347
1778913480000,612.89705649
1778917080000,638.20363639
1778917740000,629.81421373
1778918280000,624.10451435
1778927520000,664.93240835
1778927820000,656.30475489
1778928420000,648.36572962
1778932260000,645.34332523
1778936040000,640.49142852
1778944260000,639.36347507
1778956320000,635.01710272
1778967480000,631.23288582
1778969880000,628.29398804
1778971140000,623.3185597
1778979060000,619.07672232
1778983800000,627.6777769
1778995320000,642.91635004
1779003420000,638.06753808
