time,balance
1000,1000
1778180100000,986.64881354
1778180220000,976.07256437
1778182800000,968.08543837
1778200680000,962.18377134
1778207520000,971.88397299
1778250600000,961.27286125
1778250960000,953.06680723
1778256180000,945.24363441
1778261400000,1011.49532762
1778262180000,1023.70691912
1778266860000,1050.05259277
1778267220000,1037.38790817
1778268180000,1027.46987048
1778269200000,1018.9972629
1778274300000,1011.89420009
1778274900000,1006.00110101
1778275020000,996.4765544
1778275380000,991.71312516
1778277360000,984.78314863
1778277720000,977.38660219
1778280660000,969.20586999
1778284920000,959.83149399
1778284980000,958.54558521
1778291400000,982.20380297
1778291460000,970.02999223
1778292060000,957.56716249
1778293380000,956.26718195
1778293860000,947.69721431
1778294400000,940.20554074
1778297220000,931.67068645
1778297400000,923.9512264
1778297640000,919.77842088
1778299620000,916.03827058
1778300160000,907.29835011
1778303940000,924.88769336
1778307480000,926.28921762
1778307660000,919.96088889
1778312520000,914.90146817
1778321700000,921.48359445
1778322180000,917.17058215
1778323500000,910.86440138
1778326260000,904.78112133
1778328840000,897.74791547
1778330760000,891.98451932
1778336940000,888.18930626
1778337120000,882.66306481
1778339580000,874.48487155
1778339820000,868.73194669
1778340360000,861.5427885
1778345340000,856.60395257
1778346780000,849.97140204
1778349060000,852.93636063
1778349480000,847.10369425
1778349780000,845.04068566
1778360520000,840.25403386
1778361660000,835.30535515
1778362020000,830.88649731
1778370540000,825.26014747
1778370840000,822.08534773
1778374680000,817.80856268
1778377800000,819.34790492
1778378160000,814.51421443
1778378460000,809.17724069
1778380980000,806.34512035
1778385660000,801.2576237
1778405820000,822.39361607
1778406420000,816.86419685
1778410380000,809.67065586
1778412060000,804.74480843
1778414160000,798.56604207
1778414580000,792.89512212
1778420580000,787.75857913
1778428800000,782.49962532
1778429400000,775.84147815
1778429520000,769.23323245
1778430600000,761.26820205
1778431680000,753.8112246
1778434200000,784.80186562
1778434380000,774.4167135
1778434620000,764.21673183
1778439480000,789.87185793
1778439900000,782.54567405
1778440260000,773.81734828
1778444460000,764.75208221
1778446140000,835.74183006
1778446200000,825.22052496
1778446260000,814.92497992
1778446740000,814.36835008
1778446920000,804.38459805
1778447520000,794.281129
1778455020000,803.68578121
1778455140000,798.88480293
1778455440000,797.82134201
1778457300000,800.53371461
1778461080000,790.0363056
1778461920000,785.97463608
1778463000000,783.32211966
1778467500000,778.42683716
1778471160000,796.21334615
1778471280000,796.48078936
1778473500000,785.73161258
1778481360000,811.31518602
1778489340000,811.54460502
1778490300000,803.29083303
1778495820000,804.7021258
1778506920000,810.94375806
1778510100000,800.93699764
1778510280000,792.1056585
1778512800000,786.22467875
1778514600000,806.32384471
1778516280000,828.95723018
1778516940000,818.79882426
1778517300000,809.31665303
1778517720000,799.19964313
1778517900000,791.1906895
1778528520000,788.6228031
1778528760000,780.64940374
1778530260000,773.44810446
1778530560000,765.84816452
1778533440000,761.86948701
1778535300000,756.86007218
1778551980000,797.3793468
1778552880000,787.84859182
1778556900000,785.00722179
1778557680000,778.39124034
1778559360000,772.65580116
1778559960000,767.60546375
1778570640000,773.67635151
1778571300000,767.9423465
1778574240000,763.01190619
1778574960000,755.08365336
1778577600000,747.89555428
1778579820000,744.88730657
1778581680000,743.50452999
1778586120000,763.50909564
1778589840000,755.71729424
1778591640000,746.98167217
1778592060000,744.95782265
1778592180000,743.63076505
1778593140000,736.56847035
1778593320000,733.16272262
1778596620000,725.22204579
1778598420000,718.38718307
1778598720000,711.99565602
1778599860000,711.98789403
1778600040000,705.15461868
1778600580000,698.44576059
1778601060000,690.76875413
1778608920000,689.44876429
1778613480000,684.72234879
1778623620000,684.13487866
1778623800000,680.38415766
1778631540000,677.28127988
1778637480000,697.85901636
1778647260000,698.3402934
1778661900000,694.625344
1778662020000,689.36014114
1778665980000,689.83223199
1778667600000,686.65297179
1778672400000,714.49661301
1778673720000,707.95320291
1778675820000,758.88862662
1778676060000,748.91912086
1778676420000,739.76511714
1778677380000,730.30288936
1778678460000,724.28106705
1778680800000,726.14979706
1778681220000,717.57836179
1778682240000,708.15317723
1778688060000,730.46984143
1778688300000,721.05082034
1778689320000,715.52024995
1778699400000,709.59548571
1778700660000,703.98035262
1778705400000,711.98403757
1778709060000,705.17090328
1778710200000,701.03679751
1778715180000,693.54067674
1778729280000,702.97916202
1778729820000,694.95437181
1778731740000,693.67812509
1778740440000,703.85538889
1778743680000,697.73697412
1778744280000,691.70010956
1778752680000,685.78162614
1778753340000,679.92202106
1778758620000,673.92901823
1778760600000,668.61144097
1778762580000,664.30430696
1778764620000,659.81278959
1778764680000,659.63642956
1778768760000,654.26675138
1778773080000,666.21603195
1778773320000,659.78568143
1778775540000,671.54769138
1778777580000,664.61110865
1778777700000,657.99419518
1778777880000,649.39864629
1778778060000,641.96207705
1778778840000,639.68546423
1778780100000,649.17009526
1778781600000,643.13676655
1778781960000,636.36027107
1778782620000,630.02622383
1778783640000,627.67785615
1778783880000,622.18462618
1778784360000,616.41415849
1778785980000,610.45202765
1778787000000,607.72452807
1778787060000,605.56048541
1778791560000,618.73502042
1778793240000,618.24021625
1778801100000,615.00705642
1778802660000,611.50366152
1778803980000,606.90825876
1778804220000,603.2824635
1778805660000,599.737513
1778805900000,595.06593086
1778808900000,590.72327624
1778808960000,585.6230238
1778810520000,580.68870135
1778810640000,574.21187392
1778810760000,568.0622191
1778815860000,567.30781643
1778819700000,563.30858442
1778820060000,558.39006894
1778822100000,562.52980697
1778823780000,567.66196855
1778824980000,562.01181276
1778825040000,557.42080335
1778828280000,554.26680797
1778830320000,547.07810633
1778833920000,545.98566981
1778834220000,547.18656238
1778847480000,544.89358599
1778847660000,543.72969657
1778851500000,552.90017629
1778852820000,564.78326946
1778852880000,560.74789647
1778853060000,564.56390837
1778853180000,557.6169423
1778853720000,566.77030963
1778854320000,559.92100958
1778855340000,552.6596269
1778863440000,547.38847116
1778863560000,542.31330904
1778863620000,539.60849034
1778863920000,536.08825622
1778865180000,531.58065568
1778865480000,527.49572825
