time,balance
1778180160000,1000
1778180220000,1004.40951735
1778188740000,1019.78026344
1778200680000,1029.46555477
1778206020000,1028.44792834
1778207520000,1026.13004752
1778217540000,1027.77686864
1778230860000,1036.38615593
1778233380000,1037.44414566
1778250600000,1044.94408194
1778254740000,1061.93272255
1778256000000,1049.28826376
1778257080000,1035.82064695
1778261160000,1024.2281459
1778261400000,1016.36950876
1778262960000,1003.90289456
1778263200000,990.62120765
1778264700000,983.73891599
1778265600000,977.07544535
1778275320000,982.68868584
1778280000000,989.87665519
1778282100000,980.70048209
1778283000000,972.61426532
1778283420000,965.807093
1778284500000,967.15894416
1778287620000,958.55921795
1778288040000,950.80822368
1778288760000,943.29310241
1778289660000,941.01193041
1778290800000,938.65374987
1778291400000,928.33956063
1778293320000,930.47358469
1778300160000,934.65300978
1778302860000,925.30241617
1778303580000,916.68595433
1778306160000,906.33791113
1778307480000,910.8975705
1778309340000,911.55558849
1778312460000,904.07957738
1778318940000,912.06688278
1778327160000,912.28671342
1778331180000,917.40565825
1778338260000,908.85631315
1778340360000,916.47721872
1778348880000,920.14577893
1778352000000,926.76879164
1778358840000,921.42929137
1778359380000,924.63314544
1778370240000,917.97535339
1778376840000,924.67445155
1778385660000,923.91585291
1778396760000,917.05693197
1778401440000,907.26295575
1778403600000,899.40768797
1778405700000,900.00213183
1778407980000,893.60787658
1778408340000,886.8079611
1778410380000,889.85248392
1778414040000,892.46097493
1778420640000,886.48327233
1778422200000,878.41882421
1778433120000,871.99851399
1778434140000,861.06517748
1778435580000,850.61363147
1778436840000,839.82299451
1778437260000,829.08515961
1778437860000,817.90007297
1778440260000,822.69696707
1778441340000,817.73663795
1778445060000,808.40521346
1778445840000,799.62509895
1778446380000,790.35459231
1778452320000,780.16249773
1778457300000,780.62454918
1778461920000,791.79183636
1778470200000,783.766822
1778471040000,791.79614213
1778474640000,787.70209504
1778475180000,784.17750143
1778479680000,775.37320852
1778481360000,782.76420414
1778489340000,791.18406692
1778501700000,783.50310601
1778502120000,787.37106883
1778511180000,793.26339458
1778513040000,782.629294
1778514720000,772.67224032
1778514900000,767.16174069
1778515620000,760.43858554
1778517720000,775.17305852
1778530260000,778.00376404
1778540460000,778.07313039
1778548380000,771.53222556
1778549400000,762.19863013
1778552040000,762.65643191
1778564040000,764.72677011
1778567400000,770.34734598
1778568120000,762.90185583
1778569320000,754.52111746
1778570040000,757.37893886
1778574840000,762.25961167
1778578800000,757.04008574
1778579100000,752.23882809
1778579640000,753.53345624
1778581920000,745.64255107
1778582580000,738.11853114
1778582820000,732.27900854
1778583540000,725.51316008
1778589300000,729.98979549
1778590680000,734.91039655
