time,balance
1000,1000
1778180220000,1004.40951735
1778188740000,1019.78026344
1778200680000,1029.46555477
1778206020000,1029.57214391
1778207520000,1027.00088765
1778217540000,1028.64910636
1778230860000,1037.26570005
1778233380000,1038.32458765
1778250600000,1047.0367556
1778254740000,1064.63390922
1778256000000,1053.50913812
1778257020000,1041.60047933
1778261160000,1031.42971986
1778261400000,1025.17724045
1778262840000,1011.99694486
1778263200000,999.44888379
1778264700000,994.06253578
1778265600000,988.84112073
1778275320000,994.52195433
1778280000000,1001.79647925
1778282100000,993.2310416
1778282520000,985.76835409
1778283420000,979.66622552
1778284500000,981.03747547
1778287620000,973.37224484
1778288040000,966.49963408
1778288760000,959.81637044
1778289660000,957.49524011
1778290800000,956.03978457
1778291400000,946.96637124
1778293320000,949.57738149
1778300160000,953.84261545
1778302800000,945.54086714
1778303580000,938.13966153
1778306100000,928.50935891
1778307480000,933.18055974
1778309340000,933.9078094
1778312460000,927.12660984
1778318940000,935.31752972
1778327160000,935.54296433
1778331180000,940.79240263
1778338260000,932.91772452
1778340360000,940.74038888
1778348640000,936.24627918
1778352000000,942.98517985
1778358840000,937.97874654
1778359380000,941.24014386
1778370240000,935.05829334
1778376840000,941.88205749
1778384820000,934.72111542
1778396760000,928.61560294
1778401380000,919.73440639
1778403300000,912.62203209
1778405700000,913.29584121
1778407860000,907.95155909
1778408340000,902.17637113
1778410140000,894.27739087
1778414040000,896.89885295
1778420400000,891.56090712
1778422200000,884.06781061
1778433120000,878.93133088
1778434140000,869.49986941
1778435580000,858.5707562
1778436840000,849.2564937
1778437260000,839.79930845
1778437860000,829.94106173
1778440260000,834.80857491
1778441340000,830.97468471
1778445060000,822.980614
1778445840000,815.7715895
1778446380000,805.9881771
1778452320000,795.10878289
1778457300000,795.61997769
1778461920000,809.40313886
1778470200000,802.3591173
1778471040000,810.5789067
1778474640000,807.08515971
1778475180000,804.22573071
1778479500000,796.18688518
1778481360000,803.77628047
1778489340000,812.42216125
1778501700000,805.37234093
1778502120000,809.3482668
1778510940000,798.60886396
1778513040000,788.98729069
1778514720000,778.54200634
1778514900000,774.20152404
1778515620000,768.79338046
1778517120000,762.70357897
1778530020000,753.35388288
1778540460000,753.42105147
1778548320000,747.90427302
1778549400000,739.91094684
1778552040000,740.38685578
1778564040000,742.39674008
1778567400000,747.85319507
1778568120000,741.23715717
1778569320000,733.74204357
1778570040000,736.52116224
1778574840000,741.26742415
1778578740000,736.76528171
1778579100000,732.66509906
1778579640000,733.92604017
1778581920000,727.03313949
1778582520000,720.50257271
1778582760000,715.51380803
1778583480000,709.64891542
1778589300000,714.53818084
1778590680000,720.28081887
1778592900000,710.65967966
1778600040000,716.49854079
1778607120000,707.64344967
1778613480000,705.54029435
1778623800000,705.30487852
1778630100000,701.57669715
1778630460000,697.04508421
1778631420000,699.78775517
1778635800000,695.26071254
1778637180000,697.57252556
1778643480000,693.35358189
1778644200000,689.25121711
1778644680000,685.72480371
1778644860000,683.243848
1778645040000,680.21137777
1778645160000,676.17671218
1778646840000,674.66258589
1778649360000,670.57669427
1778649660000,668.93270886
1778653080000,666.59144438
1778657400000,661.18623998
1778662920000,656.27976973
1778664120000,657.75583345
1778668020000,654.06723674
1778669340000,647.49072158
1778670120000,642.55401635
1778670900000,638.05204468
1778671320000,636.93266329
1778675400000,631.58326323
1778675820000,623.1651973
1778677260000,633.39667761
1778679900000,627.39532638
1778680200000,622.95564114
